BreedID	strangeraggr	owneraggr	dogaggr	dogfear	dogrivalry	trainability	chasing	strangerfear	nonsocialfear	sepprobs	touchsens	excitability	attachatten	energy
Mixed Breed/Unknown	0	0	0	0	0	3.125	2.25	1	1	0	0.5	0.6666666667	0.6666666667	2
American Staffordshire Terrier	0	0	0	0	0	1.625	0	0	0	0.75	0	3.3333333333	1.5	1
Bernese Mountain Dog	0.2	0	0.25	0	0.25	2.125	0.5	0	0.1666666667	0.375	0	2	3.1666666667	4
Sussex Spaniel	0.1	0	0	1	0.75	2.625	2.75	0	0	1.5	0.75	3.3333333333	3	3.5
Mixed Breed/Unknown	0.3	0	0.5	0	0	2.75	2	2	2	0	0.25	1.8333333333	2	1
Labrador Retriever	0.4	0	0.25	0.25	0	3.2857142857	3.25	0	0.8333333333	0	0.25	2.8333333333	2.6666666667	2
Husky Mix	2.1	2	2	2	2	2.25	1.75	2	2	1.875	1.5	2.3333333333	1.8333333333	1.5
Cocker Spaniel (American)	1.8888888889	0	0.5	0	0	3.25	0	2	0.6666666667	0.5	0	2.6666666667	0.6666666667	3.5
Tosa	0	0	3.75	0	0	2.5	4	0	0	0.875	0.25	1.6666666667	2.3333333333	3
Treeing Walker Coonhound	0.8	0	3	3.3333333333		2.25	3.25	1	0.8	0.5714285714	0.75	2	1.4	1.5
Border Collie	0.1111111111	0	0.5	0.25	0	3.5	1.75	0	0.2	0	0.3333333333	2	1.1666666667	1.5
Australian Shepherd	0.9	0	3.25	0	1.75	1.875	2.5	0	1.8333333333	0.75	2.5	2.3333333333	2	3.5
Greyhound	0	0.1666666667	0.6666666667	0.75	1.25		2.75	0	0.3333333333	0.25	0	2.5	1.6666666667	2
Greyhound	0	0.1666666667	0.6666666667	0.25	0.75	2.8333333333	2.5	0	0	0	0	2.1666666667	0.6666666667	1.5
Shiba Inu	0	0.625				2.125	3.25	0.25		0.75	1.25	1.5	1.5	3
Bouvier des Flandres	1.2	0	1.75	0		3	3	0.5	0	0.25	0.25	2	2.1666666667	3
Bouvier des Flandres	0.3	0	0.25	0.75	0.25	2.25	1.25	0	0.1666666667	1	0.5	1	1.6666666667	1
Australian Cattle Dog	1.8	0.5	2	1.75	1.5	2	3.5	1.5	0.5	0.75	0.5	3.3333333333	2.6666666667	4
American Pit Bull Terrier	0	0	0	0.5	0	1.7142857143	0	0	0	0.375		0.8333333333	1.8	0
German Shepherd	0.2	0	0.25	0.25		3.625	1	0.25	0	0.125	0	1.1666666667	1.6666666667	1.5
Tibetan Terrier	0.1	1.5	0.25	0	0	2.75	0.75	0	1.6666666667	0.375	0.75	3.3333333333	0.8333333333	3
Maltese	3.6	0.375	3.5		0.5	1.25		4	4	4	4	4	2.8333333333	2
Golden Retriever	0.1	0	2	0.25	1.25	2.625	3.25	0	0	0	0.25	1.6666666667	2.1666666667	1
German Shepherd	0.3	0	0.25	0	0.25	2.375	0	0	0.4	0.5	0.6666666667	1.5	1.5	2
Doberman Pinscher	0.6	0	0.6666666667	0.25	0.75	3	0.75	0	0.3333333333	0.125	0	1.8333333333	2.1666666667	3
German Shepherd	1.8	1.25	1.5	0.5	1.75	2.625	0.25	1.25	1.1666666667	0.25	1.25	2.1666666667	1.8333333333	0
Cocker Spaniel (English)	0.6	1.125	0.5	0.25	1	2	3.25	0	0.3333333333	0.25	0.75	2	1	0
Miniature Schnauzer	2.4	1.125	3	0.25	2	2.4285714286	3.25	0.5	1.8333333333	1	2.75	3.8333333333	2.5	3
Mixed Breed/Unknown	0.7	0	0.5	0.25	0	3.375	2.5	0	0	0	0	1.3333333333	2.1666666667	0.5
Mixed Breed/Unknown	0.5	0	1.5	2	0.25	1.875		0	0.3333333333	0	0.3333333333	3.6666666667	3.1666666667	2
Labrador Retriever	0.8888888889	0.8571428571	1.75	0.6666666667		1.75	3	0	1	1.25		3.6666666667	3	4
Golden Retriever	0	0	0	0	0	3.5	0	0	0	0	0	0	1	2
Pembroke Welsh Corgi	0.1	0.125	0.25	0.25	0.25	2.1666666667	2.5	0	0	0.25	0.25	0.6666666667	0.8333333333	0
Labrador Retriever	0	0	0	0	0.25	3.25		0	0	0.125	0.25	1	1.1666666667	2.5
Doberman Pinscher	0	0	2	0	0	2.125	4	0	0.5	0.625	0.5	3	3.6666666667	3
Doberman Pinscher	0.6	0	0	0	0	3.7142857143	0	0	0.3333333333	0	0	0.3333333333	1.3333333333	2.5
Boxer	1	0	1.75	0	0	3.4285714286	1.25	0	0.8333333333	0	0	0.8333333333	1.1666666667	1
Labrador Retriever	0.3	0	0.25	0		2.625	0.75	0	1	0	0.3333333333	2	2.8333333333	3
Great Dane	0	0	0	0.3333333333		0.4285714286	0	4	3.3333333333	0.875	2.75	0	0	0
Spanish Water Dog	0.8	0.25		0	0.5	2.75	2.75	0.75	0.6	0.25	1.25	1.6666666667	1.5	1.5
Spanish Water Dog	0.6	0.125	0.3333333333	0	0.25	2.375	2.75	0	0.3333333333	0.8571428571	0.75	2.5	2.5	1
Chihuahua	0	0	2.5	2.6666666667		1.875	2	0.5	0.8333333333	0.125	0	2.3333333333	2	1
Mixed Breed/Unknown		1.125	0.6666666667	0.6666666667		2.625	3.6666666667	0	2.6	1.8571428571	1.3333333333	2.5	2.8	2.5
Australian Cattle Dog	0.7	0.125	3	0		3.875	3.75	0	0.8333333333	0.125	0	3	1	3
Border Collie		0			0.5	3	3.75	0	0.2	0	0	1	1.6666666667	2.5
Treeing Walker Coonhound	0.8888888889	0	1.6666666667	0	1.5	2.8571428571	3.25	0	0.1666666667	0.25	0.3333333333	1.8333333333	1.6666666667	2
Boxer	0	0	0.5	0.75	0.5	2.375	0.75	0.25	0.5	0	1	2	0.5	1.5
Boxer	0.9	0.125	1	0.75	0	1.875	3.5	1	0.6666666667	0.375	0.75	3.8333333333	2	3
Australian Shepherd	0	0	0	0.25	0	3.375	2	0.25	1.6666666667	0	1	1	1.8333333333	2.5
Rat Terrier	0.6	0	0.25	0	1	2	0.25	1	1.6666666667	1.125	1.5	2.8333333333	2.3333333333	1.5
Australian Shepherd		0	0.25	0	0.5	3.25	2	0	0.1666666667	0	0	2	2.4	2.5
Cairn Terrier	0	0.125	0	0	0	1.75	0	0	0.1666666667	0.125	0.25	1.5	0.6666666667	0.5
Cairn Terrier	0	0	0.25	0	0	2.125	0.75	0	0	0	0	1.1666666667	0.6666666667	2
Cairn Terrier	0	0	0.25	0.25	0	2.125	1.25	0	0.8333333333	0	0	1.1666666667	1.2	0.5
Clumber Spaniel	0	0.875	0	0.6666666667		2.625	3.25	1.25	0.8333333333	0.25	0.6666666667	3	2.6	2
Cocker Spaniel (American)	1.4	0.875	0.75	3	2	2.625	3	1.5	1.6666666667	1.125	1.25	2.6666666667	1.5	2
Mixed Breed/Unknown	0	0	0	4	0	2.375	0.75	1	4	0	2.5	0.1666666667	1.1666666667	1
Poodle (Standard)	0	0.125	0.25	0.5	0	2.875	1.25	0	0.5	0.5	0.5	0.8333333333	2.2	2
Mixed Breed/Unknown	0	0	2.25	0	0	3.125	1.75	0	0	0	0.75	1.3333333333	2.8333333333	2
