name,symbol,atomic_number,electronegativity,mass_dalton,period,group
unseptnilium,Usn,170,,,period 8,group 16
rubidium,Rb,37,1,85.4678,period 5,group 1
zirconium,Zr,40,1,91.224,period 5,group 4
technetium,Tc,43,1.9,97.907,period 5,group 7
ruthenium,Ru,44,2.2,101.07,period 5,group 8
niobium,Nb,41,2,92.90637,period 5,group 5
yttrium,Y,39,1,88.905838,period 5,group 3
hydrogen,H,1,2.2,1.008,period 1,group 1
palladium,Pd,46,,106.42,period 5,group 10
molybdenum,Mo,42,2,95.95,period 5,group 6
rhodium,Rh,45,2.28,102.90549,period 5,group 9
silver,Ag,47,2,107.8682,period 5,group 11
thallium,Tl,81,1.62,204.38,period 6,group 13
bismuth,Bi,83,2.02,208.9804,period 6,group 15
lithium,Li,3,1,6.94,period 2,group 1
cesium,Cs,55,0.79,132.90545196,period 6,group 1
hafnium,Hf,72,1,178.486,period 6,group 4
indium,In,49,1.78,114.818,period 5,group 13
tin,Sn,50,1.96,118.71,period 5,group 14
actinium,Ac,89,1.1,227.028,period 7,group 3
cadmium,Cd,48,1.69,112.414,period 5,group 12
polonium,Po,84,2,,period 6,group 16
boron,B,5,2,10.81,period 2,group 13
tantalum,Ta,73,1.5,180.94788,period 6,group 5
rutherfordium,Rf,104,,,period 7,group 4
dubnium,Db,105,,,period 7,group 5
carbon,C,6,2.55,12.011,period 2,group 14
nitrogen,N,7,3,14.007,period 2,group 15
antimony,Sb,51,2.05,121.76,period 5,group 15
ununennium,Uue,119,,,period 8,group 1
seaborgium,Sg,106,,,period 7,group 6
oxygen,O,8,3.44,15.999,period 2,group 16
unsepttrium,Ust,173,,,period 9,group 1
tellurium,Te,52,2.1,127.6,period 5,group 16
unhexseptium,Uhs,167,,,period 8,group 13
unpentseptium,Ups,157,,,period 8,group 3
unhexpentium,Uhp,165,,,period 8,group 11
unpentoctium,Upo,158,,,period 8,group 4
francium,Fr,87,0.7,,period 7,group 1
hassium,Hs,108,,,period 7,group 8
unhexennium,Uhe,169,,,period 8,group 15
meitnerium,Mt,109,,,period 7,group 9
unhexhexium,Uhh,166,,,period 8,group 12
bohrium,Bh,107,,,period 7,group 7
sodium,Na,11,1,22.98976928,period 3,group 1
unhexoctium,Uho,168,,,period 8,group 14
aluminium,Al,13,1.61,26.9815384,period 3,group 13
darmstadtium,Ds,110,,,period 7,group 10
flerovium,Fl,114,,289.191,period 7,group 14
silicon,Si,14,1.9,28.085,period 3,group 14
moscovium,Mc,115,,,period 7,group 15
unpentennium,Upe,159,,,period 8,group 5
unhexnilium,Uhn,160,,,period 8,group 6
roentgenium,Rg,111,,,period 7,group 11
nihonium,Nh,113,,,period 7,group 13
copernicium,Cn,112,,,period 7,group 12
unhexbium,Uhb,162,,,period 8,group 8
sulfur,S,16,2.58,32.06,period 3,group 16
livermorium,Lv,116,,,period 7,group 16
phosphorus,P,15,2.19,30.973761998,period 3,group 15
unhexunium,Uhu,161,,,period 8,group 7
unhexquadium,Uhq,164,,,period 8,group 10
iron,Fe,26,1.83,55.845,period 4,group 8
unhextrium,Uht,163,,,period 8,group 9
lanthanum,La,57,1.1,138.90547,period 6,group 3
potassium,K,19,0.82,39.0983,period 4,group 1
titanium,Ti,22,1.54,47.867,period 4,group 4
scandium,Sc,21,1.36,44.955907,period 4,group 3
lead,Pb,82,2,207.2,period 6,group 14
vanadium,V,23,,50.9415,period 4,group 5
chromium,Cr,24,1.66,51.9961,period 4,group 6
manganese,Mn,25,1.55,54.938043,period 4,group 7
rhenium,Re,75,1.9,186.207,period 6,group 7
cobalt,Co,27,1.88,58.933194,period 4,group 9
tungsten,W,74,2.36,183.84,period 6,group 6
osmium,Os,76,2.2,190.23,period 6,group 8
nickel,Ni,28,1.91,58.6934,period 4,group 10
copper,Cu,29,1.9,63.546,period 4,group 11
zinc,Zn,30,1.65,65.38,period 4,group 12
gallium,Ga,31,1.81,69.723,period 4,group 13
germanium,Ge,32,2.01,72.63,period 4,group 14
arsenic,As,33,2.18,74.921595,period 4,group 15
selenium,Se,34,2.55,78.971,period 4,group 16
iridium,Ir,77,2.2,192.217,period 6,group 9
platinum,Pt,78,2.28,195.084,period 6,group 10
gold,Au,79,2.54,196.96657,period 6,group 11
mercury,Hg,80,,200.592,period 6,group 12
