spacegroup,nsites,chemsys,material_id,TC,volume,density,is_stable,energy_per_atom,band_gap,efermi,is_gap_direct,is_metal
rocksalt,2,Ag-Br,mp-23231,0.5324464372285903,48.383937881431955,6.444350901853475,False,-2.8317642849999998,0.7303999999999999,1.55338318,False,False
rocksalt,2,Ag-Cl,mp-22922,0.5076814928374872,42.630581348524416,5.582622712233539,True,-3.074428745,0.9522000000000002,1.49474467,False,False
rocksalt,2,Ba-O,mp-1342,3.105960682473178,43.453575205003915,5.859229670745691,True,-6.257110679999999,2.0906000000000002,1.72769767,True,False
rocksalt,2,Ba-S,mp-1500,6.248899034839497,67.12620118023263,4.190346371817915,True,-5.35775155,2.1488,1.35700937,False,False
rocksalt,2,Ba-Se,mp-1253,11.422769913530052,74.09331260733886,4.84730673334938,True,-4.99120499,1.9487999999999999,1.13655998,False,False
rocksalt,2,Ba-Te,mp-1000,11.569691298509456,89.09415786940792,4.937715825789215,True,-4.534715075,1.593,2.12107087,False,False
rocksalt,2,Ca-O,mp-2605,26.50144293624608,27.771067003632275,3.3530837486789946,True,-6.782799835,3.6301000000000005,2.25697064,False,False
rocksalt,2,Ca-S,mp-1672,37.00100974066377,46.414057530527266,2.5810342007468723,True,-5.470957435,2.3819,2.66171321,False,False
rocksalt,2,Ca-Se,mp-1415,18.88810237692597,52.40874882176445,3.7716460296003667,True,-5.009073454999999,2.0728000000000004,2.43012507,False,False
rocksalt,2,Ca-Te,mp-1519,11.251761058856696,65.28162287945732,4.265149322704297,True,-4.43379047,1.5535,3.67271973,False,False
rocksalt,2,Cd-O,mp-1132,8.596884604860122,26.32170194637648,8.100938388867615,True,-4.300136945,0.0,1.54179458,False,True
rocksalt,2,Cs-F,mp-1784,1.5243437651996379,54.33221336326164,4.642591754438939,True,-4.246024705,5.2626,-1.19267444,False,False
rocksalt,2,Br-K,mp-23251,2.8819708700878124,71.51789670129197,2.7630562038282562,True,-3.40235035,4.3224,-1.81447618,True,False
rocksalt,2,Cl-K,mp-23193,7.25252794229154,62.02905560334427,1.9957638386024725,True,-3.737702045,5.027,-2.00265889,True,False
rocksalt,2,F-K,mp-463,7.499885792777106,37.40551869412881,2.5790805387069127,True,-4.44685948,5.949400000000001,-2.78604692,True,False
rocksalt,2,H-K,mp-24084,10.809415276413256,45.63131357684779,1.4594797544514642,True,-2.529507685,3.4330999999999996,-1.58684472,True,False
rocksalt,2,I-K,mp-22898,2.095276061847134,88.90698700144401,3.1004771845922225,True,-2.9976804599999998,3.8513,-0.50676024,True,False
rocksalt,2,Br-Li,mp-23259,2.8543014030268825,40.36685009819169,3.5724738216652954,False,-3.583331875,4.9025,-0.11387977,False,False
rocksalt,2,Cl-Li,mp-22905,4.820913008186313,32.856351560680025,2.1425657398214,False,-3.9951921649999997,6.219,-0.01776634,False,False
rocksalt,2,F-Li,mp-1138,16.533653090291597,17.02215120415618,2.5304317804069387,True,-5.076145514999999,8.6959,-2.25310726,False,False
rocksalt,2,H-Li,mp-23703,40.228930506837536,16.207758213722748,0.8143955033141881,True,-3.14635464,2.981,-0.99767685,True,False
rocksalt,2,I-Li,mp-22899,2.106651824046763,53.15007878938231,4.1816613800925895,False,-3.102256465,4.2513000000000005,1.76742952,False,False
rocksalt,2,Mg-O,mp-1265,66.06932152405832,18.4427700910204,3.6289033819523207,True,-6.32752468,4.4292,2.7374354,True,False
rocksalt,2,Br-Na,mp-22916,2.904536884483077,51.949789918521965,3.2889280951307467,True,-3.32440569,4.0895,-0.72405064,True,False
rocksalt,2,Cl-Na,mp-22862,7.95828288351462,43.625325465502776,2.224545043829438,True,-3.695147555,5.0037,-0.7046017,True,False
rocksalt,2,F-Na,mp-682,24.508893457866503,23.889026260060266,2.918620456906104,True,-4.555515685,6.204,-2.0912328,True,False
rocksalt,2,H-Na,mp-23870,16.683299345278375,27.18138268611537,1.4660451320125392,True,-2.6322110850000002,3.7666,-1.01415759,False,False
rocksalt,2,I-Na,mp-23268,2.134234802032447,66.68896277659789,3.7323303560221612,True,-2.88290911,3.5686999999999998,0.85610586,True,False
rocksalt,8,Pb-S,mp-21276,2.0277599863023776,213.4355962686329,7.445972212994699,True,-4.709072695,0.46669999999999945,5.39026956,True,False
rocksalt,2,Pb-Se,mp-2201,2.235803693459575,59.05444982815671,8.046470006595401,True,-4.40091995,0.42569999999999997,4.55845249,True,False
rocksalt,2,Pb-Te,mp-19717,3.205886009838356,69.98911846195519,7.94335593467838,True,-4.044719665,0.8063000000000002,5.11774509,True,False
rocksalt,2,Br-Rb,mp-22867,3.5807455045485526,82.55292826433187,3.326427543971318,True,-3.33732668,4.192,-1.7943527,True,False
rocksalt,2,Cl-Rb,mp-23295,2.508627712018214,72.44443938610804,2.7716925421197955,True,-3.65940788,4.8388,-1.81796229,True,False
rocksalt,2,F-Rb,mp-11718,2.956639064000633,44.66769821355681,3.8835717641775656,True,-4.320544995,5.5244,-2.58431129,False,False
rocksalt,2,H-Rb,mp-24721,5.7396759252164005,54.22068808663736,2.648368171825792,True,-2.4233200150000003,2.9163,-1.06859736,True,False
rocksalt,2,I-Rb,mp-22903,2.0135339752260397,100.58221792977244,3.506111301341046,True,-2.948123795,3.7765,-0.79311606,True,False
rocksalt,2,O-Sr,mp-2472,10.613351708533683,34.49840025661019,4.987595380591106,True,-6.395818074999999,3.2748,1.66284593,False,False
wurtzite,4,Ag-I,mp-22894,2.455758728769999,141.9508120425751,5.492736317536004,False,-2.6476728324999996,1.3877000000000002,1.31058614,True,False
wurtzite,4,Al-As,mp-8881,64.64743859679771,91.25387576035061,3.7086456053404624,False,-4.68056761,1.6869999999999998,3.71170541,True,False
wurtzite,4,Al-N,mp-661,245.2704093643856,42.52728307818043,3.200889713142437,True,-7.6254323825000005,4.0467,6.08101269,True,False
wurtzite,4,Al-P,mp-8880,67.74721670610886,81.97411556050663,2.347986071086355,False,-5.1845921525,1.9532999999999996,4.47993399,False,False
wurtzite,4,Al-Sb,mp-1018100,50.338684347127376,118.23050903295669,4.178128601351843,False,-4.1844925175,0.9179000000000004,4.49531085,True,False
wurtzite,4,As-B,mp-984718,1316.4723840736663,55.85949706767284,5.097157656422205,False,-5.6790875825,1.1428000000000003,6.22320245,False,False
wurtzite,4,Be-O,mp-2542,310.93494411307404,27.51023288811809,3.0194371089026797,True,-7.4465427375,7.463900000000001,2.6082371,True,False
wurtzite,4,Be-Te,mp-1183441,197.47698796307236,91.11559024740612,4.979386394106737,False,-4.0059017725,2.2711999999999994,6.88434184,False,False
wurtzite,4,B-N,mp-2653,1036.7654131789038,23.87641842781525,3.452005209051759,False,-8.874619257500001,5.1975999999999996,7.53277692,False,False
wurtzite,4,B-P,mp-1008559,440.86828565548285,46.57095065738511,2.979764368566962,False,-6.4425339225,1.0624000000000002,7.75734329,False,False
wurtzite,4,Cd-S,mp-672,19.876929564235827,102.03892478274858,4.702284793707707,True,-3.4135096675,1.125,0.90711455,True,False
wurtzite,4,Cd-Se,mp-1070,12.476415846764711,115.97478237665474,5.480139995990648,False,-3.063861955,0.5724,0.52978313,True,False
wurtzite,4,Cd-Te,mp-12779,6.284424732028807,141.33765197053393,5.639652793960689,False,-2.6964526149999997,0.6185999999999998,1.82165467,True,False
wurtzite,4,Cl-Cu,mp-1184046,1.7289937126642387,76.97577886979161,4.271258036437935,False,-3.65821955,0.5736000000000003,3.69673912,True,False
wurtzite,4,Cu-H,mp-24093,5.777278381676896,31.476104687070972,6.811156611572919,False,-3.6974148325000002,0.5729000000000006,5.89441657,False,False
wurtzite,4,Cu-I,mp-569346,8.955042925685737,108.99192868343599,5.803190190456613,False,-3.1455671075,1.2119999999999997,4.493492,True,False
wurtzite,4,As-Ga,mp-8883,30.679165561702888,90.96756897439013,5.280739317994743,False,-4.1813247275,0.22380000000000022,2.78656561,True,False
wurtzite,4,Ga-N,mp-804,300.67351603144067,45.72832358928343,6.0809768201203696,True,-6.3391123425,1.7264999999999997,3.4401233,True,False
wurtzite,4,Ga-P,mp-8882,119.21823647454723,80.94438258953409,4.131501206922352,False,-4.619785785,1.3002000000000002,3.54851097,True,False
wurtzite,4,Ga-Sb,mp-1018059,24.721266390128005,115.32797728186458,5.514100040316375,False,-3.818369155,0.0,3.83142711,False,True
