,species,elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2
0,setosa,medium,sandy,low,medium,low,low,medium,low,low,medium,low,medium,low
1,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
2,setosa,medium,sandy,low,low,low,low,low,low,medium,low,low,high,low
3,setosa,low,clay,low,medium,low,low,low,low,low,medium,low,high,low
4,setosa,low,loamy,low,medium,low,low,low,low,low,low,low,high,low
5,setosa,medium,clay,low,medium,low,low,low,low,low,medium,low,high,low
6,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
7,setosa,low,loamy,low,high,low,low,high,low,low,medium,low,medium,low
8,setosa,high,clay,low,medium,low,low,medium,low,low,medium,low,high,low
9,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,low
10,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
11,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
12,setosa,medium,clay,low,medium,low,low,medium,low,low,medium,low,high,low
13,setosa,medium,loamy,low,high,low,low,medium,low,low,low,low,high,low
14,setosa,low,clay,low,high,low,low,high,low,low,low,low,high,low
15,setosa,high,clay,low,medium,low,low,low,low,low,medium,low,medium,low
16,setosa,low,sandy,low,medium,low,low,medium,low,low,medium,low,medium,low
17,setosa,high,clay,low,high,low,low,high,low,low,medium,low,high,low
18,setosa,low,clay,low,high,low,low,medium,low,low,low,low,high,medium
19,setosa,high,clay,low,medium,low,low,low,low,low,medium,low,medium,low
20,setosa,medium,clay,medium,medium,low,low,medium,low,low,low,low,high,low
21,setosa,high,sandy,low,medium,low,low,low,low,low,medium,low,high,low
22,setosa,low,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
23,setosa,high,loamy,low,low,low,low,low,low,low,low,low,high,low
24,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,medium,low
25,setosa,low,loamy,low,medium,low,low,low,low,low,low,low,high,medium
26,setosa,medium,loamy,medium,medium,low,low,medium,low,low,low,low,high,low
27,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,high,low
28,setosa,low,sandy,low,medium,low,low,low,low,low,low,low,high,low
29,setosa,high,sandy,low,medium,low,low,medium,low,low,medium,low,medium,low
30,setosa,high,clay,low,medium,low,low,medium,low,low,medium,low,medium,low
31,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
32,setosa,high,sandy,low,low,low,low,low,low,low,medium,low,high,low
33,setosa,medium,clay,low,high,low,low,high,low,low,low,low,high,medium
34,setosa,low,clay,low,medium,low,low,medium,low,low,low,low,high,low
35,setosa,high,clay,low,high,low,low,medium,low,low,low,low,medium,medium
36,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,medium,low
37,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
38,setosa,low,loamy,low,medium,low,low,low,low,low,low,low,high,low
39,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
40,setosa,low,sandy,medium,low,low,low,low,low,medium,low,low,medium,medium
41,setosa,low,clay,low,high,low,low,high,low,low,low,low,high,low
42,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,high,low
43,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
44,setosa,high,sandy,low,high,low,low,medium,low,low,low,low,high,medium
45,setosa,high,sandy,low,medium,low,low,low,low,low,medium,low,high,medium
46,setosa,medium,loamy,low,medium,low,low,medium,low,low,low,low,medium,low
47,setosa,low,clay,low,high,low,low,high,low,low,medium,low,high,low
48,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,high,low
49,setosa,low,loamy,low,medium,low,low,low,low,medium,low,low,medium,medium
50,setosa,medium,sandy,medium,medium,low,low,medium,low,low,medium,low,medium,low
51,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,medium,low
52,setosa,medium,sandy,low,medium,low,low,medium,low,low,low,low,high,low
53,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,medium,low
54,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,low
55,setosa,low,clay,low,medium,low,low,medium,low,medium,medium,low,high,low
56,setosa,medium,clay,low,medium,low,low,medium,low,low,low,low,high,medium
57,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
58,setosa,medium,clay,medium,high,low,low,high,low,low,medium,low,medium,low
59,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
60,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
61,setosa,medium,clay,low,medium,low,low,medium,low,low,low,low,high,low
62,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,medium,medium
63,setosa,high,sandy,low,low,low,low,low,low,low,medium,low,medium,low
64,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,medium,low
65,setosa,low,loamy,low,medium,low,low,low,low,low,low,low,high,low
66,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,high,low
67,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,medium,medium
68,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,medium,low
69,setosa,high,sandy,low,low,low,low,low,low,low,medium,low,high,medium
70,setosa,medium,loamy,low,medium,low,low,low,low,medium,low,low,high,low
71,setosa,medium,loamy,low,high,low,low,medium,low,low,high,low,high,low
72,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,high,low
73,setosa,low,loamy,low,medium,low,low,medium,low,low,low,low,high,low
74,setosa,low,clay,low,high,low,low,high,low,low,medium,low,medium,medium
75,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,high,low
76,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,medium,low
77,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,high,low
78,setosa,low,clay,medium,high,low,low,high,low,low,low,low,high,low
79,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,high,low
80,setosa,low,sandy,low,high,low,low,medium,low,low,low,low,high,medium
81,setosa,low,clay,medium,high,low,low,high,low,low,medium,low,high,low
82,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,high,low
83,setosa,medium,loamy,medium,medium,low,low,medium,low,low,medium,low,medium,low
84,setosa,low,loamy,low,medium,low,low,medium,low,low,medium,low,medium,low
85,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,medium,low
86,setosa,medium,clay,low,medium,low,low,low,low,low,low,low,medium,medium
87,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
88,setosa,low,loamy,low,medium,low,low,low,low,low,medium,low,medium,low
89,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,medium,low
90,setosa,low,sandy,low,medium,low,low,low,low,low,low,low,high,low
91,setosa,medium,loamy,low,medium,low,low,medium,low,low,medium,low,high,low
92,setosa,low,loamy,low,medium,low,low,medium,low,low,medium,low,high,low
93,setosa,high,clay,medium,medium,low,low,medium,low,low,low,low,high,medium
94,setosa,medium,clay,medium,medium,low,low,medium,low,low,low,low,high,medium
95,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,high,low
96,setosa,medium,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
97,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,high,low
98,setosa,low,clay,medium,high,low,low,high,low,low,low,low,high,medium
