Structure,Material,nbP,volume,mass,TC,density,lowest_valence,highest_valence,lowest_pediod,highest_pediod,lowest_group,highest_group,lowest_elMass,highest_elMass,lowest_nbneutrons,highest_nbneutrons,lowest_nbprotons,highest_nbprotons,lowest_nbelectrons,highest_nbelectrons,lowest_nbshells,highest_nbshells,lowest_electronegativity,highest_electronegativity,Ag,Al,As,B,Ba,Be,Br,C,Ca,Cd,Cl,Cs,Cu,F,Ga,H,I,In,K,Li,Mg,N,Na,O,P,Pb,Rb,S,Sb,Se,Si,Sr,Te,Zn
rocksalt,AgBr,8.0,22.77649703122533,751.0888,0.5324464372285903,6.842620521774571,1.0,7.0,4.0,5.0,11.0,17.0,79.904,107.868,45.0,61.0,35.0,47.0,35.0,47.0,4.0,5.0,2.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,AgCl,8.0,20.13314149854824,573.2848,0.5076814928374872,5.908496496116998,1.0,7.0,3.0,5.0,11.0,17.0,35.453,107.868,18.0,61.0,17.0,47.0,17.0,47.0,3.0,5.0,2.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,BaO,8.0,21.17357525329547,613.3056,3.105960682473178,6.010364828688675,2.0,6.0,2.0,6.0,2.0,16.0,15.999,137.327,8.0,81.0,8.0,56.0,8.0,56.0,2.0,6.0,0.89,3.44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rocksalt,BaS,8.0,32.183491657014756,677.568,6.248899034839497,4.368555205207377,2.0,6.0,3.0,6.0,2.0,16.0,32.065,137.327,16.0,81.0,16.0,56.0,16.0,56.0,3.0,6.0,0.89,2.58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rocksalt,BaSe,8.0,35.588657752866084,865.1479999999999,11.422769913530052,5.044253459813127,2.0,6.0,4.0,6.0,2.0,16.0,78.96,137.327,45.0,81.0,34.0,56.0,34.0,56.0,4.0,6.0,0.89,2.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksalt,BaTe,8.0,42.29586614080087,1059.708,11.569691298509456,5.198839273511954,2.0,6.0,5.0,6.0,2.0,16.0,127.6,137.327,76.0,81.0,52.0,56.0,52.0,56.0,5.0,6.0,0.89,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rocksalt,CaO,8.0,13.533503290652417,224.3096,26.50144293624608,3.4391865136758843,2.0,6.0,2.0,4.0,2.0,16.0,15.999,40.078,8.0,20.0,8.0,20.0,8.0,20.0,2.0,4.0,1.0,3.44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rocksalt,CaS,8.0,22.340160924359427,288.572,37.00100974066377,2.6803159656163906,2.0,6.0,3.0,4.0,2.0,16.0,32.065,40.078,16.0,20.0,16.0,20.0,16.0,20.0,3.0,4.0,1.0,2.58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
rocksalt,CaSe,8.0,25.289960358020426,476.152,18.88810237692597,3.9067495006438877,2.0,6.0,4.0,4.0,2.0,16.0,40.078,78.96,20.0,45.0,20.0,34.0,20.0,34.0,4.0,4.0,1.0,2.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksalt,CaTe,8.0,31.18339647190581,670.712,11.251761058856696,4.463039814325085,2.0,6.0,4.0,5.0,2.0,16.0,40.078,127.6,20.0,76.0,20.0,52.0,20.0,52.0,4.0,5.0,1.0,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
