,composition,nsites,volume_x,density_x,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,band_gap,cbm,vbm,efermi,universal_anisotropy,homogeneous_poisson,e_total,e_ionic,e_electronic,n,Structure,nbP,nbE,Formula,volume_y,mass,TC,density_y,mean_AtomicNumber,mean_AtomicMass,mean_NumberofNeutrons,mean_NumberofProtons,mean_NumberofElectrons,mean_Period,mean_Group,mean_Radioactive,mean_Metal,mean_AtomicRadius,mean_Electronegativity,mean_FirstIonization,mean_Density,mean_MeltingPoint,mean_BoilingPoint,mean_NumberOfIsotopes,mean_SpecificHeat,mean_NumberofShells,mean_NumberofValence,std_AtomicNumber,std_AtomicMass,std_NumberofNeutrons,std_NumberofProtons,std_NumberofElectrons,std_Period,std_Group,std_Radioactive,std_Metal,std_AtomicRadius,std_Electronegativity,std_FirstIonization,std_Density,std_MeltingPoint,std_BoilingPoint,std_NumberOfIsotopes,std_SpecificHeat,std_NumberofShells,std_NumberofValence,min_AtomicNumber,min_AtomicMass,min_NumberofNeutrons,min_NumberofProtons,min_NumberofElectrons,min_Period,min_Group,min_Radioactive,min_Metal,min_AtomicRadius,min_Electronegativity,min_FirstIonization,min_Density,min_MeltingPoint,min_BoilingPoint,min_NumberOfIsotopes,min_SpecificHeat,min_NumberofShells,min_NumberofValence,max_AtomicNumber,max_AtomicMass,max_NumberofNeutrons,max_NumberofProtons,max_NumberofElectrons,max_Period,max_Group,max_Radioactive,max_Metal,max_AtomicRadius,max_Electronegativity,max_FirstIonization,max_Density,max_MeltingPoint,max_BoilingPoint,max_NumberOfIsotopes,max_SpecificHeat,max_NumberofShells,max_NumberofValence,range_AtomicNumber,range_AtomicMass,range_NumberofNeutrons,range_NumberofProtons,range_NumberofElectrons,range_Period,range_Group,range_Radioactive,range_Metal,range_AtomicRadius,range_Electronegativity,range_FirstIonization,range_Density,range_MeltingPoint,range_BoilingPoint,range_NumberOfIsotopes,range_SpecificHeat,range_NumberofShells,range_NumberofValence
rocksalt:Ag-Br,Ag1 Br1,2,48.383937881431955,6.444350901853475,24.191968940715977,-17.75802207,-17.75802207,-0.5043995525000007,0.0,True,-0.1411186408333336,0.7303999999999999,1.9857,1.2553,1.55338318,0.195,0.396,12.692159136763971,5.864561666763977,6.827597469999996,2.6129671773675223,rocksalt,8,2,AgBr,45.55299406245066,751.0888,0.5324464372285903,6.842620521774571,41.0,93.886,53.0,41.0,41.0,4.5,14.0,0.0,0.5,1.4500000000000002,2.445,9.695,6.8100000000000005,750.1,1383.5,23.0,0.3545,4.5,3.5,8.48528137423857,19.773534029100613,11.313708498984761,8.48528137423857,8.48528137423857,0.7071067811865476,4.242640687119285,0.0,0.7071067811865476,0.49497474683058323,0.728319984622144,2.996435695956114,5.218448045156721,684.5500748666967,1487.0455608353095,5.656854249492381,0.16899852070358484,0.7071067811865476,4.949747468305833,35.0,79.904,45.0,35.0,35.0,4.0,11.0,0.0,0.0,1.1,1.93,7.5762,3.12,266.05,332.0,19.0,0.235,4.0,0.0,47.0,107.868,61.0,47.0,47.0,5.0,17.0,0.0,1.0,1.8,2.96,11.8138,10.5,1234.15,2435.0,27.0,0.474,5.0,7.0,12.0,27.964,16.0,12.0,12.0,1.0,6.0,0.0,1.0,0.7,1.03,4.2376000000000005,7.38,968.1000000000001,2103.0,8.0,0.239,1.0,7.0
rocksalt:Ag-Cl,Ag1 Cl1,2,42.630581348524416,5.582622712233539,21.315290674262208,-14.322597955,-14.322597955,-0.5684399337500015,0.0,True,-0.15228091250000197,0.9522000000000002,2.3624,1.4102,1.49474467,0.242,0.424,11.41491176275674,5.661743849423442,5.753167913333299,2.3985762262920267,rocksalt,8,2,AgCl,40.26628299709648,573.2848,0.5076814928374872,5.908496496116998,32.0,71.6605,39.5,32.0,32.0,4.0,14.0,0.0,0.5,1.385,2.545,10.271899999999999,5.251605,703.23,1337.055,19.0,0.357,4.0,3.5,21.213203435596427,51.205137559623836,30.405591591021544,21.213203435596427,21.213203435596427,1.4142135623730951,4.242640687119285,0.0,0.7071067811865476,0.5868986283848344,0.8697413408594536,3.8122955000891516,7.42235138969114,750.8342645351237,1552.728709739728,11.313708498984761,0.1725340546095176,1.4142135623730951,4.949747468305833,17.0,35.453,18.0,17.0,17.0,3.0,11.0,0.0,0.0,0.97,1.93,7.5762,0.00321,172.31,239.11,11.0,0.235,3.0,0.0,47.0,107.868,61.0,47.0,47.0,5.0,17.0,0.0,1.0,1.8,3.16,12.9676,10.5,1234.15,2435.0,27.0,0.479,5.0,7.0,30.0,72.41499999999999,43.0,30.0,30.0,2.0,6.0,0.0,1.0,0.8300000000000001,1.2300000000000002,5.391399999999999,10.49679,1061.8400000000001,2195.89,16.0,0.244,2.0,7.0
rocksalt:Ba-O,Ba1 O1,2,43.453575205003915,5.859229670745691,21.726787602501958,-18.915361975,-6.25711068,-2.82149134875,0.0,True,-1.195998209999999,2.0906000000000002,3.7027,1.6121,1.72769767,0.005,0.27,70.37653824999985,66.11217573999987,4.264362509999988,2.0650332951310952,rocksalt,8,2,BaO,42.34715050659094,613.3056,3.105960682473178,6.010364828688675,32.0,76.663,44.5,32.0,32.0,4.0,9.0,0.0,0.5,1.7249999999999999,2.165,9.4149,1.795715,526.325,1130.1,16.5,0.561,4.0,4.0,33.94112549695428,85.79185154780144,51.61879502661797,33.94112549695428,33.94112549695428,2.8284271247461903,9.899494936611665,0.0,0.7071067811865476,1.520279579551077,1.8031222920256962,5.944222445366592,2.537502181762609,672.9181683161779,1470.6406835117816,12.020815280171307,0.504874241767195,2.8284271247461903,2.8284271247461903,8.0,15.999,8.0,8.0,8.0,2.0,2.0,0.0,0.0,0.65,0.89,5.2117,0.00143,50.5,90.2,8.0,0.204,2.0,2.0,56.0,137.327,81.0,56.0,56.0,6.0,16.0,0.0,1.0,2.8,3.44,13.6181,3.59,1002.15,2170.0,25.0,0.918,6.0,6.0,48.0,121.328,73.0,48.0,48.0,4.0,14.0,0.0,1.0,2.15,2.55,8.4064,3.58857,951.65,2079.8,17.0,0.7140000000000001,4.0,4.0
rocksalt:Ba-S,Ba1 S1,2,67.12620118023263,4.190346371817915,33.56310059011631,-19.60391517,-5.35775155,-2.329084296249999,0.0,True,-1.0149101849999997,2.1488,3.4504,1.3016,1.35700937,0.561,0.249,14.953045706679058,10.147174973344821,4.805870733334237,2.192229626050665,rocksalt,8,2,BaS,64.36698331402951,677.568,6.248899034839497,4.368555205207377,36.0,84.696,48.5,36.0,36.0,4.5,9.0,0.0,0.5,1.95,1.735,7.78585,2.83,695.3299999999999,1443.9,17.5,0.45699999999999996,4.5,4.0,28.284271247461902,74.43147400125837,45.96194077712559,28.284271247461902,28.284271247461902,2.1213203435596424,9.899494936611665,0.0,0.7071067811865476,1.2020815280171306,1.1950104602052654,3.640397841582702,1.0748023074035522,433.90900520731304,1026.8604676391042,10.606601717798213,0.35779603128039306,2.1213203435596424,2.8284271247461903,16.0,32.065,16.0,16.0,16.0,3.0,2.0,0.0,0.0,1.1,0.89,5.2117,2.07,388.51,717.8,10.0,0.204,3.0,2.0,56.0,137.327,81.0,56.0,56.0,6.0,16.0,0.0,1.0,2.8,2.58,10.36,3.59,1002.15,2170.0,25.0,0.71,6.0,6.0,40.0,105.262,65.0,40.0,40.0,3.0,14.0,0.0,1.0,1.6999999999999997,1.69,5.148299999999999,1.52,613.64,1452.2,15.0,0.506,3.0,4.0
rocksalt:Ba-Se,Ba1 Se1,2,74.09331260733886,4.84730673334938,37.04665630366943,-22.722893825,-4.99120499,-2.283761781171875,0.0,True,-1.0025560174999995,1.9487999999999999,3.0025,1.0537,1.13655998,0.719,0.249,14.129322270040882,8.835267593375297,5.294054676665585,2.300881282610119,rocksalt,8,2,BaSe,71.17731550573217,865.1479999999999,11.422769913530052,5.044253459813127,45.0,108.14349999999999,63.0,45.0,45.0,5.0,9.0,0.0,0.5,2.0,1.72,7.48205,4.199999999999999,748.15,1564.0,22.5,0.2625,5.0,4.0,15.556349186104045,41.271701497515224,25.45584412271571,15.556349186104045,15.556349186104045,1.4142135623730951,9.899494936611665,0.0,0.7071067811865476,1.131370849898476,1.1737972567696688,3.210759761333756,0.8626702730475878,359.21024484276614,857.0134187980956,3.5355339059327378,0.08273149339882607,1.4142135623730951,2.8284271247461903,34.0,78.96,45.0,34.0,34.0,4.0,2.0,0.0,0.0,1.2,0.89,5.2117,3.59,494.15,958.0,20.0,0.204,4.0,2.0,56.0,137.327,81.0,56.0,56.0,6.0,16.0,0.0,1.0,2.8,2.55,9.7524,4.81,1002.15,2170.0,25.0,0.321,6.0,6.0,22.0,58.367000000000004,36.0,22.0,22.0,2.0,14.0,0.0,1.0,1.5999999999999999,1.6599999999999997,4.540699999999999,1.2199999999999998,508.0,1212.0,5.0,0.11700000000000002,2.0,4.0
rocksalt:Ba-Te,Ba1 Te1,2,89.09415786940792,4.937715825789215,44.54707893470396,-28.01498129,-4.534715075000001,-2.003574658333334,0.0,True,-0.8976859937500019,1.593,3.6383,2.0453,2.12107087,1.119,0.255,13.189481429999992,7.213384476666661,5.9760969533333315,2.4446056846316404,rocksalt,8,2,BaTe,84.59173228160174,1059.708,11.569691298509456,5.198839273511954,54.0,132.4635,78.5,54.0,54.0,5.5,9.0,0.0,0.5,2.0999999999999996,1.495,7.110650000000001,4.91,862.4749999999999,1715.5,27.0,0.203,5.5,4.0,2.8284271247461903,6.878027660601551,3.5355339059327378,2.8284271247461903,2.8284271247461903,0.7071067811865476,9.899494936611665,0.0,0.7071067811865476,0.9899494936611665,0.8555992052357225,2.685520844268389,1.866761902332486,197.53027932446207,642.7600640985717,2.8284271247461903,0.0014142135623730766,0.7071067811865476,2.8284271247461903,52.0,127.6,76.0,52.0,52.0,5.0,2.0,0.0,0.0,1.4,0.89,5.2117,3.59,722.8,1261.0,25.0,0.202,5.0,2.0,56.0,137.327,81.0,56.0,56.0,6.0,16.0,0.0,1.0,2.8,2.1,9.0096,6.23,1002.15,2170.0,29.0,0.204,6.0,6.0,4.0,9.727000000000004,5.0,4.0,4.0,1.0,14.0,0.0,1.0,1.4,1.21,3.7979000000000003,2.6400000000000006,279.35,909.0,4.0,0.001999999999999974,1.0,4.0
rocksalt:Ca-O,Ca1 O1,2,27.771067003632275,3.3530837486789946,13.885533501816138,-9.72958125,-9.72958125,-3.2301091375000013,0.0,True,-3.2301091375000013,3.6301000000000005,5.868,2.2379,2.25697064,0.001,0.216,16.47135604666664,12.687349153333313,3.7840068933333257,1.9452523983620547,rocksalt,8,2,CaO,27.067006581304835,224.3096,26.50144293624608,3.4391865136758843,14.0,28.038500000000003,14.0,14.0,14.0,3.0,9.0,0.0,0.5,1.425,2.2199999999999998,9.86565,0.770715,581.325,923.6,11.0,0.7825,3.0,4.0,8.48528137423857,17.02642418419088,8.48528137423857,8.48528137423857,8.48528137423857,1.4142135623730951,9.899494936611665,0.0,0.7071067811865476,1.096015510839149,1.7253405460951758,5.306765682126921,1.0879332803301864,750.6999142466982,1178.6055828817373,4.242640687119285,0.1916259377015544,1.4142135623730951,2.8284271247461903,8.0,15.999,8.0,8.0,8.0,2.0,2.0,0.0,0.0,0.65,1.0,6.1132,0.00143,50.5,90.2,8.0,0.647,2.0,2.0,20.0,40.078,20.0,20.0,20.0,4.0,16.0,0.0,1.0,2.2,3.44,13.6181,1.54,1112.15,1757.0,14.0,0.918,4.0,6.0,12.0,24.079,12.0,12.0,12.0,2.0,14.0,0.0,1.0,1.5500000000000003,2.44,7.5049,1.53857,1061.65,1666.8,6.0,0.271,2.0,4.0
rocksalt:Ca-S,Ca1 S1,2,46.414057530527266,2.5810342007468723,23.207028765263633,-9.97225439,-9.97225439,-2.4356079989062493,0.0,True,-2.4356079989062493,2.3819,5.0232,2.6413,2.66171321,0.191,0.22,12.091625876473438,7.103290626469776,4.9883352500036615,2.233458137060926,rocksalt,8,2,CaS,44.680321848718854,288.572,37.00100974066377,2.6803159656163906,18.0,36.0715,18.0,18.0,18.0,3.5,9.0,0.0,0.5,1.6500000000000001,1.79,8.2366,1.805,750.33,1237.4,12.0,0.6785,3.5,4.0,2.8284271247461903,5.666046637647809,2.8284271247461903,2.8284271247461903,2.8284271247461903,0.7071067811865476,9.899494936611665,0.0,0.7071067811865476,0.7778174593052023,1.1172287142747452,3.0029410783430297,0.3747665940288701,511.69075113783333,734.8253670090602,2.8284271247461903,0.044547727214752454,0.7071067811865476,2.8284271247461903,16.0,32.065,16.0,16.0,16.0,3.0,2.0,0.0,0.0,1.1,1.0,6.1132,1.54,388.51,717.8,10.0,0.647,3.0,2.0,20.0,40.078,20.0,20.0,20.0,4.0,16.0,0.0,1.0,2.2,2.58,10.36,2.07,1112.15,1757.0,14.0,0.71,4.0,6.0,4.0,8.013000000000005,4.0,4.0,4.0,1.0,14.0,0.0,1.0,1.1,1.58,4.2467999999999995,0.5299999999999998,723.6400000000001,1039.2,4.0,0.06299999999999994,1.0,4.0
rocksalt:Ca-Se,Ca1 Se1,2,52.40874882176445,3.7716460296003667,26.204374410882224,-12.990884785,-12.990884785,-2.315957819531251,0.0,True,-2.315957819531251,2.0728000000000004,4.3688,2.296,2.43012507,0.259,0.225,12.470253043107169,6.853277043107066,5.616976000000104,2.37001603370106,rocksalt,8,2,CaSe,50.57992071604085,476.152,18.88810237692597,3.9067495006438877,27.0,59.519,32.5,27.0,27.0,4.0,9.0,0.0,0.5,1.7000000000000002,1.775,7.9328,3.175,803.1500000000001,1357.5,17.0,0.484,4.0,4.0,9.899494936611665,27.493725866095335,17.67766952966369,9.899494936611665,9.899494936611665,0.0,9.899494936611665,0.0,0.7071067811865476,0.7071067811865477,1.0960155108391485,2.573302998094084,2.3122391744800104,436.99199077328643,564.9783181680515,4.242640687119285,0.2305168106668145,0.0,2.8284271247461903,20.0,40.078,20.0,20.0,20.0,4.0,2.0,0.0,0.0,1.2,1.0,6.1132,1.54,494.15,958.0,14.0,0.321,4.0,2.0,34.0,78.96,45.0,34.0,34.0,4.0,16.0,0.0,1.0,2.2,2.55,9.7524,4.81,1112.15,1757.0,20.0,0.647,4.0,6.0,14.0,38.88199999999999,25.0,14.0,14.0,0.0,14.0,0.0,1.0,1.0000000000000002,1.5499999999999998,3.6391999999999998,3.2699999999999996,618.0000000000001,799.0,6.0,0.326,0.0,4.0
rocksalt:Ca-Te,Ca1 Te1,2,65.28162287945732,4.265149322704297,32.64081143972866,-18.14527302,-18.14527302,-1.9175140150000018,0.0,True,-1.9175140150000018,1.5535,5.133,3.5795,3.67271973,0.47,0.238,12.958317703196242,6.366027223197281,6.592290479998961,2.5675456140055157,rocksalt,8,2,CaTe,62.36679294381162,670.712,11.251761058856696,4.463039814325085,36.0,83.839,48.0,36.0,36.0,4.5,9.0,0.0,0.5,1.8,1.55,7.561400000000001,3.8850000000000002,917.475,1509.0,21.5,0.4245,4.5,4.0,22.627416997969522,61.88739970300901,39.59797974644666,22.627416997969522,22.627416997969522,0.7071067811865476,9.899494936611665,0.0,0.7071067811865476,0.5656854249492382,0.7778174593052023,2.0480640810287167,3.316330803764908,275.31202525498236,350.72496346852756,10.606601717798213,0.31466251762801367,0.7071067811865476,2.8284271247461903,20.0,40.078,20.0,20.0,20.0,4.0,2.0,0.0,0.0,1.4,1.0,6.1132,1.54,722.8,1261.0,14.0,0.202,4.0,2.0,52.0,127.6,76.0,52.0,52.0,5.0,16.0,0.0,1.0,2.2,2.1,9.0096,6.23,1112.15,1757.0,29.0,0.647,5.0,6.0,32.0,87.52199999999999,56.0,32.0,32.0,1.0,14.0,0.0,1.0,0.8000000000000003,1.1,2.8964000000000008,4.69,389.35000000000014,496.0,15.0,0.445,1.0,4.0
