Address ID,Customer ID,Country,City,State,Postal Code,Region
CG-12520_42420,CG-12520,United States,Henderson,Kentucky,42420,South
DV-13045_90036,DV-13045,United States,Los Angeles,California,90036,West
SO-20335_33311,SO-20335,United States,Fort Lauderdale,Florida,33311,South
BH-11710_90032,BH-11710,United States,Los Angeles,California,90032,West
AA-10480_28027,AA-10480,United States,Concord,North Carolina,28027,South
IM-15070_98103,IM-15070,United States,Seattle,Washington,98103,West
HP-14815_76106,HP-14815,United States,Fort Worth,Texas,76106,Central
PK-19075_53711,PK-19075,United States,Madison,Wisconsin,53711,Central
AG-10270_84084,AG-10270,United States,West Jordan,Utah,84084,West
ZD-21925_94109,ZD-21925,United States,San Francisco,California,94109,West
KB-16585_68025,KB-16585,United States,Fremont,Nebraska,68025,Central
SF-20065_19140,SF-20065,United States,Philadelphia,Pennsylvania,19140,East
EB-13870_84057,EB-13870,United States,Orem,Utah,84057,West
EH-13945_90049,EH-13945,United States,Los Angeles,California,90049,West
TB-21520_19140,TB-21520,United States,Philadelphia,Pennsylvania,19140,East
MA-17560_77095,MA-17560,United States,Houston,Texas,77095,Central
GH-14485_75080,GH-14485,United States,Richardson,Texas,75080,Central
SN-20710_77041,SN-20710,United States,Houston,Texas,77041,Central
LC-16930_60540,LC-16930,United States,Naperville,Illinois,60540,Central
RA-19885_90049,RA-19885,United States,Los Angeles,California,90049,West
ES-14080_32935,ES-14080,United States,Melbourne,Florida,32935,South
ON-18715_55122,ON-18715,United States,Eagan,Minnesota,55122,Central
PO-18865_48185,PO-18865,United States,Westland,Michigan,48185,Central
LH-16900_19901,LH-16900,United States,Dover,Delaware,19901,East
DP-13000_47150,DP-13000,United States,New Albany,Indiana,47150,Central
JM-15265_10024,JM-15265,United States,New York City,New York,10024,East
TB-21055_12180,TB-21055,United States,Troy,New York,12180,East
KM-16720_90004,KM-16720,United States,Los Angeles,California,90004,West
PS-18970_60610,PS-18970,United States,Chicago,Illinois,60610,Central
BS-11590_85234,BS-11590,United States,Gilbert,Arizona,85234,West
KD-16270_22153,KD-16270,United States,Springfield,Virginia,22153,South
HM-14980_10009,HM-14980,United States,New York City,New York,10009,East
TB-21520_49201,TB-21520,United States,Jackson,Michigan,49201,Central
JE-15745_38109,JE-15745,United States,Memphis,Tennessee,38109,South
KB-16600_77041,KB-16600,United States,Houston,Texas,77041,Central
JE-15745_77070,JE-15745,United States,Houston,Texas,77070,Central
SC-20770_35601,SC-20770,United States,Decatur,Alabama,35601,South
DN-13690_94122,DN-13690,United States,San Francisco,California,94122,West
JC-16105_27707,JC-16105,United States,Durham,North Carolina,27707,South
CS-12400_60623,CS-12400,United States,Chicago,Illinois,60623,Central
PO-18865_29203,PO-18865,United States,Columbia,South Carolina,29203,South
PG-18895_55901,PG-18895,United States,Rochester,Minnesota,55901,Central
GM-14455_77095,GM-14455,United States,Houston,Texas,77095,Central
JS-15685_90036,JS-15685,United States,Los Angeles,California,90036,West
KB-16315_55407,KB-16315,United States,Minneapolis,Minnesota,55407,Central
RB-19705_97206,RB-19705,United States,Portland,Oregon,97206,West
PN-18775_10009,PN-18775,United States,New York City,New York,10009,East
KD-16345_94122,KD-16345,United States,San Francisco,California,94122,West
ER-13855_55106,ER-13855,United States,Saint Paul,Minnesota,55106,Central
RB-19465_60610,RB-19465,United States,Chicago,Illinois,60610,Central
GZ-14470_55901,GZ-14470,United States,Rochester,Minnesota,55901,Central
LC-16870_80013,LC-16870,United States,Aurora,Colorado,80013,West
JM-15250_28205,JM-15250,United States,Charlotte,North Carolina,28205,South
PA-19060_60462,PA-19060,United States,Orland Park,Illinois,60462,Central
CV-12805_10035,CV-12805,United States,New York City,New York,10035,East
CL-12565_50322,CL-12565,United States,Urbandale,Iowa,50322,Central
RC-19960_43229,RC-19960,United States,Columbus,Ohio,43229,East
DK-13090_98103,DK-13090,United States,Seattle,Washington,98103,West
GG-14650_37620,GG-14650,United States,Bristol,Tennessee,37620,South
SC-20725_19805,SC-20725,United States,Wilmington,Delaware,19805,East
AD-10180_77041,AD-10180,United States,Houston,Texas,77041,Central
PF-19165_61701,PF-19165,United States,Bloomington,Illinois,61701,Central
TS-21610_85023,TS-21610,United States,Phoenix,Arizona,85023,West
LS-16975_90004,LS-16975,United States,Los Angeles,California,90004,West
DW-13585_43229,DW-13585,United States,Columbus,Ohio,43229,East
LC-16885_95661,LC-16885,United States,Roseville,California,95661,West
JD-15895_19140,JD-15895,United States,Philadelphia,Pennsylvania,19140,East
SH-19975_94122,SH-19975,United States,San Francisco,California,94122,West
SG-20080_64055,SG-20080,United States,Independence,Missouri,64055,Central
HA-14920_91104,HA-14920,United States,Pasadena,California,91104,West
MG-17680_43055,MG-17680,United States,Newark,Ohio,43055,East
JE-16165_53132,JE-16165,United States,Franklin,Wisconsin,53132,Central
TW-21025_85254,TW-21025,United States,Scottsdale,Arizona,85254,West
SP-20650_95123,SP-20650,United States,San Jose,California,95123,West
NK-18490_98105,NK-18490,United States,Seattle,Washington,98105,West
