date,IDLieu,IDProduit,nbVentes,coût,bénéfice_pc,coût_pc,bénéfice
2019-09-01,DK-13375_10024,TEC-PH-10002075,3,268.36,0.2899965606,0.7100034394,109.61
2019-07-02,EB-13705_94122,FUR-TA-10003715,3,590.43,-0.1750084579,1.1750084579,-87.94
2019-07-02,EB-13705_94122,OFF-BI-10001597,6,127.85,0.3500254194,0.6499745806,68.85
2019-03-08,NF-18475_32216,OFF-PA-10000176,6,59.19,0.3499890182,0.6500109818,31.87
2019-01-22,JC-15340_10024,OFF-BI-10000343,1,2.6,0.3384223919,0.6615776081,1.33
2019-04-02,JM-15655_85301,OFF-FA-10000611,2,1.54,0.3502109705,0.6497890295,0.83
2019-04-02,JM-15655_85301,OFF-PA-10004733,3,12.12,0.3624408206,0.6375591794,6.89
2019-05-19,BW-11065_10035,OFF-PA-10001471,2,7.89,0.4603283174,0.5396716826,6.73
2019-04-12,KM-16720_77095,FUR-CH-10002602,3,335.18,-0.0571500662,1.0571500662,-18.12
2019-04-12,KM-16720_77095,OFF-AR-10001868,2,1.68,0.375464684,0.624535316,1.01
2019-04-12,KM-16720_77095,OFF-EN-10000056,3,98.94,0.3375292936,0.6624707064,50.41
2019-04-12,KM-16720_77095,TEC-AC-10000474,3,199.48,0.1250109659,0.8749890341,28.5
2019-12-10,LE-16810_22153,FUR-FU-10002268,6,19.74,0.3299389002,0.6700610998,9.72
2019-12-10,LE-16810_22153,TEC-AC-10001314,2,91.98,0.0800160032,0.9199839968,8.0
2019-11-18,NG-18355_49201,OFF-AR-10000380,4,106.34,0.3000263296,0.6999736704,45.58
2019-11-18,NG-18355_49201,OFF-LA-10003930,2,100.28,0.4899806734,0.5100193266,96.34
2019-11-18,NG-18355_49201,OFF-PA-10001815,3,74.94,0.4800166528,0.5199833472,69.18
2019-11-18,NG-18355_49201,OFF-PA-10004082,2,7.98,0.5,0.5,7.98
2019-03-20,CS-12505_91767,OFF-LA-10001982,5,9.75,0.48,0.52,9.0
2019-10-13,EH-14125_90712,TEC-PH-10004922,6,301.45,0.0625097186,0.9374902814,20.1
2019-03-22,DR-12940_87105,TEC-PH-10003273,3,279.7,0.0750049606,0.9249950394,22.68
2019-05-27,SV-20785_30076,OFF-AR-10004511,2,5.91,0.3095794393,0.6904205607,2.65
2019-05-27,SV-20785_30076,OFF-ST-10001490,2,249.86,0.2999943968,0.7000056032,107.08
2019-05-27,SV-20785_30076,TEC-PH-10001425,3,172.78,0.2799933325,0.7200066675,67.19
