IDLieu,Ville,Etat,Region
CG-12520_42420,Henderson,Kentucky,South
DV-13045_90036,Los Angeles,California,West 
SO-20335_33311,Fort Lauderdale,Florida,South
BH-11710_90032,Los Angeles,California,West 
AA-10480_28027,Concord,North Carolina,South
IM-15070_98103,Seattle,Washington,West 
HP-14815_76106,Fort Worth,Texas,Central
PK-19075_53711,Madison,Wisconsin,Central
AG-10270_84084,West Jordan,Utah,West 
ZD-21925_94109,San Francisco,California,West 
KB-16585_68025,Fremont,Nebraska,Central
SF-20065_19140,Philadelphia,Pennsylvania,East 
EB-13870_84057,Orem,Utah,West 
EH-13945_90049,Los Angeles,California,West 
TB-21520_19140,Philadelphia,Pennsylvania,East 
MA-17560_77095,Houston,Texas,Central
GH-14485_75080,Richardson,Texas,Central
SN-20710_77041,Houston,Texas,Central
LC-16930_60540,Naperville,Illinois,Central
RA-19885_90049,Los Angeles,California,West 
ES-14080_32935,Melbourne,Florida,South
ON-18715_55122,Eagan,Minnesota,Central
PO-18865_48185,Westland,Michigan,Central
LH-16900_19901,Dover,Delaware,East 
DP-13000_47150,New Albany,Indiana,Central
JM-15265_10024,New York City,New York,East 
TB-21055_12180,Troy,New York,East 
KM-16720_90004,Los Angeles,California,West 
PS-18970_60610,Chicago,Illinois,Central
BS-11590_85234,Gilbert,Arizona,West 
KD-16270_22153,Springfield,Virginia,South
HM-14980_10009,New York City,New York,East 
TB-21520_49201,Jackson,Michigan,Central
JE-15745_38109,Memphis,Tennessee,South
KB-16600_77041,Houston,Texas,Central
JE-15745_77070,Houston,Texas,Central
SC-20770_35601,Decatur,Alabama,South
DN-13690_94122,San Francisco,California,West 
JC-16105_27707,Durham,North Carolina,South
CS-12400_60623,Chicago,Illinois,Central
PO-18865_29203,Columbia,South Carolina,South
PG-18895_55901,Rochester,Minnesota,Central
GM-14455_77095,Houston,Texas,Central
JS-15685_90036,Los Angeles,California,West 
KB-16315_55407,Minneapolis,Minnesota,Central
RB-19705_97206,Portland,Oregon,West 
PN-18775_10009,New York City,New York,East 
KD-16345_94122,San Francisco,California,West 
ER-13855_55106,Saint Paul,Minnesota,Central
RB-19465_60610,Chicago,Illinois,Central
GZ-14470_55901,Rochester,Minnesota,Central
LC-16870_80013,Aurora,Colorado,West 
JM-15250_28205,Charlotte,North Carolina,South
PA-19060_60462,Orland Park,Illinois,Central
CV-12805_10035,New York City,New York,East 
CL-12565_50322,Urbandale,Iowa,Central
RC-19960_43229,Columbus,Ohio,East 
DK-13090_98103,Seattle,Washington,West 
GG-14650_37620,Bristol,Tennessee,South
SC-20725_19805,Wilmington,Delaware,East 
AD-10180_77041,Houston,Texas,Central
PF-19165_61701,Bloomington,Illinois,Central
TS-21610_85023,Phoenix,Arizona,West 
LS-16975_90004,Los Angeles,California,West 
DW-13585_43229,Columbus,Ohio,East 
LC-16885_95661,Roseville,California,West 
JD-15895_19140,Philadelphia,Pennsylvania,East 
SH-19975_94122,San Francisco,California,West 
SG-20080_64055,Independence,Missouri,Central
HA-14920_91104,Pasadena,California,West 
MG-17680_43055,Newark,Ohio,East 
JE-16165_53132,Franklin,Wisconsin,Central
TW-21025_85254,Scottsdale,Arizona,West 
SP-20650_95123,San Jose,California,West 
NK-18490_98105,Seattle,Washington,West 
DB-13060_98115,Seattle,Washington,West 
NP-18670_73034,Edmond,Oklahoma,Central
TT-21070_90045,Los Angeles,California,West 
EM-13960_19134,Philadelphia,Pennsylvania,East 
RD-19900_88220,Carlsbad,New Mexico,West 
MJ-17740_98115,Seattle,Washington,West 
BM-11140_78207,San Antonio,Texas,Central
CS-12130_90004,Los Angeles,California,West 
JB-15400_60623,Chicago,Illinois,Central
SJ-20500_77036,Houston,Texas,Central
JE-15745_43055,Newark,Ohio,East 
JK-15640_10009,New York City,New York,East 
DK-13150_62521,Decatur,Illinois,Central
RM-19675_71203,Monroe,Louisiana,South
SK-19990_6824,Fairfield,Connecticut,East 
FM-14290_90032,Los Angeles,California,West 
AM-10360_75051,Grand Prairie,Texas,Central
MP-17470_10035,New York City,New York,East 
MZ-17515_92374,Redlands,California,West 
CB-12025_45011,Hamilton,Ohio,East 
VM-21685_7090,Westfield,New Jersey,East 
FH-14365_19120,Philadelphia,Pennsylvania,East 
MB-17305_44312,Akron,Ohio,East 
BS-11755_80219,Denver,Colorado,West 
LC-17140_75220,Dallas,Texas,Central
HK-14890_37064,Franklin,Tennessee,South
LE-16810_90604,Whittier,California,West 
JH-15985_48601,Saginaw,Michigan,Central
MS-17980_75220,Dallas,Texas,Central
VW-21775_44256,Medina,Ohio,East 
JH-15910_90032,Los Angeles,California,West 
JB-15925_43017,Dublin,Ohio,East 
DS-13180_48227,Detroit,Michigan,Central
VD-21670_38401,Columbia,Tennessee,South
EA-14035_28205,Charlotte,North Carolina,South
CS-12400_33614,Tampa,Florida,South
DB-13120_95051,Santa Clara,California,West 
KL-16645_60610,Chicago,Illinois,Central
DW-13480_55044,Lakeville,Minnesota,Central
LH-17155_94109,San Francisco,California,West 
KC-16540_92037,San Diego,California,West 
DL-13315_10024,New York City,New York,East 
DR-12880_60623,Chicago,Illinois,Central
CC-12670_10009,New York City,New York,East 
Dl-13600_77506,Pasadena,Texas,Central
SB-20290_77036,Houston,Texas,Central
RC-19825_60610,Chicago,Illinois,Central
AH-10210_94513,Brentwood,California,West 
CB-12535_27514,Chapel Hill,North Carolina,South
PG-18895_7960,Morristown,New Jersey,East 
CA-12310_45231,Cincinnati,Ohio,East 
KH-16690_94110,San Francisco,California,West 
HA-14920_94109,San Francisco,California,West 
BB-10990_90301,Inglewood,California,West 
AG-10495_19140,Philadelphia,Pennsylvania,East 
SC-20725_77070,Houston,Texas,Central
JO-15280_90004,Los Angeles,California,West 
TB-21520_97206,Portland,Oregon,West 
AH-10195_33319,Tamarac,Florida,South
NZ-18565_43229,Columbus,Ohio,East 
KL-16555_80906,Colorado Spring,Colorado,West 
JD-15895_7109,Belleville,New Jersey,East 
JH-15910_60623,Chicago,Illinois,Central
AS-10225_10024,New York City,New York,East 
KB-16600_48180,Taylor,Michigan,Central
CR-12625_8701,Lakewood,New Jersey,East 
SH-20395_22204,Arlington,Virginia,South
BP-11185_80004,Arvada,Colorado,West 
TS-21205_7601,Hackensack,New Jersey,East 
AG-10525_33710,Saint Petersbur,Florida,South
SP-20860_19143,Philadelphia,Pennsylvania,East 
NM-18445_10024,New York City,New York,East 
FA-14230_90805,Long Beach,California,West 
GK-14620_92345,Hesperia,California,West 
DJ-13510_37130,Murfreesboro,Tennessee,South
PO-18850_19143,Philadelphia,Pennsylvania,East 
JL-15850_19134,Philadelphia,Pennsylvania,East 
DB-13615_90045,Los Angeles,California,West 
AC-10420_94122,San Francisco,California,West 
KL-16645_84041,Layton,Utah,West 
CS-12130_78745,Austin,Texas,Central
CC-12550_94122,San Francisco,California,West 
TD-20995_1852,Lowell,Massachusetts,East 
AB-10060_10009,New York City,New York,East 
JL-15505_10035,New York City,New York,East 
HK-14890_28205,Charlotte,North Carolina,South
