Order ID,Product ID,Sales,Quantity,Profit
CA-2016-152156,FUR-BO-10001798,261.96,2,41.91
CA-2016-152156,FUR-CH-10000454,731.94,3,219.58
CA-2016-138688,OFF-LA-10000240,14.62,2,6.87
US-2015-108966,FUR-TA-10000577,957.58,5,-383.03
US-2015-108966,OFF-ST-10000760,22.37,2,2.52
CA-2014-115812,FUR-FU-10001487,48.86,7,14.17
CA-2014-115812,OFF-AR-10002833,7.28,4,1.97
CA-2014-115812,TEC-PH-10002275,907.15,6,90.72
CA-2014-115812,OFF-BI-10003910,18.5,3,5.78
CA-2014-115812,OFF-AP-10002892,114.9,5,34.47
CA-2014-115812,FUR-TA-10001539,1706.18,9,85.31
CA-2014-115812,TEC-PH-10002033,911.42,4,68.36
CA-2017-114412,OFF-PA-10002365,15.55,3,5.44
CA-2016-161389,OFF-BI-10003656,407.98,3,132.59
US-2015-118983,OFF-AP-10002311,68.81,5,-123.86
US-2015-118983,OFF-BI-10000756,2.54,3,-3.82
CA-2014-105893,OFF-ST-10004186,665.88,6,13.32
CA-2014-167164,OFF-ST-10000107,55.5,2,9.99
CA-2014-143336,OFF-AR-10003056,8.56,2,2.48
CA-2014-143336,TEC-PH-10001949,213.48,3,16.01
CA-2014-143336,OFF-BI-10002215,22.72,4,7.38
CA-2016-137330,OFF-AR-10000246,19.46,7,5.06
CA-2016-137330,OFF-AP-10001492,60.34,7,15.69
US-2017-156909,FUR-CH-10002774,71.37,2,-1.02
CA-2015-106320,FUR-TA-10000577,1044.63,3,240.26
CA-2016-121755,OFF-BI-10001634,11.65,2,4.22
CA-2016-121755,TEC-AC-10003027,90.57,3,11.77
US-2015-150630,FUR-BO-10004834,3083.43,7,-1665.05
US-2015-150630,OFF-BI-10000474,9.62,2,-7.05
US-2015-150630,FUR-FU-10004848,124.2,3,15.52
US-2015-150630,OFF-EN-10001509,3.26,2,1.1
US-2015-150630,OFF-AR-10004042,86.3,6,9.71
US-2015-150630,OFF-BI-10001525,6.86,6,-5.72
US-2015-150630,OFF-AR-10001683,15.76,2,3.55
CA-2017-107727,OFF-PA-10000249,29.47,3,9.95
CA-2016-117590,TEC-PH-10004977,1097.54,7,123.47
CA-2016-117590,FUR-FU-10003664,190.92,5,-147.96
CA-2015-117415,OFF-EN-10002986,113.33,9,35.42
CA-2015-117415,FUR-BO-10002545,532.4,3,-46.98
CA-2015-117415,FUR-CH-10004218,212.06,3,-15.15
CA-2015-117415,TEC-PH-10000486,371.17,4,41.76
CA-2017-120999,TEC-PH-10004093,147.17,4,16.56
