Order ID,Order Date,Ship Date,Customer ID,Address ID
CA-2016-152156,2021-11-02,2021-11-05,CG-12520,CG-12520_42420
CA-2016-138688,2021-06-06,2021-06-10,DV-13045,DV-13045_90036
US-2015-108966,2020-10-04,2020-10-11,SO-20335,SO-20335_33311
CA-2014-115812,2019-06-03,2019-06-08,BH-11710,BH-11710_90032
CA-2017-114412,2022-04-09,2022-04-14,AA-10480,AA-10480_28027
CA-2016-161389,2021-11-29,2021-12-04,IM-15070,IM-15070_98103
US-2015-118983,2020-11-15,2020-11-19,HP-14815,HP-14815_76106
CA-2014-105893,2019-11-05,2019-11-12,PK-19075,PK-19075_53711
CA-2014-167164,2019-05-07,2019-05-09,AG-10270,AG-10270_84084
CA-2014-143336,2019-08-21,2019-08-26,ZD-21925,ZD-21925_94109
CA-2016-137330,2021-12-03,2021-12-07,KB-16585,KB-16585_68025
US-2017-156909,2022-07-10,2022-07-12,SF-20065,SF-20065_19140
CA-2015-106320,2020-09-18,2020-09-23,EB-13870,EB-13870_84057
CA-2016-121755,2021-01-09,2021-01-13,EH-13945,EH-13945_90049
US-2015-150630,2020-09-10,2020-09-14,TB-21520,TB-21520_19140
CA-2017-107727,2022-10-13,2022-10-17,MA-17560,MA-17560_77095
CA-2016-117590,2021-12-02,2021-12-04,GH-14485,GH-14485_75080
CA-2015-117415,2020-12-20,2020-12-24,SN-20710,SN-20710_77041
CA-2017-120999,2022-09-04,2022-09-09,LC-16930,LC-16930_60540
CA-2016-101343,2021-07-11,2021-07-16,RA-19885,RA-19885_90049
CA-2017-139619,2022-09-13,2022-09-17,ES-14080,ES-14080_32935
CA-2016-118255,2021-03-05,2021-03-07,ON-18715,ON-18715_55122
CA-2014-146703,2019-10-14,2019-10-19,PO-18865,PO-18865_48185
CA-2016-169194,2021-06-14,2021-06-19,LH-16900,LH-16900_19901
CA-2015-115742,2020-04-11,2020-04-15,DP-13000,DP-13000_47150
CA-2016-105816,2021-12-05,2021-12-11,JM-15265,JM-15265_10024
CA-2016-111682,2021-06-11,2021-06-12,TB-21055,TB-21055_12180
CA-2015-135545,2020-11-17,2020-11-23,KM-16720,KM-16720_90004
US-2015-164175,2020-04-23,2020-04-28,PS-18970,PS-18970_60610
CA-2014-106376,2019-11-29,2019-12-04,BS-11590,BS-11590_85234
CA-2016-119823,2021-05-29,2021-05-31,KD-16270,KD-16270_22153
CA-2016-106075,2021-09-12,2021-09-17,HM-14980,HM-14980_10009
CA-2017-114440,2022-09-08,2022-09-11,TB-21520,TB-21520_49201
US-2015-134026,2020-04-19,2020-04-25,JE-15745,JE-15745_38109
US-2017-118038,2022-12-03,2022-12-05,KB-16600,KB-16600_77041
US-2014-147606,2019-11-20,2019-11-25,JE-15745,JE-15745_77070
CA-2016-127208,2021-06-06,2021-06-09,SC-20770,SC-20770_35601
CA-2014-139451,2019-10-06,2019-10-10,DN-13690,DN-13690_94122
CA-2015-149734,2020-08-27,2020-09-01,JC-16105,JC-16105_27707
US-2017-119662,2022-11-07,2022-11-10,CS-12400,CS-12400_60623
CA-2017-140088,2022-05-22,2022-05-24,PO-18865,PO-18865_29203
CA-2017-155558,2022-10-20,2022-10-27,PG-18895,PG-18895_55901
CA-2016-159695,2021-03-30,2021-04-04,GM-14455,GM-14455_77095
CA-2016-109806,2021-09-11,2021-09-16,JS-15685,JS-15685_90036
CA-2015-149587,2020-01-25,2020-01-30,KB-16315,KB-16315_55407
US-2017-109484,2022-10-31,2022-11-06,RB-19705,RB-19705_97206
CA-2017-161018,2022-11-03,2022-11-05,PN-18775,PN-18775_10009
CA-2017-157833,2022-06-11,2022-06-14,KD-16345,KD-16345_94122
CA-2016-149223,2021-08-31,2021-09-05,ER-13855,ER-13855_55106
CA-2016-158568,2021-08-23,2021-08-27,RB-19465,RB-19465_60610
CA-2016-129903,2021-11-25,2021-11-28,GZ-14470,GZ-14470_55901
US-2015-156867,2020-11-06,2020-11-10,LC-16870,LC-16870_80013
CA-2017-119004,2022-11-17,2022-11-22,JM-15250,JM-15250_28205
CA-2015-129476,2020-10-08,2020-10-13,PA-19060,PA-19060_60462
CA-2017-146780,2022-12-19,2022-12-24,CV-12805,CV-12805_10035
CA-2016-128867,2021-10-28,2021-11-04,CL-12565,CL-12565_50322
CA-2014-115259,2019-08-19,2019-08-21,RC-19960,RC-19960_43229
CA-2015-110457,2020-02-24,2020-02-28,DK-13090,DK-13090_98103
US-2015-136476,2020-03-29,2020-04-03,GG-14650,GG-14650_37620
CA-2016-103730,2021-06-06,2021-06-09,SC-20725,SC-20725_19805
US-2014-152030,2019-12-20,2019-12-22,AD-10180,AD-10180_77041
US-2014-134614,2019-09-14,2019-09-19,PF-19165,PF-19165_61701
US-2017-107272,2022-10-30,2022-11-06,TS-21610,TS-21610_85023
US-2016-125969,2021-10-31,2021-11-04,LS-16975,LS-16975_90004
US-2017-164147,2022-01-27,2022-01-30,DW-13585,DW-13585_43229
CA-2016-145583,2021-10-07,2021-10-13,LC-16885,LC-16885_95661
CA-2016-110366,2021-08-30,2021-09-01,JD-15895,JD-15895_19140
CA-2017-106180,2022-09-12,2022-09-17,SH-19975,SH-19975_94122
