dep,date,reg,lib_dep,lib_reg,TO,R,hosp,rea,rad,dchosp,reg_rea,incid_hosp,incid_rea,incid_rad,incid_dchosp,reg_incid_rea
54,2020-03-18,44,Meurthe-et-Moselle,Grand Est,0.438709677419355,,42,19,1,5,204,,,,,
54,2020-03-19,44,Meurthe-et-Moselle,Grand Est,0.556989247311828,,54,23,1,6,241,14,2,1,2,69
54,2020-03-20,44,Meurthe-et-Moselle,Grand Est,0.632258064516129,,65,26,2,7,294,9,1,0,1,45
54,2020-03-21,44,Meurthe-et-Moselle,Grand Est,0.750537634408602,,76,35,2,9,332,19,7,0,10,65
54,2020-03-22,44,Meurthe-et-Moselle,Grand Est,0.827956989247312,,105,57,12,16,370,44,23,10,2,63
54,2020-03-23,44,Meurthe-et-Moselle,Grand Est,0.929032258064516,,121,55,16,19,432,24,6,4,3,81
54,2020-03-24,44,Meurthe-et-Moselle,Grand Est,1.08387096774194,,161,79,25,24,504,42,17,8,5,104
54,2020-03-25,44,Meurthe-et-Moselle,Grand Est,1.23655913978495,,192,83,31,28,575,45,6,6,4,99
54,2020-03-26,44,Meurthe-et-Moselle,Grand Est,1.36774193548387,,209,93,41,33,636,27,5,10,5,95
54,2020-03-27,44,Meurthe-et-Moselle,Grand Est,1.50322580645161,,253,109,54,35,699,55,16,13,2,102
54,2020-03-28,44,Meurthe-et-Moselle,Grand Est,1.6258064516129,,314,131,64,38,756,76,26,12,3,114
54,2020-03-29,44,Meurthe-et-Moselle,Grand Est,1.70322580645161,,325,132,72,42,792,21,2,8,4,71
54,2020-03-30,44,Meurthe-et-Moselle,Grand Est,1.81505376344086,,372,146,89,50,844,72,14,17,8,113
54,2020-03-31,44,Meurthe-et-Moselle,Grand Est,1.91397849462366,,391,150,95,59,890,35,8,6,9,122
54,2020-04-01,44,Meurthe-et-Moselle,Grand Est,1.9741935483871,,411,156,132,75,918,75,20,40,17,107
54,2020-04-02,44,Meurthe-et-Moselle,Grand Est,2.04086021505376,,465,166,154,85,949,101,24,25,10,109
54,2020-04-03,44,Meurthe-et-Moselle,Grand Est,2.08817204301075,,501,180,189,96,971,75,14,35,14,104
54,2020-04-04,44,Meurthe-et-Moselle,Grand Est,2.06451612903226,,497,178,210,102,960,27,6,21,7,72
54,2020-04-05,44,Meurthe-et-Moselle,Grand Est,2.04301075268817,,488,175,225,109,950,13,3,15,7,44
54,2020-04-06,44,Meurthe-et-Moselle,Grand Est,2.01505376344086,,512,171,242,117,937,48,9,17,8,70
54,2020-04-07,44,Meurthe-et-Moselle,Grand Est,2.04301075268817,,496,173,287,126,950,36,5,46,9,61
54,2020-04-08,44,Meurthe-et-Moselle,Grand Est,2.01505376344086,,480,163,334,136,937,56,4,48,11,60
54,2020-04-09,44,Meurthe-et-Moselle,Grand Est,1.96989247311828,,470,160,362,141,916,24,5,30,5,42
54,2020-04-10,44,Meurthe-et-Moselle,Grand Est,1.91182795698925,,508,151,378,163,889,83,4,23,24,31
