"mid","title","date","desc","poster"
"http://dbpedia.org/resource/Super_Size_Me","Super Size Me","January 2023","An image of Morgan Spurlock having his mouth stuffed with French fries. Film accolades are seen in the poster along with the credits and film titles at the bottom.","http://commons.wikimedia.org/wiki/Special:FilePath/%3Cnoinclude%3ESuper_Size_Me_Poster.jpg?width=300"
"http://dbpedia.org/resource/The_Room","The Room",2022-10-09,"A black-and-white poster for the movie shows Tommy Wiseau's face looking directly at the viewer.","http://commons.wikimedia.org/wiki/Special:FilePath/TheRoomMovie.jpg?width=300"
"http://dbpedia.org/resource/Batman_&_Robin_(film)","Batman & Robin (film)","*","The poster is divided diagonally, with the characters heads shown in each section: Batman on the left, Mr. Freeze on top, Robin on the right, and Poison Ivy and Batgirl are below.","http://commons.wikimedia.org/wiki/Special:FilePath/Batman_&_Robin_poster.jpg?width=300"
"http://dbpedia.org/resource/A_Bug's_Life","A Bug's Life",2024-06-07,"The poster features Flik peeking out of the leaf with the rest of the circus bugs including Francis, Heimlich, and Dot.","http://commons.wikimedia.org/wiki/Special:FilePath/A_Bug's_Life.jpg?width=300"
"http://dbpedia.org/resource/What_Happens_in_Vegas","What Happens in Vegas",2008-06-07,"What happens un Vegas poster","http://commons.wikimedia.org/wiki/Special:FilePath/What_happens_in_vegas.jpg?width=300"
"http://dbpedia.org/resource/Avengers:_Endgame","Avengers: Endgame",2019-12-07,"The theatrical release poster for ""Avengers: Endgame"". The characters depicted are seen on a starry background.","http://commons.wikimedia.org/wiki/Special:FilePath/Avengers_Endgame_poster.jpg?width=300"
"http://dbpedia.org/resource/Picnic_on_the_Grass","Picnic on the Grass","April 2025","The film poster features a painting of the upper body of a nude, dark haired woman. She looks down, is turned away and covers the front of her body with a piece of cloth. Below her is a yellow stripe with the film's French title written in lower case.","http://commons.wikimedia.org/wiki/Special:FilePath/Picnic_on_the_Grass_poster.jpg?width=300"
"http://dbpedia.org/resource/Kiss_Me_Deadly","Kiss Me Deadly",2019-02-12,"In the upper half of the poster, there's a torso painting of a man embracing a woman. He's kissing her neck just below her left ear. The man is wearing a business suit. The woman is in a strapless gown; her skin is bare above her chest. She's leaning away from the man, with her eyes open and a quizzical expression; she's holding a small pistol in her right hand, which is dangling loosely. In the upper right corner, the words ""Blood Red Kisses!"" are lettered in red. In the middle of the poster, and just below the right corner of the painting of the couple, the phrase ""Mickey Spillane's Latest H-Bomb"" is lettered. Below the left corner: ""White Hot Thrills"" is lettered. Below the center is a painting of parted red lips with ""Kiss Me Deadly"" lettered on them; in smaller letters above the lips is ""Parklane Pictures presents"". There's a small billing block at the lower left of the poster: ""starring Ralph Meeker / with Albert Dekker - Paul Stewart - Juano Hernandez / Produced and directed by Robert Aldrich / screenplay by A.I. Bezzerides / Released through United Artists"". There are several small paintings of scenes from the film scattered around the poster.","http://commons.wikimedia.org/wiki/Special:FilePath/Kiss_Me_Deadly_(1955)_standard_one-sheet.jpg?width=300"
"http://dbpedia.org/resource/Ill_Manors","Ill Manors",2014-12-05,"Film poster for Ill Manors","http://commons.wikimedia.org/wiki/Special:FilePath/Illmanorsmovieposter.jpg?width=300"
"http://dbpedia.org/resource/Krishnopokkho_(film)","Krishnopokkho (film)",2019-05-22,"Theatrical release poster","http://commons.wikimedia.org/wiki/Special:FilePath/Krishnopokkho_(2016).jpg?width=300"
"http://dbpedia.org/resource/Mughal-e-Azam","Mughal-e-Azam","October 2023","Theatrical poster showing Prince Salim hugging Anarkali","http://commons.wikimedia.org/wiki/Special:FilePath/Mughal-e-Azam.jpg?width=300"
"http://dbpedia.org/resource/The_Rochdale_Pioneers","The Rochdale Pioneers",2012-10-31,"The Rochdale Pioneers film poster","http://commons.wikimedia.org/wiki/Special:FilePath/The_Rochdale_Pioneers_Poster.jpg?width=300"
"http://dbpedia.org/resource/Departures_(2008_film)","Departures (2008 film)","January 2025","Theatrical release poster","http://commons.wikimedia.org/wiki/Special:FilePath/Okuribito_(2008).jpg?width=300"
"http://dbpedia.org/resource/The_Mirror_Never_Lies","The Mirror Never Lies",2013-02-23,"A poster showing a village, with a woman in the foreground and a framed picture hanging to the viewer's left","http://commons.wikimedia.org/wiki/Special:FilePath/TMNL2.jpg?width=300"
"http://dbpedia.org/resource/Vampyr","Vampyr",2014-12-05,"Poster depicting Léone's staring up with an eager smile. In the bottom right corner, the Lord of the Manor holds a Candelabra while having a shocked expression. Text in the middle of the image includes the film's title written diagonally in red.","http://commons.wikimedia.org/wiki/Special:FilePath/Vampyr1932.jpg?width=300"
"http://dbpedia.org/resource/The_Incredibles","The Incredibles",2016-03-28,"Theatrical release poster depicting the Incredibles running from an explosion","http://commons.wikimedia.org/wiki/Special:FilePath/The_Incredibles_(2004_animated_feature_film).jpg?width=300"
"http://dbpedia.org/resource/Transformers:_Dark_of_the_Moon","Transformers: Dark of the Moon","November 2020","The poster depicts Optimus Prime, standing with a blade in his left arm, and a rifle in his right arm. There is also a young couple standing below the Transformer, and just where the 3 are standing, there is also a crash-landed Decepticon fighter. Behind the Transformer and the couple, there is a war-torn city of Chicago, with Decepticon battleships surrounding it. The film title and credits are on the bottom of the poster.","http://commons.wikimedia.org/wiki/Special:FilePath/Transformers_dark_of_the_moon_ver5.jpg?width=300"
"http://dbpedia.org/resource/Ip_Man_(film)","Ip Man (film)","September 2020","In a black background, the top of the poster states, ""The celebrated Kung Fu master of Bruce Lee.""  Below is a portrait of Donnie Yen with his head staring down, while his hands are forming a martial arts pose. The words ""Ip Man"" are coloured in red in both Cantonese and English dialect. The pronunciation of the name  is shown in brackets below the English title.","http://commons.wikimedia.org/wiki/Special:FilePath/Ipmanposter02.jpg?width=300"
"http://dbpedia.org/resource/Pather_Panchali","Pather Panchali","October 2023","Poster","http://commons.wikimedia.org/wiki/Special:FilePath/Pather_panchali_poster_in_color_1.jpg?width=300"
"http://dbpedia.org/resource/The_World_of_Apu","The World of Apu",2007-06-29,"Poster","http://commons.wikimedia.org/wiki/Special:FilePath/Apur_Sansar_Poster.jpg?width=300"
"http://dbpedia.org/resource/Johnny_English_Reborn","Johnny English Reborn",2012-08-02,"Johnny English Reborn poster","http://commons.wikimedia.org/wiki/Special:FilePath/Johnny_English_Reborn_Poster.jpg?width=300"
"http://dbpedia.org/resource/Harriet_Craig","Harriet Craig",2012-02-22,"Film poster showing Joan Crawford and Wendell Corey embracing","http://commons.wikimedia.org/wiki/Special:FilePath/600full-harriet-craig-poster.jpg?width=300"
"http://dbpedia.org/resource/Nixon_(film)","Nixon (film)",2008-07-25,"A face half hidden in shadows, his hand on his chin. ""Nixon"" is written in red letters in the center of the poster.","http://commons.wikimedia.org/wiki/Special:FilePath/Nixonmovieposter.jpg?width=300"
"http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(2022_film)","All Quiet on the Western Front (2022 film)","December 2023","German Poster for All Quiet on the Western Front","http://commons.wikimedia.org/wiki/Special:FilePath/All_quiet_on_the_western_front_(2022_film).jpg?width=300"
"http://dbpedia.org/resource/Go_Lala_Go!","Go Lala Go!",2010-05-24,"Chinese film poster","http://commons.wikimedia.org/wiki/Special:FilePath/GoLalaGo2010Poster.jpg?width=300"
"http://dbpedia.org/resource/Aroused_(film)","Aroused (film)","November 2020","Aroused theatrical release poster","http://commons.wikimedia.org/wiki/Special:FilePath/Aroused_(film).jpg?width=300"
"http://dbpedia.org/resource/The_SpongeBob_SquarePants_Movie","The SpongeBob SquarePants Movie","mdy","Film poster showing SpongeBob SquarePants ' and Patrick Star ' on a car shaped like a sandwich, ready to save the world. Below them are various Bikini Bottom residents watching the pair, including Mr. Krabs, Squidward Tentacles, Sandy Cheeks, and a frustrated Plankton catching up to them. In the upper left side of the image is the title. Below is shown the text ""Hero. Legend. Sponge."" above the credits and the production details.","http://commons.wikimedia.org/wiki/Special:FilePath/The_SpongeBob_SquarePants_Movie_poster.jpg?width=300"
"http://dbpedia.org/resource/Gekijōban_Dōbutsu_no_Mori","Gekijōban Dōbutsu no Mori",2007-10-28,"Film poster depicting a cartoon forest with characters. There is a pear tree, a pine tree, and an apple tree. Anthropomorphic cat appears behind the pear trunk, a 12-year old human boy in a ninja costume and an 11-year old girl appear from the branches of and behind the trunk, respectively, of the pine tree, and an anthropomorphic white elephant appears from behind the apple trunk. Some simple buildings can be seen in the background. A present attached to a balloon and a U.F.O. appear floating in the sky.","http://commons.wikimedia.org/wiki/Special:FilePath/Animalcrossingfilm_poster.jpg?width=300"
"http://dbpedia.org/resource/Thursday's_Child_(1943_film)","Thursday's Child (1943 film)","October 2023","Theatrical release poster","http://commons.wikimedia.org/wiki/Special:FilePath/Thursdayschild.jpeg?width=300"
