,density,TC,kVRH,gV,kV,gVRH,volume
paper23/DataGenerationScripts/data/datasets/SmallDataBaseToRunCrystal.pt,56.1 (15.1),71.3 (12.7),50.3 (14.4),56.9 (5.9),50.3 (14.4),58.2 (9.5),61.4 (10.5)
paper23/DataGenerationScripts/data/datasets/SmallDataBaseToRunBoth.pt,55.0 (12.4),66.7 (14.9),46.4 (9.0),54.9 (11.0),46.4 (9.0),52.3 (6.2),67.3 (11.4)
paper23/DataGenerationScripts/data/datasets/SmallDataBaseToRunXRD.pt,50.9 (12.6),61.4 (17.8),41.8 (7.5),52.3 (12.3),41.8 (7.5),52.9 (12.5),80.1 (6.3)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_refractive_index_SA.pt,57.2 (6.7),65.6 (12.1),68.9 (11.9),57.8 (10.9),68.9 (11.9),62.2 (15.6),52.2 (11.5)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_bulk_modulus_SA.pt,50.6 (14.0),67.2 (10.0),86.7 (5.6),71.1 (11.9),86.7 (5.6),74.4 (10.7),53.3 (9.0)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_shear_modulus_SA.pt,53.9 (8.2),73.3 (11.7),77.8 (3.6),73.9 (6.0),77.8 (3.6),78.3 (7.5),55.6 (14.0)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_refractive_index_SB.pt,39.2 (10.6),58.5 (11.9),47.7 (8.5),50.3 (12.2),47.7 (8.5),49.7 (6.6),33.9 (7.0)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_energy_per_atom_SA.pt,45.0 (10.9),65.0 (13.9),71.1 (8.2),67.8 (12.5),71.1 (8.2),72.2 (11.8),53.3 (13.0)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_bandgap_SA.pt,56.1 (12.2),61.7 (10.6),67.8 (6.2),59.4 (7.3),67.8 (6.2),62.8 (10.3),48.9 (10.2)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_Ef_SA.pt,45.6 (10.4),60.6 (15.7),65.6 (6.3),67.2 (8.3),65.6 (6.3),71.1 (10.2),46.1 (10.2)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_shear_modulus_SB.pt,38.6 (13.2),64.3 (7.8),60.8 (10.2),79.1 (9.8),60.8 (10.2),80.4 (5.9),39.2 (7.5)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_formation_energy_embedding_layer.pt,28.1 (9.8),57.3 (12.7),49.0 (10.2),48.4 (11.3),49.0 (10.2),54.9 (10.2),22.8 (8.7)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10K_dense_layer.pt,48.0 (7.6),67.8 (11.6),62.7 (8.3),65.4 (11.6),62.7 (8.3),69.9 (8.0),40.4 (7.0)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_formation_energy_dense_layer.pt,39.2 (8.8),70.2 (9.1),60.1 (12.0),62.7 (14.1),60.1 (12.0),69.3 (8.7),41.5 (7.6)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_classification_dense_layer.pt,47.4 (5.9),65.5 (9.5),70.6 (11.4),66.7 (11.0),70.6 (11.4),66.7 (10.2),43.9 (6.4)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_classification_embedding_layer.pt,26.3 (11.5),57.3 (15.2),46.4 (11.6),47.7 (11.9),46.4 (11.6),54.2 (12.0),24.6 (9.1)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10G_embedding_layer.pt,26.9 (8.9),58.5 (13.5),45.1 (9.8),50.3 (11.0),45.1 (9.8),55.6 (11.0),22.8 (12.1)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_gap_regression_embedding_layer.pt,28.7 (10.2),57.9 (12.9),49.0 (8.3),51.6 (12.4),49.0 (8.3),58.2 (10.4),23.4 (7.5)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_gap_regression_dense_layer.pt,45.6 (9.5),71.9 (11.5),53.6 (7.5),64.1 (8.5),53.6 (7.5),68.6 (8.8),45.6 (8.7)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10K_embedding_layer.pt,27.5 (9.4),57.9 (15.3),47.7 (7.5),49.7 (14.1),47.7 (7.5),56.2 (10.6),23.4 (9.5)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10G_dense_layer.pt,45.0 (10.6),71.3 (11.5),56.2 (7.8),65.4 (11.9),56.2 (7.8),70.6 (12.8),38.0 (11.1)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_poisson-ratio.pt,47.4 (10.9),67.3 (9.0),56.2 (7.3),52.3 (7.5),56.2 (7.3),56.9 (11.4),39.2 (9.9)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_shear-moduli.pt,44.4 (8.4),62.6 (12.5),58.2 (6.2),62.7 (7.2),58.2 (6.2),67.3 (10.2),39.2 (6.5)
