test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.68784494843837,0.6878800544758897,0.2574073405541026,0.29953102793198894,0.5154428482055664
0.05,1,1,2,0.7423481686993252,0.7423694915640484,0.27135662096914487,0.24723200054577227,0.5154428482055664
0.05,1,1,3,0.7322104274000817,0.7325638732401836,0.28717202581496565,0.2569597562142449,0.5154428482055664
0.05,1,1,4,0.7132540762104667,0.7136012001759074,0.3083925314790532,0.2751494838167923,0.5154428482055664
0.05,1,1,5,0.7036111203234621,0.7040697986861143,0.3208953511597083,0.28440246394537755,0.5154428482055664
0.05,1,1,6,0.6934680090581606,0.6941071516158746,0.3336662897592769,0.29413537241033777,0.5154428482055664
0.05,1,1,7,0.6872954899067553,0.6877334028051448,0.344113186906533,0.3000582655273993,0.5154428482055664
0.05,1,1,8,0.6825580570368882,0.6829364330473391,0.3489443479273001,0.3046041094282784,0.5154428482055664
0.05,1,1,9,0.6792822848626714,0.6795918152417355,0.3529403499040836,0.307747404408467,0.5154428482055664
0.05,1,1,10,0.6753319606841993,0.6756044184542016,0.35814026489365175,0.31153797148698414,0.5154428482055664
0.05,1,6,1,0.6863647313102474,0.6865534537865055,0.26456398685833743,0.30095138283488415,0.8189620971679688
0.05,1,6,2,0.7414469490063539,0.7416121150750205,0.2763780061690981,0.24809677354777182,0.8189620971679688
0.05,1,6,3,0.7308349900148347,0.7315941515267679,0.2903873442052697,0.258279568825952,0.8189620971679688
0.05,1,6,4,0.7122385477343401,0.7130938865555061,0.3107248024525659,0.27612394278142094,0.8189620971679688
0.05,1,6,5,0.7023198895190573,0.7034118456973546,0.3226789182421235,0.28564147541806056,0.8189620971679688
0.05,1,6,6,0.6917492565050258,0.6931985104609544,0.33535493473846223,0.2957846160039484,0.8189620971679688
0.05,1,6,7,0.6850805006942853,0.6862862341017988,0.34622094016341043,0.3021836772173601,0.8189620971679688
0.05,1,6,8,0.6802305259940433,0.6813960350933045,0.3509473677731069,0.306837511586338,0.8189620971679688
0.05,1,6,9,0.6778969910500068,0.6790142688323263,0.35432487451364175,0.309076674838721,0.8189620971679688
0.05,1,6,10,0.674168573921399,0.6752834167732866,0.35956228422602815,0.31265430912496484,0.8189620971679688
0.05,1,11,1,0.6861025465717983,0.6862487891383098,0.26291758659176334,0.3012029644249397,1.0356686115264893
0.05,1,11,2,0.7365082599204338,0.7367245183535729,0.27643648073974647,0.25283573455814684,1.0356686115264893
0.05,1,11,3,0.7233044043799732,0.7233075501683045,0.29096117671139804,0.2655056061585388,1.0356686115264893
0.05,1,11,4,0.7025176941101245,0.7025186047998893,0.3119720868546442,0.28545167034460234,1.0356686115264893
0.05,1,11,5,0.6910496228260105,0.6910527239118791,0.3241688666519067,0.2964559554360765,1.0356686115264893
0.05,1,11,6,0.67958379015742,0.6796211738978847,0.3379524556949632,0.3074580924450336,1.0356686115264893
0.05,1,11,7,0.6714317320616767,0.6714347422963227,0.3498724834168811,0.31528046894979805,1.0356686115264893
0.05,1,11,8,0.6642382698124621,0.6642383476056951,0.35527809651730863,0.32218301667765953,1.0356686115264893
