test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.6913972860556585,0.6914974173219184,0.257385757222439,0.2961223522346237,0.5374228954315186
0.05,1,1,2,0.7438231892914189,0.7439785935423034,0.2704570218163725,0.245816632023109,0.5374228954315186
0.05,1,1,3,0.7350577834418657,0.7359162447999545,0.28744726297803036,0.25422755156845356,0.5374228954315186
0.05,1,1,4,0.7183871607187875,0.7194272958339835,0.30702384041531927,0.270223989029675,0.5374228954315186
0.05,1,1,5,0.707406918215619,0.7088420665884609,0.322016654969002,0.28076017387583707,0.5374228954315186
0.05,1,1,6,0.6980989661811985,0.7000763807116528,0.33390563425213476,0.2896916982156287,0.5374228954315186
0.05,1,1,7,0.6925444120720529,0.6944136580556273,0.3438784921670718,0.29502161773380686,0.5374228954315186
0.05,1,1,8,0.6888564359975059,0.6907708400702731,0.34923015550928843,0.29856044646354,0.5374228954315186
0.05,1,1,9,0.6861904454289974,0.6881949041770514,0.35392389222466164,0.30111862033081344,0.5374228954315186
0.05,1,1,10,0.6824919110484838,0.6845830957016783,0.35912516931241845,0.30466758037260955,0.5374228954315186
0.05,1,6,1,0.6911833219072308,0.6911873244463185,0.2573870032035213,0.2963276633484388,0.6656482219696045
0.05,1,6,2,0.7439161123061326,0.7439301697316388,0.26984538885513626,0.2457274669560166,0.6656482219696045
0.05,1,6,3,0.7355475267353877,0.7359617761807062,0.2871206176194567,0.25375761423635657,0.6656482219696045
0.05,1,6,4,0.7183053376894355,0.7187827545791419,0.30682351442598854,0.2703025030116455,0.6656482219696045
0.05,1,6,5,0.7074717169237279,0.7082151422891307,0.3220014212913325,0.2806979957257433,0.6656482219696045
0.05,1,6,6,0.6986645675141796,0.6997713628890903,0.33402058468442486,0.28914897065821776,0.6656482219696045
0.05,1,6,7,0.6930928119569804,0.6941237608097605,0.34400070425591434,0.29449539597180646,0.6656482219696045
0.05,1,6,8,0.6896951505916571,0.6907442361628714,0.34896620688214025,0.2977556507593831,0.6656482219696045
0.05,1,6,9,0.6867400462023198,0.6878176486376344,0.35361002398889757,0.3005912462461658,0.6656482219696045
0.05,1,6,10,0.6830233122394176,0.6841388116145475,0.3586362966078963,0.3041576698516413,0.6656482219696045
0.05,1,11,1,0.6914087587173193,0.6914795180476596,0.2599465517249357,0.2961113435447973,1.0100135803222656
0.05,1,11,2,0.7450254026402394,0.7450530345488825,0.2716712889180549,0.24466303800512257,1.0100135803222656
0.05,1,11,3,0.7374515194343054,0.7375776257975819,0.28802839579452044,0.25193062188935234,1.0100135803222656
0.05,1,11,4,0.7200747320980443,0.7202191965924405,0.3073280819201415,0.26860466559598845,1.0100135803222656
0.05,1,11,5,0.7093174299060032,0.7096075345178496,0.3222091907739236,0.2789269261752665,1.0100135803222656
0.05,1,11,6,0.700490625483566,0.7009896820473017,0.3345369006248952,0.2873967612421042,1.0100135803222656
0.05,1,11,7,0.6947586348219956,0.6952014556595847,0.34456138899181893,0.29289694150946644,1.0100135803222656
0.05,1,11,8,0.6912463312550586,0.6916985752326159,0.3491609000676404,0.296267202194183,1.0100135803222656
0.05,1,11,9,0.6879316852222834,0.6884063369021314,0.3540028544961531,0.29944779891514245,1.0100135803222656
0.05,1,11,10,0.6840845071048595,0.6845809692901159,0.3589445777059644,0.30313939131572853,1.0100135803222656
0.05,1,16,1,0.6904244511911126,0.690602100885588,0.2671520603770789,0.2970558441820637,1.3829278945922852
0.05,1,16,2,0.7437232287573612,0.7438098369732249,0.27648287968148405,0.24591255000159173,1.3829278945922852
0.05,1,16,3,0.7365789224917689,0.7366581388181186,0.2921959033725474,0.25276792968834744,1.3829278945922852
0.05,1,16,4,0.7203194000624717,0.7204521294435071,0.309917623068113,0.26836989237505116,1.3829278945922852
0.05,1,16,5,0.7090070582742609,0.7093391018944771,0.32441723811539364,0.2792247459075809,1.3829278945922852
0.05,1,16,6,0.700393426839381,0.7010214703760533,0.33574326714953173,0.2874900290257287,1.3829278945922852
0.05,1,16,7,0.6948650253864292,0.6954908690900388,0.34555614358011366,0.2927948535407867,1.3829278945922852
0.05,1,16,8,0.6912385143434542,0.6919411613367907,0.350523044165641,0.2962747029780288,1.3829278945922852
0.05,1,16,9,0.6879529881523943,0.6887461745500494,0.3553762826193535,0.2994273575078286,1.3829278945922852
0.05,1,16,10,0.6836267080700502,0.684498100414628,0.36051133865890767,0.30357867626337454,1.3829278945922852
0.05,1,21,1,0.692108673510548,0.6921171557051937,0.2610952168562212,0.29543973436714094,1.7139098644256592
0.05,1,21,2,0.7447577698309871,0.7447735403003678,0.2726031994415674,0.24491984733773672,1.7139098644256592
