test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.6881361484157786,0.6887537696838835,0.31628149059228783,0.32232762475550913,0.6650791168212891
0.05,1,1,2,0.7629979193943871,0.7636250906379111,0.3072815080209848,0.24495406349809204,0.6650791168212891
0.05,1,1,3,0.7739941581057314,0.7746892832280212,0.3148742763153632,0.2335888748522545,0.6650791168212891
0.05,1,1,4,0.766702011827437,0.767464457163842,0.32721614299755913,0.24112568996343955,0.6650791168212891
0.05,1,1,5,0.7530330004515899,0.7540293015425118,0.3441943825718007,0.2552533291468573,0.6650791168212891
0.05,1,1,6,0.7438480242147916,0.7446885141270253,0.35502214067952126,0.2647464831587884,0.6650791168212891
0.05,1,1,7,0.7397128873611273,0.7409120273604384,0.3622980762914269,0.26902036367847604,0.6650791168212891
0.05,1,1,8,0.7368782395310334,0.737790152249111,0.3658738460776343,0.2719501206780485,0.6650791168212891
0.05,1,1,9,0.7343191139744515,0.7349545220918998,0.3670651678302296,0.27459511097722533,0.6650791168212891
0.05,1,1,10,0.7342308381946481,0.7347232997995573,0.3682919143310807,0.27468634861917374,0.6650791168212891
0.05,1,6,1,0.6988368693617275,0.6997614789372182,0.2665781503892463,0.3112678691982102,0.855398416519165
0.05,1,6,2,0.7754370951607855,0.776351940367954,0.26362772737270856,0.23209752383076002,0.855398416519165
0.05,1,6,3,0.7826037029429597,0.783601607037285,0.28026229009830683,0.22469045933050422,0.855398416519165
0.05,1,6,4,0.7751980068307645,0.7762772274220525,0.2970075649583473,0.2323446341422981,0.855398416519165
0.05,1,6,5,0.761411213873521,0.7627416595979987,0.31591340816850605,0.24659400675900287,0.855398416519165
0.05,1,6,6,0.7517600783889651,0.7528862057744297,0.32848275203893534,0.25656896076899144,0.855398416519165
0.05,1,6,7,0.7482696657493944,0.7497865639799676,0.3376455580870391,0.26017648504541635,0.855398416519165
0.05,1,6,8,0.745546180545682,0.7467204271095598,0.3424486814007394,0.26299134964838333,0.855398416519165
0.05,1,6,9,0.7430629482715838,0.7438948335931599,0.3460160241643753,0.2655579002651358,0.855398416519165
0.05,1,6,10,0.7424569531998143,0.7431126115742157,0.3490504784330653,0.2661842279113339,0.855398416519165
0.05,1,11,1,0.6985949494823935,0.6996571607579753,0.272059388047809,0.3115179060642681,1.3785066604614258
0.05,1,11,2,0.7763719676863463,0.7774217554071788,0.26636676201754095,0.23113128411082318,1.3785066604614258
0.05,1,11,3,0.7820529257118849,0.7832322959763206,0.28243950252054073,0.2252597164462613,1.3785066604614258
0.05,1,11,4,0.7743699532691175,0.7756759985162762,0.29916372261620094,0.233200470868293,1.3785066604614258
0.05,1,11,5,0.7599902006645318,0.7616190321001168,0.31811275257333654,0.24806269833730846,1.3785066604614258
0.05,1,11,6,0.7497244638364089,0.7511394817999211,0.3308353054058035,0.2586728750261588,1.3785066604614258
0.05,1,11,7,0.7451512300812924,0.7469987795778199,0.340136912984333,0.26339955163920753,1.3785066604614258
0.05,1,11,8,0.7431460927080566,0.7445765570552315,0.3446531240164684,0.26547196613527824,1.3785066604614258
