test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.6800813684805107,0.6802276333084847,0.2974018955660813,0.3069806369438445,1.3970670700073242
0.05,1,1,2,0.734513542395692,0.7346850939905795,0.30207180514273396,0.2547497826814458,1.3970670700073242
0.05,1,1,3,0.7239776335625462,0.7239792273572125,0.31611991132920364,0.2648596033849778,1.3970670700073242
0.05,1,1,4,0.7073976618825113,0.7073992521204411,0.3306621089789042,0.28076905586879775,1.3970670700073242
0.05,1,1,5,0.6967471741365083,0.6967680556740172,0.3426712539123527,0.2909888217402063,1.3970670700073242
0.05,1,1,6,0.687443173551687,0.6875293518495578,0.3521049512239908,0.29991655443301246,1.3970670700073242
0.05,1,1,7,0.6817231375493218,0.6817589050457021,0.3608518336465435,0.3054052635057156,1.3970670700073242
0.05,1,1,8,0.6773671636098647,0.6773907166790062,0.3653678176683967,0.3095850752537659,1.3970670700073242
0.05,1,1,9,0.6747162231322001,0.6747335117317041,0.3702028305955262,0.31212880767869067,1.3970670700073242
0.05,1,1,10,0.670536524597219,0.670550159073981,0.37518461558273125,0.31613947286692184,1.3970670700073242
0.05,1,6,1,0.684110590776051,0.6841557129596805,0.2750839493758821,0.3031143625077527,0.9647002220153809
0.05,1,6,2,0.7399230120944721,0.7399635569232587,0.28322272003102406,0.24955908014007544,0.9647002220153809
0.05,1,6,3,0.730925384360855,0.7313292246861551,0.2969019962241763,0.2581928301643567,0.9647002220153809
0.05,1,6,4,0.7146687223041186,0.7150996414253488,0.31436350415344894,0.2737920481563032,0.9647002220153809
0.05,1,6,5,0.7038154349257909,0.7043943852714567,0.32757738150461685,0.2842064121353847,0.9647002220153809
0.05,1,6,6,0.6938610664718123,0.6946805625088235,0.3394762113304848,0.29375821083451703,0.9647002220153809
0.05,1,6,7,0.6881582867663334,0.6887949210259764,0.3490896785255098,0.29923036148114707,0.9647002220153809
0.05,1,6,8,0.6842692498597248,0.6848555272361863,0.3539463484814545,0.3029621198380094,0.9647002220153809
0.05,1,6,9,0.6812863111207781,0.6818393412243251,0.35878545607811735,0.30582442401109583,0.9647002220153809
0.05,1,6,10,0.6778375251768776,0.6783763119768924,0.36364717072273894,0.3091337358217681,0.9647002220153809
0.05,1,11,1,0.687218660565263,0.6872278009568044,0.26848788300108994,0.3001319877738193,1.5132124423980713
0.05,1,11,2,0.7434353334845618,0.7434419526422329,0.2763797494465183,0.24618880235300142,1.5132124423980713
0.05,1,11,3,0.736334841407435,0.7365800257965566,0.29203745607025955,0.25300213976351216,1.5132124423980713
0.05,1,11,4,0.7206334031135503,0.720897343040968,0.31028204754192035,0.2680685880835049,1.5132124423980713
0.05,1,11,5,0.7099121271963522,0.710307352259579,0.3243590447727244,0.27835627934512397,1.5132124423980713
0.05,1,11,6,0.7004777230899248,0.701078542184411,0.33715548482396157,0.2874091418433817,1.5132124423980713
0.05,1,11,7,0.6960484410217271,0.6965354453712205,0.34678441165131235,0.2916592970282835,1.5132124423980713
0.05,1,11,8,0.6934441899728095,0.6939278396045274,0.35101416707748856,0.2941582282157586,1.5132124423980713
0.05,1,11,9,0.6902091154638698,0.6907015064418167,0.35594025951239305,0.2972624714059669,1.5132124423980713
0.05,1,11,10,0.6864354836775429,0.6869441655604531,0.3608028602817741,0.3008834918006093,1.5132124423980713
0.05,1,16,1,0.6825919488671734,0.6825949715745234,0.27804163031706264,0.30457158823500274,2.070286512374878
0.05,1,16,2,0.7411823638191922,0.7412113202955564,0.28299852512219725,0.24835065850875396,2.070286512374878
0.05,1,16,3,0.7331429698395541,0.7332032678440812,0.297337282025732,0.2560649272051099,2.070286512374878
0.05,1,16,4,0.7155813116458007,0.7156244232649354,0.31513687339754326,0.2729163653114275,2.070286512374878
0.05,1,16,5,0.7053545590464158,0.705436477221676,0.3289747563016635,0.28272953252808913,2.070286512374878
0.05,1,16,6,0.6952951159770183,0.695449826924155,0.3409172919179503,0.2923821564658602,2.070286512374878
0.05,1,16,7,0.6903939508685188,0.6904704245562483,0.34994860144176126,0.29708511102536184,2.070286512374878
0.05,1,16,8,0.6877498484114228,0.6878072300734328,0.35425233726825106,0.29962228196963886,2.070286512374878
0.05,1,16,9,0.6851829683641952,0.6852244934269388,0.3594156036876131,0.30208535349540083,2.070286512374878
0.05,1,16,10,0.6808131832572777,0.6808470260782787,0.36365034263301893,0.3062784178663565,2.070286512374878
0.05,1,21,1,0.6817443294445145,0.681959948443026,0.2819187267235493,0.3053849286428994,2.6516788005828857
0.05,1,21,2,0.7414262975307879,0.741583800879127,0.2862866351000656,0.24811658984635054,2.6516788005828857
0.05,1,21,3,0.7324201034865172,0.7324261752166519,0.300668463917373,0.2567585597466927,2.6516788005828857
0.05,1,21,4,0.7174891908532153,0.717507432062829,0.316777560054151,0.2710856436322233,2.6516788005828857
0.05,1,21,5,0.7063084125458933,0.7063937769169364,0.33059103734541184,0.28181425431053125,2.6516788005828857
0.05,1,21,6,0.6974615804813895,0.6976913701411496,0.34079359979209267,0.290303307071221,2.6516788005828857
0.05,1,21,7,0.6918073746946015,0.6920008535087486,0.34923486779924373,0.29572884820208817,2.6516788005828857
0.05,1,21,8,0.6891870736298051,0.6893925558866825,0.35325476769131875,0.298243180318462,2.6516788005828857
0.05,1,21,9,0.6859863213920987,0.6862018692194225,0.35852368129039347,0.3013144892821311,2.6516788005828857
0.05,1,21,10,0.6811316109587193,0.6813673974320678,0.36464525646701806,0.3059728678640173,2.6516788005828857
0.05,1,26,1,0.683995402463504,0.6840275406822248,0.28293204544697753,0.30322489243027145,3.2022714614868164
0.05,1,26,2,0.7392121809312866,0.7392595283118583,0.2891550022519367,0.2502411642131342,3.2022714614868164
0.05,1,26,3,0.7290715217691356,0.7296014986670236,0.30438656621518917,0.25997171974171374,3.2022714614868164
0.05,1,26,4,0.7124263762409958,0.7130190561632372,0.32144564507771656,0.27594371034439313,3.2022714614868164
0.05,1,26,5,0.7006638311670308,0.70152773657042,0.3350174411330428,0.2872305602591237,3.2022714614868164
0.05,1,26,6,0.6904754453169446,0.6917442938272678,0.34656040863084625,0.29700691233600657,3.2022714614868164
0.05,1,26,7,0.6854956606902585,0.6866984666629925,0.3553360666227436,0.3017853069211627,3.2022714614868164
0.05,1,26,8,0.6826905449960867,0.6839320665069115,0.35975494664660246,0.3044769794830515,3.2022714614868164
0.05,1,26,9,0.6803677147257279,0.6816677444459613,0.36406078783134177,0.3067058709749925,3.2022714614868164
0.05,1,26,10,0.67595324242282,0.677288638859266,0.3692123371722538,0.31094181532397014,3.2022714614868164
0.05,1,31,1,0.6799686233400027,0.6799721020465705,0.27584579978558665,0.3070888224999062,3.796419858932495
0.05,1,31,2,0.7418306008722824,0.7418369318285329,0.2805422318138916,0.2477286371450621,3.796419858932495
0.05,1,31,3,0.734858145563061,0.7349991055645593,0.29364053916523547,0.2544191157887133,3.796419858932495
0.05,1,31,4,0.7188305093656587,0.719001671729282,0.3107316133521406,0.2697985700743666,3.796419858932495
0.05,1,31,5,0.7055023114235754,0.7058012925675519,0.32449200997497624,0.28258775548111004,3.796419858932495
0.05,1,31,6,0.6962507254538985,0.6967113474928561,0.33575279890534704,0.29146519328528847,3.796419858932495
0.05,1,31,7,0.6907447734458241,0.6910992219842742,0.3451504849493684,0.2967484762450619,3.796419858932495
0.05,1,31,8,0.6880169998730115,0.6883590955699385,0.35044237678141354,0.29936593451825905,3.796419858932495
0.05,1,31,9,0.6830209964904328,0.6833402428315509,0.3565268507274394,0.3041598919482256,3.796419858932495
0.05,1,31,10,0.6779336414875354,0.6782409028100351,0.36282683119778925,0.30904150660046176,3.796419858932495
0.05,1,36,1,0.6880333629462849,0.6882742938211315,0.2831178308683758,0.2993502331924812,4.30068826675415
0.05,1,36,2,0.7381193716571847,0.7383389688336444,0.28853878623238705,0.25128977862308155,4.30068826675415
0.05,1,36,3,0.7323915181024985,0.733106892315093,0.30201706980672477,0.2567859890944354,4.30068826675415
0.05,1,36,4,0.715388815401751,0.7160872599438428,0.31985057887216956,0.27310107671547107,4.30068826675415
0.05,1,36,5,0.7018142074216394,0.7026869438650367,0.33403349314817804,0.2861267069646546,4.30068826675415
0.05,1,36,6,0.6927396839899869,0.693917635726016,0.3449908532760081,0.29483424290833987,4.30068826675415
0.05,1,36,7,0.6862710641865906,0.6872608997931399,0.35450263477403465,0.30104126191802566,4.30068826675415
0.05,1,36,8,0.6837212928669452,0.684676965212342,0.3583836064139568,0.30348791661909214,4.30068826675415
0.05,1,36,9,0.6801443834001144,0.6810774884527091,0.3626404858720069,0.3069201704431439,4.30068826675415
0.05,1,36,10,0.6762124765247945,0.6771138294729704,0.3678722764985847,0.3106930650421759,4.30068826675415
0.05,1,41,1,0.6782167073871683,0.6782717926297858,0.29088150632655885,0.30876988831504437,4.815260410308838
0.05,1,41,2,0.7293058385998886,0.7293490525599053,0.2948398255711375,0.2597468790389088,4.815260410308838
0.05,1,41,3,0.723644546634405,0.7236930853001069,0.3075322824513279,0.2651792197726599,4.815260410308838
0.05,1,41,4,0.7097692650685192,0.7098249751995939,0.32226411940200733,0.27849336391187457,4.815260410308838
0.05,1,41,5,0.6987778491040247,0.6988694054292846,0.3348414161570978,0.28904027034764346,4.815260410308838
0.05,1,41,6,0.6914560329309132,0.6916423137209851,0.3456416679391849,0.29606598117208677,4.815260410308838
0.05,1,41,7,0.6865672165610834,0.6866943183333887,0.354835878142041,0.3007570863946357,4.815260410308838
0.05,1,41,8,0.6836682162987807,0.6837653584276031,0.3591709067702606,0.3035388466903559,4.815260410308838
0.05,1,41,9,0.6806440088670174,0.6807219507839815,0.36425909253492955,0.3064407505877427,4.815260410308838
0.05,1,41,10,0.6760772824539393,0.6761504987758811,0.3690177484890563,0.31082279165980065,4.815260410308838
0.05,1,46,1,0.6764798018536482,0.6765023338814635,0.2937845810515488,0.3104365507549868,5.560565948486328
0.05,1,46,2,0.7343397316487184,0.7343500986980123,0.2945710785044838,0.2549165642582493,5.560565948486328
0.05,1,46,3,0.7276156149118314,0.7277401800887573,0.30697270137123767,0.2613687475180062,5.560565948486328
0.05,1,46,4,0.7115386583482062,0.7116732497538938,0.32240180250450856,0.27679552757948417,5.560565948486328
0.05,1,46,5,0.6996898489297877,0.6999547182777804,0.3365165520324307,0.2881651531777692,5.560565948486328
0.05,1,46,6,0.6902601837721832,0.690705284058762,0.3477315822712994,0.2972134683774804,5.560565948486328
0.05,1,46,7,0.6848021340230157,0.6851760143320145,0.3557786054040824,0.30245078631833494,5.560565948486328
0.05,1,46,8,0.6833747005065849,0.6837767596645017,0.35946861402371505,0.30382049225883495,5.560565948486328
0.05,1,46,9,0.6800162833341681,0.6804677822487708,0.3645475476738731,0.3070430899481754,5.560565948486328
0.05,1,46,10,0.6752031047230544,0.6756872059823145,0.3695594206579605,0.31166161631766615,5.560565948486328
0.05,1,51,1,0.6742005663895174,0.6742966130703801,0.2952659149956214,0.3126236104807697,6.03764533996582
0.05,1,51,2,0.7364314384376482,0.7365030854373644,0.29549678481473607,0.25290944926367825,6.03764533996582
0.05,1,51,3,0.7306889580518778,0.7307145263131434,0.3082042512399021,0.25841969503488743,6.03764533996582
0.05,1,51,4,0.7177965261873236,0.7178179493086304,0.32329440203320425,0.2707907374050623,6.03764533996582
0.05,1,51,5,0.7038656082976353,0.7039253029160664,0.3397452087456234,0.28415826785077947,6.03764533996582
0.05,1,51,6,0.6947088873620586,0.6948500112933643,0.35043254835021864,0.29294467710668776,6.03764533996582
0.05,1,51,7,0.6878333110258249,0.6879571648768193,0.360557470433587,0.29954219470992394,6.03764533996582
0.05,1,51,8,0.6838014978643098,0.6839316532470697,0.3642699917014495,0.30341095523344186,6.03764533996582
0.05,1,51,9,0.6795749176187393,0.6797098705123498,0.36871130448048733,0.3074666061647959,6.03764533996582
0.05,1,51,10,0.6748702917262747,0.6750008502247145,0.3745160752277812,0.3119809698521865,6.03764533996582
0.1,1,1,1,0.6517948135470522,0.6520539316031058,0.3222197746684639,0.3319917371533999,0.3725738525390625
0.1,1,1,2,0.7112117925152879,0.7116065541507276,0.31747886312152496,0.2753413860629598,0.3725738525390625
0.1,1,1,3,0.7124297338265666,0.7130763606041197,0.32989810427594235,0.274180155652232,0.3725738525390625
0.1,1,1,4,0.702556192463364,0.7030924177923611,0.3450619597282245,0.28359395612550137,0.3725738525390625
0.1,1,1,5,0.6975937979621967,0.6981454885947229,0.354794373232235,0.2883252870619107,0.3725738525390625
0.1,1,1,6,0.6886847658332029,0.689179797981786,0.36488479125872875,0.2968194886646767,0.3725738525390625
