test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.1444407181503896,0.14562200125130276,0.4872932155194309,0.7911024962519047,0.5662236213684082
0.05,1,1,2,0.36095534501526827,0.3609705541401742,0.4819174270068477,0.5908998154773379,0.5662236213684082
0.05,1,1,3,0.41829864095272284,0.4188131549705917,0.482856702324951,0.5378766930335489,0.5662236213684082
0.05,1,1,4,0.43695679114688224,0.4374130606305743,0.49267993116464603,0.5206242249612815,0.5662236213684082
0.05,1,1,5,0.4209991503056948,0.4211564238472971,0.5075594225991364,0.5353796367387833,0.5662236213684082
0.05,1,1,6,0.4287860180638513,0.4288021585257836,0.5130117886844456,0.5281794220346152,0.5662236213684082
0.05,1,1,7,0.40749093194400154,0.40749142298813257,0.5269581449414048,0.5478701625183047,0.5662236213684082
0.05,1,1,8,0.39214521495006216,0.39221638874311027,0.5390042425821593,0.5620597520397175,0.5662236213684082
0.05,1,1,9,0.3683521310899458,0.36842700339940426,0.5526417772644192,0.5840602941816677,0.5662236213684082
0.05,1,1,10,0.36150469680989905,0.3616624781574308,0.5603229098056788,0.5903918511722656,0.5662236213684082
0.05,1,6,1,0.1101276217699989,0.11177271141964895,0.5114661266228064,0.8228304860902884,0.6787452697753906
0.05,1,6,2,0.3317244019330411,0.3317498587467964,0.5010506685377154,0.6179285352057413,0.6787452697753906
0.05,1,6,3,0.3871215804021021,0.3877951432220438,0.5003265129795903,0.5667049121302689,0.6787452697753906
0.05,1,6,4,0.4064532167238002,0.407110295646564,0.5089555105886888,0.5488296975482153,0.6787452697753906
0.05,1,6,5,0.393343792535775,0.3936909307766153,0.5215966093624587,0.5609514738173609,0.6787452697753906
0.05,1,6,6,0.40028773997792644,0.40042435909311025,0.5273772872012517,0.5545306748477652,0.6787452697753906
0.05,1,6,7,0.3761111388415438,0.37618057177127606,0.5436692586011279,0.5768858405453783,0.6787452697753906
0.05,1,6,8,0.35840436749469806,0.358407632032823,0.5550002823423534,0.5932586054843176,0.6787452697753906
0.05,1,6,9,0.33398250256579,0.3339889700062303,0.5667604529746396,0.6158405571015313,0.6787452697753906
0.05,1,6,10,0.3259587730069007,0.3259590131692953,0.5738675858229504,0.6232597887292507,0.6787452697753906
0.05,1,11,1,0.08794282657646535,0.08818736265015326,0.5189561874657541,0.8433439060586859,1.0044209957122803
0.05,1,11,2,0.31095537708255483,0.3117944746563531,0.5080564174335171,0.6371328472300549,1.0044209957122803
0.05,1,11,3,0.3674282506557983,0.3697543681110228,0.5063451931110148,0.5849145705985073,1.0044209957122803
0.05,1,11,4,0.3881449412072744,0.39042366190428657,0.514491730015378,0.5657586500713874,1.0044209957122803
0.05,1,11,5,0.37723204844481917,0.3787511743756341,0.527189203684547,0.575849378895045,1.0044209957122803
0.05,1,11,6,0.3849565456730444,0.38595619006110005,0.5319264548856,0.5687068358016792,1.0044209957122803
0.05,1,11,7,0.35835389457451694,0.3590715748192679,0.5493757177704828,0.5933052758366771,1.0044209957122803
0.05,1,11,8,0.341031785728777,0.3413831819860854,0.5607767838385204,0.6093223582749469,1.0044209957122803
0.05,1,11,9,0.31869863157756106,0.3190293215589679,0.5717832961746144,0.629972960019352,1.0044209957122803
0.05,1,11,10,0.3126078889415774,0.3128446839507799,0.5787926990478469,0.6356048335850711,1.0044209957122803
0.05,1,16,1,0.07616297504097602,0.07622968314936784,0.5267606885183216,0.8542362780461137,1.3704988956451416
0.05,1,16,2,0.3008320363740735,0.30242409010332716,0.513430476107329,0.6464935078818504,1.3704988956451416
0.05,1,16,3,0.35510114633688117,0.3591007403999297,0.5109102275573564,0.5963129660167306,1.3704988956451416
0.05,1,16,4,0.374357909324627,0.37864540626453747,0.5192910312060902,0.5785069839036,1.3704988956451416
0.05,1,16,5,0.3628230736005148,0.36626708036709343,0.5314502136523231,0.5891727992699802,1.3704988956451416
0.05,1,16,6,0.3699661282476647,0.37273290583619334,0.5363420930538263,0.5825678935876906,1.3704988956451416
0.05,1,16,7,0.3424342592613311,0.3449171912837432,0.5534867289382002,0.6080255453759831,1.3704988956451416
0.05,1,16,8,0.3244024429195226,0.3262759717943451,0.5641090707722334,0.6246988668191464,1.3704988956451416
0.05,1,16,9,0.30064762440826354,0.30253838028232627,0.5749433194453168,0.6466640264766292,1.3704988956451416
0.05,1,16,10,0.29276420694794014,0.2944689641942789,0.5822733548176372,0.6539535169469739,1.3704988956451416
