test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.17358590634696813,0.17393914169592117,0.48038707968897826,0.7641530707413792,0.583010196685791
0.05,1,1,2,0.38487732698485155,0.3849874060240638,0.47142994516065634,0.5687800862511906,0.583010196685791
0.05,1,1,3,0.44227979563788944,0.44281023582649337,0.4690227296784136,0.5157022490915415,0.583010196685791
0.05,1,1,4,0.45549580342385476,0.4557551914527095,0.4801588283949137,0.5034819191018312,0.583010196685791
0.05,1,1,5,0.44009886601237536,0.4401096758208206,0.4958643356042949,0.5177188701574295,0.583010196685791
0.05,1,1,6,0.448851216978123,0.4489346784876861,0.5014208820791402,0.5096259105648376,0.583010196685791
0.05,1,1,7,0.4313585569272992,0.4316523126450781,0.5141244750349666,0.5258006950898511,0.583010196685791
0.05,1,1,8,0.4207196363058454,0.4215914267105164,0.5256113150454054,0.5356380924971501,0.583010196685791
0.05,1,1,9,0.40045125084664734,0.40154425573376873,0.5401585799509677,0.5543794826870889,0.583010196685791
0.05,1,1,10,0.3967231621562459,0.3983131655789638,0.5467982157914242,0.5578267017539537,0.583010196685791
0.05,1,6,1,0.1946954451869456,0.1972451704188376,0.4824044629097929,0.7446338986333637,0.832613468170166
0.05,1,6,2,0.40385006948602375,0.40417714127370996,0.47209440715575646,0.5512367268699756,0.832613468170166
0.05,1,6,3,0.46275540149343775,0.4627594789298587,0.4675490751676644,0.4967692502354298,0.832613468170166
0.05,1,6,4,0.4734604343127603,0.4734974372242311,0.4793236253249566,0.4868707214420583,0.832613468170166
0.05,1,6,5,0.45571247289802574,0.45599903480548665,0.49468035092322377,0.5032815732397563,0.832613468170166
0.05,1,6,6,0.4641753539085869,0.464935495883089,0.4996484149898057,0.49545627529142017,0.832613468170166
0.05,1,6,7,0.4476208662544785,0.4488136185857441,0.5116502931734824,0.5107635681759342,0.832613468170166
0.05,1,6,8,0.4380066660561214,0.44006207912701645,0.5229955522101989,0.5196534463383721,0.832613468170166
0.05,1,6,9,0.41718359175636377,0.4194885818222993,0.5377814130108058,0.538907735792826,0.832613468170166
0.05,1,6,10,0.41138126763128724,0.41441286464906557,0.5456150208978431,0.5442729199440483,0.832613468170166
0.05,1,11,1,0.20720043033135982,0.20720691616518794,0.4840557982566907,0.733071023712584,1.2808270454406738
0.05,1,11,2,0.4090717501714769,0.4103604428129063,0.4719022315973162,0.5464084411947131,1.2808270454406738
0.05,1,11,3,0.46428269799932065,0.46723880491805847,0.46019251609398854,0.495357018372655,1.2808270454406738
0.05,1,11,4,0.47565537037807903,0.4784459438134232,0.46688906237089484,0.4848411491643395,1.2808270454406738
0.05,1,11,5,0.4591735377187879,0.4610816240929577,0.4803744044842683,0.5000812607921196,1.2808270454406738
0.05,1,11,6,0.46758261113494803,0.4687000068292789,0.48359248146711586,0.4923057166401022,1.2808270454406738
0.05,1,11,7,0.45250636460787674,0.45324880519590083,0.4941274486568047,0.5062461372686891,1.2808270454406738
0.05,1,11,8,0.4441676253407699,0.44446172756304314,0.5032786041407755,0.5139566461600666,1.2808270454406738
0.05,1,11,9,0.4219248835473388,0.42218707796413024,0.5182897970613279,0.5345236471026885,1.2808270454406738
0.05,1,11,10,0.41632672592450204,0.4164208212809146,0.5259459430319403,0.5397000464052166,1.2808270454406738
0.05,1,16,1,0.21188319015936075,0.2121216349694628,0.48282433960746113,0.7287410572592122,1.735344648361206
0.05,1,16,2,0.4143405523456273,0.4146966985959093,0.47022020712627877,0.5415365841058428,1.735344648361206
0.05,1,16,3,0.4711670285515289,0.47253003567986307,0.4603158271708388,0.48899134482972856,1.735344648361206
0.05,1,16,4,0.48368322033386624,0.4849042443111885,0.46668243406071785,0.4774181075653643,1.735344648361206
0.05,1,16,5,0.46856894765658985,0.4691981609899606,0.47982682144889577,0.4913936895006989,1.735344648361206
0.05,1,16,6,0.47703524413106124,0.477272011491196,0.48286930020876495,0.483565233405309,1.735344648361206
0.05,1,16,7,0.46218040503425706,0.46228555066925914,0.4931204828351645,0.49730092716751856,1.735344648361206
0.05,1,16,8,0.45268624246423017,0.4526871328284279,0.5032308607988764,0.5060798111891285,1.735344648361206
0.05,1,16,9,0.43043323060749294,0.4304332606213911,0.5176436026198241,0.5266563084610997,1.735344648361206
0.05,1,16,10,0.4238907934223871,0.4239079725865462,0.5245937906815381,0.5327058464633281,1.735344648361206
0.05,1,21,1,0.2061162355457693,0.20698360217350675,0.48716363348614855,0.734073536594508,2.1722381114959717
0.05,1,21,2,0.40926192698276953,0.40926338480665425,0.47508177490063735,0.5462325920708305,2.1722381114959717
0.05,1,21,3,0.46794281039580954,0.4681462896184013,0.46553338721417026,0.4919726543491999,2.1722381114959717
0.05,1,21,4,0.4822549977291486,0.4823513435495307,0.47429192621102145,0.4787387296330168,2.1722381114959717
0.05,1,21,5,0.46470578370222826,0.4647080279399143,0.4895105938602084,0.4949658074270205,2.1722381114959717
0.05,1,21,6,0.47241820366066856,0.47253884436447335,0.49272137418320716,0.48783443171676605,2.1722381114959717
0.05,1,21,7,0.4584553919313764,0.4587622751448214,0.5032336027294955,0.5007453023578492,2.1722381114959717
0.05,1,21,8,0.4473424221213408,0.4480890724227359,0.5136900677628715,0.5110210346700336,2.1722381114959717
0.05,1,21,9,0.4248132770355212,0.42564877870992324,0.5289494038517127,0.5318528616327222,2.1722381114959717
0.05,1,21,10,0.41751216340529884,0.41875402435301456,0.5383234375502072,0.5386039183284088,2.1722381114959717
0.05,1,26,1,0.2039413151975763,0.20496722155730795,0.5012859330939855,0.7360846011146485,2.6500678062438965
0.05,1,26,2,0.4142343587199393,0.4142411642826096,0.4782885479158842,0.5416347772341858,2.6500678062438965
0.05,1,26,3,0.4726277564394201,0.4728897179188436,0.4661164284628054,0.4876406663870176,2.6500678062438965
0.05,1,26,4,0.4823045933734956,0.4825183436504086,0.47447004901736994,0.47869287046360737,2.6500678062438965
0.05,1,26,5,0.4625082511032814,0.46253967836426546,0.4890254647848771,0.49699778061871264,2.6500678062438965
0.05,1,26,6,0.4681970256815343,0.46821760982193583,0.4934115363707743,0.4917375913309044,2.6500678062438965
0.05,1,26,7,0.4528175966116865,0.4529218525143094,0.5041821058089597,0.5059583531018279,2.6500678062438965
0.05,1,26,8,0.4434141705283383,0.4437919412490198,0.5130727328039293,0.5146533366122338,2.6500678062438965
0.05,1,26,9,0.4206964255284388,0.4211391828184138,0.5293567329407939,0.5356595546030917,2.6500678062438965
0.05,1,26,10,0.4138522147284168,0.4146285597876228,0.5379473264180218,0.5419881309666912,2.6500678062438965
0.05,1,31,1,0.20983963827329688,0.21039129897706343,0.51020503741491,0.7306306504558291,3.065798759460449
0.05,1,31,2,0.41873090581501937,0.4187575579406091,0.4803434890191816,0.5374769944751212,3.065798759460449
0.05,1,31,3,0.4751123250442475,0.47553071295521343,0.4660468718016346,0.48534328212962424,3.065798759460449
0.05,1,31,4,0.48592880618272316,0.4863219037064569,0.47350020987722374,0.475341701396597,3.065798759460449
0.05,1,31,5,0.46665456616234446,0.46674352787008544,0.4872095133101086,0.49316384384418505,3.065798759460449
