fake,index_size,pc_dims,k,pc_ret,indexing,retrieval
1,5000,0.25,1,5000,0.03326749801635742,0.0009684562683105469
1,5000,0.25,1,10000,0.03326749801635742,0.001813650131225586
1,5000,0.25,1,15000,0.03326749801635742,0.0022575855255126953
1,5000,0.25,1,20000,0.03326749801635742,0.0029876232147216797
1,5000,0.25,1,25000,0.03326749801635742,0.003901243209838867
1,5000,0.25,1,30000,0.03326749801635742,0.0046541690826416016
1,10000,0.25,1,5000,0.024260759353637695,0.0015690326690673828
1,10000,0.25,1,10000,0.024260759353637695,0.002827882766723633
1,10000,0.25,1,15000,0.024260759353637695,0.003962993621826172
1,10000,0.25,1,20000,0.024260759353637695,0.005192995071411133
1,10000,0.25,1,25000,0.024260759353637695,0.007256984710693359
1,10000,0.25,1,30000,0.024260759353637695,0.008187294006347656
1,15000,0.25,1,5000,0.0400388240814209,0.0020208358764648438
1,15000,0.25,1,10000,0.0400388240814209,0.0027611255645751953
1,15000,0.25,1,15000,0.0400388240814209,0.0039823055267333984
1,15000,0.25,1,20000,0.0400388240814209,0.005159139633178711
1,15000,0.25,1,25000,0.0400388240814209,0.006626605987548828
1,15000,0.25,1,30000,0.0400388240814209,0.00907754898071289
1,20000,0.25,1,5000,0.025626420974731445,0.0021028518676757812
1,20000,0.25,1,10000,0.025626420974731445,0.0033254623413085938
1,20000,0.25,1,15000,0.025626420974731445,0.003915309906005859
1,20000,0.25,1,20000,0.025626420974731445,0.005057811737060547
1,20000,0.25,1,25000,0.025626420974731445,0.007066011428833008
1,20000,0.25,1,30000,0.025626420974731445,0.008670806884765625
1,25000,0.25,1,5000,0.06176257133483887,0.0018925666809082031
1,25000,0.25,1,10000,0.06176257133483887,0.002543926239013672
1,25000,0.25,1,15000,0.06176257133483887,0.0038208961486816406
1,25000,0.25,1,20000,0.06176257133483887,0.005400896072387695
1,25000,0.25,1,25000,0.06176257133483887,0.006421804428100586
1,25000,0.25,1,30000,0.06176257133483887,0.008736848831176758
1,30000,0.25,1,5000,0.07596755027770996,0.0016558170318603516
