,gVRH,kVRH,TC,volume,gV,kV,density
paper23/DataGenerationScripts/data/datasets/SmallDataBaseToRunBoth.pt,3.32 (3.59),1.9 (2.29),2.02 (2.61),0.8 (0.34),3.66 (4.14),1.98 (2.34),4.9 (2.09)
paper23/DataGenerationScripts/data/datasets/SmallDataBaseToRunCrystal.pt,3.77 (4.21),1.81 (2.31),1.52 (2.05),3.58 (1.06),3.61 (4.12),1.81 (2.33),4.99 (2.89)
paper23/DataGenerationScripts/data/datasets/SmallDataBaseToRunXRD.pt,4.08 (4.05),2.43 (2.38),3.07 (3.19),0.47 (0.29),3.91 (4.07),2.45 (2.3),4.98 (1.33)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_bulk_modulus_SA.pt,0.1 (0.06),0.05 (0.03),0.28 (0.3),1.49 (0.82),0.11 (0.07),0.05 (0.03),3.02 (1.47)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_shear_modulus_SA.pt,0.02 (0.01),0.21 (0.13),0.22 (0.32),0.55 (0.27),0.03 (0.01),0.22 (0.13),2.78 (1.56)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_shear_modulus_SB.pt,2.39 (2.15),2.16 (1.45),1.54 (2.2),2.38 (1.25),2.34 (2.16),2.16 (1.45),4.05 (1.67)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_refractive_index_SA.pt,0.98 (1.23),0.9 (1.23),1.3 (2.3),1.41 (1.24),1.06 (1.38),0.9 (1.17),1.49 (0.73)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_refractive_index_SB.pt,5.85 (4.51),5.5 (3.11),3.21 (2.73),3.3 (1.75),5.56 (4.38),5.42 (3.04),2.72 (0.97)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_Ef_SA.pt,0.9 (1.08),1.1 (1.13),0.64 (0.48),2.25 (1.26),1.0 (1.16),1.12 (1.12),3.42 (1.76)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_energy_per_atom_SA.pt,0.28 (0.3),0.37 (0.22),0.46 (0.49),2.65 (1.69),0.28 (0.28),0.35 (0.2),3.74 (2.17)
paper24/DataGenerationScripts/data/datasets//SmallDataBase_gnn_bandgap_SA.pt,2.54 (1.44),2.6 (1.31),1.56 (0.8),2.67 (1.63),2.6 (1.39),2.52 (1.23),3.36 (1.31)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10K_embedding_layer.pt,3.75 (2.52),4.36 (1.85),0.8 (1.25),6.61 (2.37),3.79 (2.64),4.36 (1.85),3.06 (1.15)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_classification_dense_layer.pt,3.99 (3.57),2.24 (1.65),0.44 (0.37),3.71 (1.08),3.69 (3.48),2.24 (1.64),3.68 (2.33)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_gap_regression_embedding_layer.pt,4.1 (2.8),4.88 (2.19),0.88 (1.25),6.39 (2.23),4.11 (2.9),4.88 (2.19),3.12 (0.98)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_formation_energy_embedding_layer.pt,3.87 (2.77),4.58 (2.13),0.8 (1.24),6.51 (2.25),3.89 (2.87),4.58 (2.12),2.97 (0.97)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10G_embedding_layer.pt,3.67 (2.41),4.12 (1.6),0.79 (1.22),6.61 (2.5),3.68 (2.5),4.12 (1.6),3.05 (0.91)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10K_dense_layer.pt,2.68 (2.59),1.4 (1.32),0.85 (1.03),3.96 (1.55),2.63 (2.65),1.4 (1.32),2.73 (1.51)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_log10G_dense_layer.pt,2.88 (3.08),2.11 (2.1),0.64 (0.51),3.98 (1.04),2.89 (3.2),2.12 (2.09),2.54 (1.2)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_formation_energy_dense_layer.pt,3.0 (2.81),1.95 (1.39),0.55 (0.5),3.41 (0.95),2.83 (2.7),1.97 (1.41),4.11 (1.6)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_gap_regression_dense_layer.pt,2.76 (2.49),2.15 (1.6),0.54 (0.27),3.48 (1.1),2.79 (2.54),2.15 (1.6),3.48 (1.8)
paper31/DataGenerationScripts/data/datasets/SmallDataBase_band_classification_embedding_layer.pt,4.18 (2.77),5.19 (2.39),0.83 (1.24),6.45 (2.3),4.22 (2.87),5.19 (2.39),3.4 (1.44)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_bulk-moduli.pt,6.18 (5.63),3.92 (3.13),1.4 (1.86),4.68 (1.34),6.01 (5.66),3.94 (3.14),3.41 (1.56)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_efermi.pt,8.51 (6.4),8.05 (4.88),1.9 (1.11),5.26 (1.35),8.55 (6.37),8.07 (4.89),3.56 (1.88)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_poisson-ratio.pt,3.51 (3.23),2.19 (1.46),0.62 (0.36),4.91 (1.48),3.44 (3.18),2.16 (1.48),3.61 (1.37)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_shear-moduli.pt,4.4 (3.38),3.54 (2.1),0.8 (0.66),6.79 (2.13),4.31 (3.39),3.55 (2.12),3.88 (1.18)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_final-energy-per-atom.pt,5.53 (4.68),4.42 (3.04),0.73 (0.56),5.14 (1.66),5.57 (4.76),4.42 (3.06),5.11 (2.87)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_formation-energy-per-atom.pt,6.41 (5.79),5.69 (4.15),1.39 (0.7),6.0 (1.82),6.21 (5.75),5.69 (4.14),5.09 (2.16)
paper43/DataGenerationScripts/data/datasets//SmallDataBase_band-gap.pt,2.6 (2.41),1.9 (1.1),0.59 (0.33),4.55 (1.55),2.45 (2.24),1.87 (1.1),3.88 (2.39)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap4.pt,3.34 (3.21),2.18 (1.65),0.8 (0.76),4.51 (1.76),3.2 (3.19),2.26 (1.68),1.59 (0.71)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_CritExam__Ef.pt,3.95 (3.94),2.26 (1.8),0.58 (0.61),5.05 (1.81),3.97 (4.01),2.44 (2.01),2.38 (3.02)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass4.pt,5.23 (3.34),3.96 (2.14),0.71 (0.48),6.72 (2.66),5.06 (3.31),4.09 (2.24),3.46 (1.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Bandgap.pt,6.26 (4.27),5.82 (3.26),4.21 (4.2),5.98 (2.17),6.2 (4.33),5.85 (3.34),4.73 (2.03)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons1.pt,2.41 (2.02),1.71 (1.32),0.53 (0.83),4.1 (1.32),2.43 (2.03),1.78 (1.32),1.93 (1.03)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal3.pt,3.64 (3.13),2.91 (1.99),0.65 (0.4),4.79 (1.96),3.39 (3.12),2.91 (1.98),4.17 (2.22)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)2.pt,3.56 (3.7),1.75 (1.89),0.39 (0.36),5.18 (1.88),3.54 (3.75),1.8 (1.97),2.36 (1.25)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__energy_atom.pt,1.6 (1.71),0.76 (0.64),0.36 (0.33),4.77 (1.86),1.75 (1.85),0.75 (0.62),1.89 (1.72)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_bulk_modulus_vrh.pt,1.57 (1.47),0.43 (0.42),0.28 (0.37),4.49 (1.79),1.54 (1.48),0.43 (0.41),1.85 (0.81)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal1.pt,3.83 (3.87),3.62 (3.24),0.71 (0.41),5.75 (1.75),3.94 (3.77),3.69 (3.34),2.45 (1.63)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric1.pt,4.09 (3.8),2.72 (2.46),0.59 (0.25),5.0 (2.19),4.07 (3.73),2.65 (2.48),1.6 (0.78)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)4.pt,3.26 (3.34),1.56 (1.74),0.28 (0.18),4.78 (1.84),3.26 (3.43),1.55 (1.72),2.71 (1.09)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal2.pt,2.9 (2.14),2.65 (1.42),1.1 (1.37),6.13 (2.4),2.93 (2.36),2.56 (1.32),3.28 (1.22)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_hull.pt,2.04 (1.53),1.48 (0.86),0.36 (0.29),5.71 (1.74),2.09 (1.58),1.49 (0.86),2.62 (1.19)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass3.pt,5.42 (4.26),3.86 (2.56),1.1 (0.98),6.31 (2.07),5.27 (4.16),3.95 (2.45),3.33 (1.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap0.pt,4.31 (4.18),2.78 (2.43),0.53 (0.39),5.42 (2.02),4.16 (4.06),2.87 (2.54),1.64 (1.1)
