test_size,epochs,fake,r2,evs,mae,mse,time
0.05,1,1,-24.842327025940605,-4.006943730836268,3.191333394514375,12.632068650530371,0.622528076171875
0.05,6,1,-0.6205484054859007,-0.21109556776245064,0.6450455555270165,0.7921453315352249,0.5466883182525635
0.05,11,1,-0.7044806726797623,-0.23715634908772776,0.7424945759996497,0.8331725254146015,0.6848556995391846
0.05,16,1,0.4204290588083759,0.4207229016782167,0.3768682442298671,0.2833018833650729,0.898181676864624
0.05,21,1,0.5401668798598709,0.5763490587315152,0.3697048676358293,0.22477246478488402,1.1783196926116943
0.05,26,1,0.18645387865926932,0.30364425982179777,0.508641837163646,0.3976720225246344,1.2357215881347656
0.05,31,1,0.17514867312675675,0.22923315025827973,0.5139778629827597,0.40319815537837095,1.3233890533447266
0.05,36,1,0.6611499523569557,0.6708928344023166,0.3053622164953209,0.16563435095321585,1.4516687393188477
0.05,41,1,-0.08537886676947082,0.016815867514612837,0.5603706435662347,0.5305474365022969,1.5949716567993164
0.05,46,1,0.5323758951765849,0.5374853610970514,0.4290739506048279,0.22858080036068987,1.8651132583618164
0.05,51,1,0.730797845185887,0.7308763920392353,0.276087738259678,0.13158954675672468,2.0081262588500977
0.05,56,1,0.24831717285738952,0.27715716781795996,0.4489174674266218,0.3674324323176775,2.181352376937866
0.05,61,1,0.5632569578911135,0.5632942189586816,0.3552169462642131,0.21348573156832903,2.1277315616607666
0.05,66,1,0.48939561675914456,0.49520700227257586,0.38834952579397475,0.2495901246000674,2.6871867179870605
0.05,71,1,0.6680727497482489,0.6706095932799818,0.32147493629854523,0.1622503967213564,2.562410354614258
0.05,76,1,0.4019436166206207,0.40218070984894516,0.4770150197593984,0.2923378101419741,2.8589437007904053
0.05,81,1,0.5355131844632303,0.5412377903746126,0.4343047691433249,0.2270472521780631,3.008615255355835
0.05,86,1,0.3065941054442949,0.3111657053084389,0.44722818587598046,0.3389459027400136,3.163332223892212
0.05,91,1,0.5653556583291484,0.5658924232194011,0.4066769754873018,0.21245985924717375,3.278876781463623
0.05,96,1,0.6455774429554096,0.6508033732535474,0.36438919623209864,0.17324639794975372,3.4071831703186035
0.05,101,1,0.6478388768004207,0.6610859786537309,0.3541670512691058,0.17214097940326842,3.568737030029297
0.05,106,1,0.6745977982035833,0.6763009936248936,0.3091360429278073,0.15906086739015168,3.528810739517212
0.05,111,1,0.5137325770635207,0.5260044341813868,0.39266996750471994,0.237693898962124,3.9465513229370117
0.05,116,1,0.3294916513459921,0.3307591576650707,0.40976256906261793,0.3277532817555115,4.093405485153198
0.05,121,1,0.611307018825,0.6113070979727773,0.38767422143992614,0.18999823109015063,4.234463691711426
0.1,1,1,-73.92134656662087,-6.845157398322466,5.589794627754374,34.90027888883129,0.43029046058654785
0.1,6,1,0.24613500323421633,0.2857685042097611,0.43854085679057364,0.3511695910091328,0.6035888195037842
0.1,11,1,0.1907218654766789,0.280365511003164,0.4441352476458307,0.3769824474308151,0.73447585105896
0.1,16,1,0.3241924463615966,0.34524259643307975,0.3914598341577326,0.31480843815569004,0.8437278270721436
0.1,21,1,0.12292211820131693,0.13594290840621792,0.47883274995271297,0.4085653032781581,1.0014827251434326
0.1,26,1,0.2013934217161133,0.20151316856734158,0.4707964531960186,0.37201136367429277,1.2626113891601562
0.1,31,1,-0.026234294373978395,0.03832554741976435,0.5371517715866116,0.4780461740244749,1.338782548904419
0.1,36,1,0.5255070012503662,0.5377396548663618,0.3810859919966806,0.2210309710922617,1.5955545902252197
0.1,41,1,0.4337048838822338,0.4364181956443913,0.42644683892026897,0.26379474464355634,1.6260457038879395
0.1,46,1,0.6315650789134106,0.6354038815017196,0.33191697932486247,0.17162640672605395,1.7718479633331299
0.1,51,1,0.161509235190068,0.21855666517527061,0.49624401295915666,0.39059043755379647,2.002490282058716
0.1,56,1,0.5532863774833705,0.5722621965809611,0.33741781451068525,0.20809062735421202,1.9563548564910889
0.1,61,1,0.6777863027369788,0.6846481816176615,0.28161585618297086,0.1500953788421489,2.197916030883789
0.1,66,1,0.5188934997414051,0.5249861671304052,0.3242153377613647,0.22411170919524287,2.0952882766723633
0.1,71,1,0.6212932827086141,0.6298572261889528,0.33963241996345983,0.17641127203700863,2.7205090522766113
0.1,76,1,0.4140735770837042,0.4254103706405321,0.39257082139451116,0.2729395093016723,2.968024253845215
0.1,81,1,0.48456705932340305,0.5092060721237432,0.36130356525951407,0.24010184283204086,3.147747039794922
0.1,86,1,0.63184925533045,0.6546615839755578,0.30015594611482505,0.17149403008491224,3.126511573791504
0.1,91,1,0.7528724824326685,0.7579860231251419,0.2793813237041175,0.11511831646719192,3.392739772796631
0.1,96,1,0.4817007652090882,0.48195107341243804,0.35882142177729354,0.24143703591854057,3.526973009109497
0.1,101,1,0.5827553632578437,0.5892001492796404,0.32204608753289843,0.19436322029025077,3.5270025730133057
0.1,106,1,0.6922581811501122,0.7125994621993539,0.2891252396756235,0.14335400784697475,3.8208813667297363
0.1,111,1,0.567315326273504,0.5686424212449077,0.3121037925783254,0.20155558430266432,3.8907721042633057
0.1,116,1,0.5879712210421768,0.5949018455492301,0.3294190842068417,0.19193354037044527,4.441234588623047
0.1,121,1,0.5757283870317329,0.5851026403599409,0.32953078872450087,0.19763656548858333,4.528008937835693
0.15000000000000002,1,1,-0.794135599277449,-0.3048476290921509,0.7818126150028969,1.0157314262580193,0.4497520923614502
0.15000000000000002,6,1,-0.6082807334616807,-0.025435765275462208,0.8002826686902544,0.910511604518754,0.5718035697937012
0.15000000000000002,11,1,0.3280993875443087,0.3528515199780553,0.44450478455802495,0.38038962476866683,0.7246956825256348
0.15000000000000002,16,1,-0.3181264856717583,-0.11334501712822065,0.6811648827112755,0.7462437598468281,0.8531179428100586
0.15000000000000002,21,1,0.3342924685407672,0.34254213564026037,0.45669084197374127,0.37688347562587204,1.023855447769165
0.15000000000000002,26,1,0.43131159763380267,0.44513719404943064,0.44501395103969726,0.32195709302264686,1.133195400238037
0.15000000000000002,31,1,0.5236242803227211,0.5237274627004502,0.40583379231684946,0.26969521667000057,1.335691213607788
0.15000000000000002,36,1,-0.26813971222238164,-0.23697305740524044,0.6791209059184637,0.7179442619102063,1.6801393032073975
0.15000000000000002,41,1,0.6494606739588187,0.64955384292373,0.3396834012526406,0.1984542359801162,1.7585813999176025
0.15000000000000002,46,1,0.5627978140200574,0.5667610412969004,0.4100717731335827,0.24751752326155,1.8666057586669922
0.15000000000000002,51,1,0.4272095226594488,0.4292465592671464,0.44149740650850533,0.324279440601055,2.0391480922698975
0.15000000000000002,56,1,0.7203409782797637,0.7207603807337559,0.29162648017291404,0.15832608032091702,2.2034966945648193
0.15000000000000002,61,1,0.5244718596445247,0.5329330601464487,0.398206604704712,0.26921536834986853,2.2646331787109375
0.15000000000000002,66,1,0.5796148593637054,0.5863524567300124,0.3739563704833204,0.23799672591533572,2.359546184539795
0.15000000000000002,71,1,0.7299377022441573,0.7347424578474876,0.309347310540698,0.15289299370043877,2.6399972438812256
0.15000000000000002,76,1,0.6763967343412367,0.6785470357895993,0.31075569536163683,0.18320466229068919,2.715482711791992
0.15000000000000002,81,1,0.45039853368625793,0.4575779125323015,0.4460392013408523,0.31115122038555987,2.8911619186401367
0.15000000000000002,86,1,0.7264701404510456,0.7285964372788705,0.29607767589269957,0.15485611816392617,3.4170048236846924
0.15000000000000002,91,1,0.609671974936792,0.6202720611978583,0.3655251595990946,0.22098019891339182,3.4655444622039795
0.15000000000000002,96,1,0.5678768425962948,0.569139633481308,0.41627765927422733,0.2446420834442784,3.3753926753997803
0.15000000000000002,101,1,0.6966872155806956,0.6991296507765588,0.33063484980222524,0.1717174149181287,3.6927757263183594
0.15000000000000002,106,1,0.6679932325851509,0.6686439229799355,0.34387579385738953,0.187962218423965,3.8906397819519043
0.15000000000000002,111,1,0.7396733088837784,0.7453508489344802,0.2890063459063826,0.14738128008106033,3.928206443786621
0.15000000000000002,116,1,0.6237057784107276,0.6239927596829915,0.3542921722656574,0.21303510534067302,3.8948211669921875
0.15000000000000002,121,1,0.5911440630977911,0.5954408720405122,0.354510370974173,0.23146958573866325,4.22218918800354
0.2,1,1,-7.166935128742569,-1.7025058341740298,2.0299204690344546,5.319634679461432,0.4404566287994385
0.2,6,1,-0.1472453100626785,-0.13546215180076082,0.6408204271368142,0.7472724885226989,0.5968983173370361
0.2,11,1,0.2233963606367395,0.2354401073528225,0.4899066557507874,0.5058504306729852,0.7150228023529053
0.2,16,1,0.16722950303112527,0.219184719440643,0.53084746096948,0.542435411310783,0.8990206718444824
0.2,21,1,0.18538796358921839,0.23000662219127965,0.5225094502155084,0.5306076723869724,1.0781958103179932
0.2,26,1,0.23751629013520414,0.24488984244298195,0.554579202551565,0.4966532391381544,1.256998062133789
0.2,31,1,0.5516708506631272,0.5521701552123118,0.3804792997552834,0.2920247624145232,1.3985042572021484
0.2,36,1,0.32883833728300416,0.3288488760073385,0.507115144717938,0.4371694889492821,1.5075058937072754
0.2,41,1,0.6089075335214083,0.6089667091768218,0.37642623819005994,0.25474293780461876,1.7265188694000244
0.2,46,1,0.6010188791679332,0.6026299654232039,0.39555483689634713,0.25988131084315813,1.896622896194458
0.2,51,1,0.24073111576033834,0.2611930109023546,0.5146499563051521,0.49455922251939893,2.097896099090576
0.2,56,1,0.4606219979604248,0.46094686929114925,0.4432408046435992,0.3513305640068329,2.2626664638519287
0.2,61,1,0.7166302582264039,0.7192954345204676,0.31984727578047845,0.18457640249200125,2.329421043395996
0.2,66,1,0.6937085756728723,0.6941367958589155,0.3094231761517597,0.19950672525093166,2.481363534927368
0.2,71,1,0.6034452342194927,0.6037462905641033,0.38234852292930493,0.25830087433013416,2.666437864303589
0.2,76,1,0.6832743928906335,0.6901064106261553,0.34060524463841463,0.2063031598626001,2.8518309593200684
0.2,81,1,0.6714988890817116,0.6727847977500301,0.3462239093813456,0.21397328059242096,2.9742987155914307
0.2,86,1,0.684749111897533,0.6869148496582003,0.344506511423746,0.2053425833124137,3.1126630306243896
0.2,91,1,0.7435306842143352,0.7442528324123225,0.28686392523968085,0.16705447575671237,3.714784860610962
0.2,96,1,0.7673280695009037,0.7673712206355451,0.2764526142591139,0.15155375314102695,3.4988667964935303
0.2,101,1,0.45105557667535845,0.45411805346573886,0.442665573510025,0.3575617713844055,3.446411609649658
0.2,106,1,0.7089543738893367,0.7095044538362496,0.3056201853552694,0.1895761851364465,3.632178544998169
0.2,111,1,0.7493251752111088,0.7498026075548316,0.2862047529969742,0.1632801620428957,3.8032238483428955
0.2,116,1,0.6205243157634001,0.6205936659840785,0.3535022250571016,0.24717620233971174,4.133413314819336
0.2,121,1,0.7255793660335108,0.7257912350912084,0.29245982768926754,0.17874728991911196,4.144319772720337
0.25,1,1,-4.6869272614945485,0.535290748431941,2.042833800759927,4.544527601004403,0.4113454818725586
0.25,6,1,0.006469850096592955,0.14375352249248352,0.6338744083817068,0.7939481166283604,0.5244350433349609
0.25,11,1,0.2358563059622627,0.31987526499657415,0.5232588612588875,0.6106412037658678,0.9539146423339844
0.25,16,1,0.059185829012005975,0.1419858350757961,0.592165200093184,0.751821813586443,0.9185757637023926
0.25,21,1,0.2060915880748495,0.2597813228706459,0.5914760127587624,0.6344267342915229,1.0968589782714844
0.25,26,1,0.049390946822682524,0.1345613284950976,0.6001940374800249,0.7596490831137603,1.2017221450805664
0.25,31,1,0.4138778793005776,0.44156436286546974,0.463048961254037,0.4683809081070859,1.3781099319458008
0.25,36,1,0.16309090717438735,0.19741480030439917,0.60185549607714,0.6687893649756327,1.4903874397277832
0.25,41,1,0.4747594245049338,0.4749153507203614,0.46315841036037486,0.4197293516775981,1.7680587768554688
0.25,46,1,0.6446590415457862,0.6480672226103293,0.35214858336257243,0.28395945986447213,1.8519339561462402
