test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,-1.0887456140234688,-0.9908534909128441,0.7320558490928327,1.0210062725138163,0.48888111114501953
0.05,1,1,2,-0.12093656592664837,-0.11507320460270076,0.5314627208353693,0.5479285065722443,0.48888111114501953
0.05,1,1,3,0.37483215090476585,0.38409245640298273,0.4079567612801851,0.30559025044254773,0.48888111114501953
0.05,1,1,4,0.38222100417058613,0.39139104794066104,0.43298050700022406,0.3019784819818806,0.48888111114501953
0.05,1,1,5,0.30952530703954506,0.3102142798454779,0.41001787927894695,0.33751309292599896,0.48888111114501953
0.05,1,1,6,0.44591594490417763,0.45306568654202695,0.3993723648669803,0.2708435589066277,0.48888111114501953
0.05,1,1,7,0.44422077793525205,0.4508443795431757,0.3871609490597334,0.2716721787713977,0.48888111114501953
0.05,1,1,8,0.42350201834533774,0.42532139401937685,0.37854219189792904,0.2817997804084684,0.48888111114501953
0.05,1,1,9,0.45089681522402925,0.45377322223662564,0.35110051448531304,0.26840884411656263,0.48888111114501953
0.05,1,1,10,0.4798635044555961,0.4821297039611083,0.3437384205833388,0.25424954621028545,0.48888111114501953
0.05,1,6,1,-1.5149720050011273,-1.1532808968321437,0.7393503020867571,1.2293513269701344,0.3649735450744629
0.05,1,6,2,-0.157754918834343,0.02580830117385502,0.5573354068557961,0.5659258007424866,0.3649735450744629
0.05,1,6,3,0.2622992760340105,0.5073131365802377,0.4713851292588266,0.3605977967591777,0.3649735450744629
0.05,1,6,4,0.3451434401542173,0.5886432195866658,0.45955946134295217,0.32010248194438623,0.3649735450744629
0.05,1,6,5,0.37681194489885794,0.6110924198349003,0.44433812707200115,0.30462250115192946,0.3649735450744629
0.05,1,6,6,0.4025796154683491,0.6593660501013427,0.45133326418016306,0.2920269255572345,0.3649735450744629
0.05,1,6,7,0.3868694399083106,0.6966142587663043,0.45019670754567376,0.29970626557901675,0.3649735450744629
0.05,1,6,8,0.4651921773870603,0.7284842666861051,0.4202457808926939,0.26142108345374243,0.3649735450744629
0.05,1,6,9,0.45217074890326514,0.6988283671677126,0.4376539910260037,0.26778612861280104,0.3649735450744629
0.05,1,6,10,0.44437765830786224,0.7039509302661294,0.44521889740728576,0.27159549358609136,0.3649735450744629
0.05,1,11,1,-0.3815156523372625,-0.3356582365669458,0.5405270544344624,0.6753029843089896,0.47242045402526855
0.05,1,11,2,0.2834405650540215,0.2854851196306222,0.43332174266248213,0.35026365719065466,0.47242045402526855
0.05,1,11,3,0.5323791980226752,0.535955086112542,0.38153016105518,0.22857918588616855,0.47242045402526855
0.05,1,11,4,0.5289514933669237,0.5295941156823584,0.38636958871135507,0.23025469291313763,0.47242045402526855
0.05,1,11,5,0.5065331500925263,0.507689400773836,0.3904896613361479,0.2412130733635156,0.47242045402526855
0.05,1,11,6,0.5795587352977881,0.5797346419607916,0.34496050647048504,0.20551720879868562,0.47242045402526855
0.05,1,11,7,0.5586687662024915,0.5586725151072669,0.3581830378582849,0.2157284998892425,0.47242045402526855
0.05,1,11,8,0.5599987076671218,0.5621188981941516,0.3384642874364945,0.21507840704483522,0.47242045402526855
0.05,1,11,9,0.554862156438271,0.557795419243613,0.33445441467031717,0.2175892207066497,0.47242045402526855
0.05,1,11,10,0.5636781885592468,0.5662270844752608,0.3406779257306033,0.21327982848877167,0.47242045402526855
0.05,1,16,1,-0.7758886493056056,-0.5722322692051436,0.6306082464363001,0.8680776816734654,0.34232020378112793
0.05,1,16,2,0.2877315409841992,0.29739173833041654,0.4237071132243352,0.3481661718336523,0.34232020378112793
0.05,1,16,3,0.5053925789170628,0.551503567979726,0.3902417166230375,0.2417705995249487,0.34232020378112793
0.05,1,16,4,0.5267662294235564,0.5592793978557025,0.37546370950617636,0.2313228786119113,0.34232020378112793
0.05,1,16,5,0.5361556459911319,0.5582577992961755,0.363568815032362,0.2267332085504273,0.34232020378112793
0.05,1,16,6,0.5893207272667544,0.6243411996331523,0.3383493576931486,0.20074541899066545,0.34232020378112793
0.05,1,16,7,0.5580267925764477,0.5927204428659413,0.3571373635622588,0.21604230502404614,0.34232020378112793
0.05,1,16,8,0.5388738451301078,0.5643171469113004,0.35144078933047196,0.22540451713285908,0.34232020378112793
0.05,1,16,9,0.5385244811092791,0.566591067154566,0.3440926694603981,0.22557529085190944,0.34232020378112793
0.05,1,16,10,0.5583708262831022,0.5857664951581931,0.3500117050386177,0.21587413683252862,0.34232020378112793
0.05,1,21,1,-0.5295988474772799,-0.47408039723450734,0.5426756208219187,0.7476879937983005,0.4375615119934082
0.05,1,21,2,0.29804263988264634,0.30251849298906786,0.3915063406781377,0.3431259713510546,0.4375615119934082
0.05,1,21,3,0.5367530584969642,0.5460143059806537,0.35575247659640674,0.22644118547608172,0.4375615119934082
0.05,1,21,4,0.5660636074178071,0.5809792163507499,0.34720300179539254,0.21211380444026565,0.4375615119934082
0.05,1,21,5,0.5928578047147957,0.6016295498754954,0.329239477626492,0.19901644910722388,0.4375615119934082
0.05,1,21,6,0.6419200891167165,0.6548342774019196,0.3074648593233017,0.1750341605116653,0.4375615119934082
0.05,1,21,7,0.6139936162568487,0.6280253724923642,0.2996381274619099,0.18868498700182282,0.4375615119934082
0.05,1,21,8,0.5992520159773934,0.6069500361484885,0.306393907455232,0.19589087471316674,0.4375615119934082
0.05,1,21,9,0.5912932278522496,0.6002048413594181,0.3060565688114175,0.1997812348139009,0.4375615119934082
0.05,1,21,10,0.600720989055917,0.6107577433304439,0.3075507731584585,0.1951728213909925,0.4375615119934082
0.05,1,26,1,-0.6311123009642412,-0.5646170757097417,0.6136761273797176,0.7973091023042225,0.3838644027709961
0.05,1,26,2,0.08433906475373609,0.0872982871291541,0.4703426505470831,0.4475870838964684,0.3838644027709961
0.05,1,26,3,0.45832788492667154,0.46533979291927763,0.4011780853790795,0.264776439707454,0.3838644027709961
0.05,1,26,4,0.45146444681990716,0.4522957271916124,0.4011493403465803,0.26813137834189993,0.3838644027709961
0.05,1,26,5,0.49787151714653155,0.49955632929221416,0.38900232126887585,0.245446993238056,0.3838644027709961
0.05,1,26,6,0.5622025251528449,0.5624264657174549,0.35699842102914353,0.21400115213102855,0.3838644027709961
0.05,1,26,7,0.5584546780539658,0.5591747494181227,0.34958010505815496,0.21583314898631212,0.3838644027709961
0.05,1,26,8,0.5470988695848336,0.5471614606736879,0.35384888526931435,0.22138401721967052,0.3838644027709961
0.05,1,26,9,0.5132652105455513,0.5132783558977707,0.35792083119976986,0.23792235385064942,0.3838644027709961
0.05,1,26,10,0.5197004571269439,0.5201143583284014,0.36145233651708986,0.23477672085414558,0.3838644027709961
0.05,1,31,1,-0.6096395334696085,-0.5530298501932203,0.5912128028999589,0.7868129317063965,0.4006314277648926
0.05,1,31,2,0.22330576932681268,0.2233583708722845,0.45182616045085683,0.37965833465716947,0.4006314277648926
0.05,1,31,3,0.5248733189246364,0.5320129757514291,0.39417995957766444,0.23224815810967736,0.4006314277648926
0.05,1,31,4,0.5519113679662268,0.5561568472368033,0.38276388994430555,0.21903160484313405,0.4006314277648926
0.05,1,31,5,0.6091634901926493,0.6094523289728356,0.35433937616673433,0.19104601602109175,0.4006314277648926
0.05,1,31,6,0.6359109158640648,0.6415419609516436,0.3356299370518314,0.17797152327254326,0.4006314277648926
0.05,1,31,7,0.6062469583726795,0.6130103286722547,0.33850474563761923,0.19247165505639735,0.4006314277648926
0.05,1,31,8,0.613675679420089,0.615434226976461,0.32761716128326546,0.18884039870079442,0.4006314277648926
0.05,1,31,9,0.6055660628028587,0.608901912808432,0.3218574480116788,0.1928044857481994,0.4006314277648926
0.05,1,31,10,0.6209188924872071,0.6258414985175542,0.3186040022445596,0.1852998210808916,0.4006314277648926
0.05,1,36,1,-0.5278322741400545,-0.4981826267390763,0.6009790984446247,0.7468244695634424,0.5195565223693848
0.05,1,36,2,0.09584339852532875,0.0962732151441299,0.44586366076409967,0.4419636145457595,0.5195565223693848
0.05,1,36,3,0.4123035617834545,0.4143552832085666,0.4007084776912368,0.2872737329641997,0.5195565223693848
0.05,1,36,4,0.4448586230273063,0.4460527681472516,0.38732266053785536,0.27136039171819837,0.5195565223693848
