test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,-12.109273294048903,-1.8020077093401046,2.26054080170769,6.407984855340741,0.3907949924468994
0.05,1,1,2,-12.11173830122324,-0.5604662248196899,2.376218300199188,6.409189783202656,0.3907949924468994
0.05,1,1,3,-11.488685915822487,-0.585596394879504,2.308586855459856,6.104633599181046,0.3907949924468994
0.05,1,1,4,-11.40222566830446,-0.49764741730884365,2.3087444596560416,6.062370695337547,0.3907949924468994
0.05,1,1,5,-11.339754501650496,-0.40036465640915675,2.312426721906772,6.031833969095385,0.3907949924468994
0.05,1,1,6,-11.184822132797,-0.4907978734842027,2.286346304735175,5.956100993594297,0.3907949924468994
0.05,1,1,7,-11.169461525852153,-0.42789118320080877,2.291423263997874,5.948592527299975,0.3907949924468994
0.05,1,1,8,-11.353532350000446,-0.41257969009689544,2.3125918940678925,6.038568762213607,0.3907949924468994
0.05,1,1,9,-11.384696420053528,-0.4535231907577195,2.311558122666391,6.0538021687077395,0.3907949924468994
0.05,1,1,10,-11.33303190081417,-0.40394315053191776,2.3113377152122903,6.028547873567325,0.3907949924468994
0.05,1,6,1,-10.580109898662501,-1.2744945692158405,2.221970099498582,5.660509716240103,0.27448439598083496
0.05,1,6,2,-8.60951889452185,-0.9095630128289027,2.052186135022502,4.6972589679063725,0.27448439598083496
0.05,1,6,3,-8.323637742601337,-0.2308622786076615,2.042766403232262,4.557516508439482,0.27448439598083496
0.05,1,6,4,-8.120324961813086,-0.21633098461592604,2.02987528011526,4.458134552554883,0.27448439598083496
0.05,1,6,5,-7.889341398436237,-0.26604906215478796,1.9918443314913232,4.345226754940852,0.27448439598083496
0.05,1,6,6,-8.12149642081726,-0.1309335132574192,2.011765909145015,4.458707177092416,0.27448439598083496
0.05,1,6,7,-8.29998020427845,-0.2545458754879637,2.027599411960591,4.545952393184022,0.27448439598083496
0.05,1,6,8,-8.169080039563406,-0.3168350785944849,2.0184396688448234,4.481966674506817,0.27448439598083496
0.05,1,6,9,-8.157365963758236,-0.2994091065620601,2.0225559562357667,4.476240680497072,0.27448439598083496
0.05,1,6,10,-8.311997821740713,-0.3368056168368103,2.0361898657534665,4.551826762339971,0.27448439598083496
0.05,1,11,1,-1.0629017839503634,-0.9605201132687282,0.8802405570128308,1.008373469154103,0.3010857105255127
0.05,1,11,2,-0.47585664574810904,-0.07763877959690557,0.7077027893058598,0.7214181001856982,0.3010857105255127
0.05,1,11,3,-0.3220449204298257,0.0797486863958029,0.6439217773769138,0.6462329099539235,0.3010857105255127
0.05,1,11,4,-0.46768100724131667,0.020267780714385175,0.6887550462794874,0.7174217407720876,0.3010857105255127
0.05,1,11,5,-0.6162242732062979,-0.016032814870945877,0.719485960216501,0.7900316389194212,0.3010857105255127
0.05,1,11,6,-0.5209922413913699,0.024066690049742268,0.713535108089842,0.7434809717752391,0.3010857105255127
0.05,1,11,7,-0.4151506771310758,0.08823108987311146,0.6782259239605736,0.6917442259135574,0.3010857105255127
0.05,1,11,8,-0.45362215113958526,0.13218078661056887,0.695522869179903,0.7105495873763531,0.3010857105255127
0.05,1,11,9,-0.36781854461114527,0.17645632763244845,0.678242094452978,0.6686076582674787,0.3010857105255127
0.05,1,11,10,-0.41381846344827533,0.16190399540614386,0.6850282168112404,0.691093022379084,0.3010857105255127
0.05,1,16,1,-0.5902275420191765,-0.5878069184838564,0.6337824964466325,0.7773240954882332,0.32591676712036133
0.05,1,16,2,0.07709721832379335,0.16777804982654665,0.4753068889057447,0.4511269934861817,0.32591676712036133
0.05,1,16,3,0.43053232756622206,0.47427252487293947,0.41145795171177424,0.2783632729831301,0.32591676712036133
0.05,1,16,4,0.4144793895895599,0.47734835741925374,0.4029281120877071,0.2862101597731761,0.32591676712036133
0.05,1,16,5,0.40497316813696693,0.4963437526923171,0.3970699028768711,0.2908569255956099,0.32591676712036133
0.05,1,16,6,0.4734040876561577,0.5391569576264175,0.37665058472644725,0.25740699392662264,0.32591676712036133
0.05,1,16,7,0.48127302134229033,0.5389178570554252,0.3676631685562649,0.2535605558550852,0.32591676712036133
0.05,1,16,8,0.46639480326051563,0.5448711516350173,0.36630438277631167,0.26083322414141574,0.32591676712036133
0.05,1,16,9,0.4509323244328751,0.5236538616347449,0.36140285417314544,0.26839148674919333,0.32591676712036133
0.05,1,16,10,0.4762621859854088,0.5463660495756228,0.34333274910181333,0.2560099179485644,0.32591676712036133
0.05,1,21,1,-0.608845955559433,-0.4899159170282492,0.6414417810308566,0.7864250204075875,0.3368418216705322
0.05,1,21,2,0.13634513266637593,0.1370890266553082,0.4675481392976913,0.4221658352814668,0.3368418216705322
0.05,1,21,3,0.5490525782567044,0.563682304396347,0.3435902583161557,0.2204290187769437,0.3368418216705322
0.05,1,21,4,0.5072514525002196,0.5128860467065155,0.359129143058344,0.24086195771836824,0.3368418216705322
0.05,1,21,5,0.5158317906426408,0.5161700528587778,0.34508803687258066,0.23666777581087092,0.3368418216705322
0.05,1,21,6,0.5541700442853327,0.5567150562980611,0.3336692015238841,0.21792753421150582,0.3368418216705322
0.05,1,21,7,0.5414929083467874,0.5468867285769679,0.3396083906232268,0.224124284655344,0.3368418216705322
0.05,1,21,8,0.5497191045508293,0.550583963022673,0.32790038129258364,0.22010321197570953,0.3368418216705322
0.05,1,21,9,0.5267858720232608,0.5282457224165384,0.34845377064623906,0.2313132770513518,0.3368418216705322
0.05,1,21,10,0.5329834118842016,0.5351203149019435,0.35645125453560056,0.2282838382198867,0.3368418216705322
0.05,1,26,1,-0.7308873136632938,-0.6953205085930807,0.6349692205468943,0.8460804381346534,0.36192941665649414
0.05,1,26,2,0.08353594197285052,0.09425538183634896,0.49947560215307957,0.44797966085336427,0.36192941665649414
0.05,1,26,3,0.473786636128937,0.47381891814339805,0.3975802262683276,0.25721999921188765,0.36192941665649414
0.05,1,26,4,0.4574899183175709,0.4589150022205235,0.3896188617134168,0.26518604878493324,0.36192941665649414
0.05,1,26,5,0.4438972942477345,0.45451163729676003,0.3906037547305468,0.27183030184382645,0.36192941665649414
0.05,1,26,6,0.48069840011805487,0.4828510642969889,0.4026559817611875,0.2538414382518333,0.36192941665649414
0.05,1,26,7,0.4754699067994297,0.4763949997660544,0.4144466610765791,0.25639719441393954,0.36192941665649414
0.05,1,26,8,0.4480996497791465,0.4546731950437578,0.4201380761748112,0.269776135300951,0.36192941665649414
0.05,1,26,9,0.45103390807911004,0.4571990993548143,0.4137809833705224,0.26834183132955086,0.36192941665649414
0.05,1,26,10,0.47022292706766344,0.47383002901380633,0.41259962837432235,0.25896198697743744,0.36192941665649414
0.05,1,31,1,-0.9135029564129322,-0.8237384299195312,0.7171952826938411,0.9353453612802577,0.3495619297027588
0.05,1,31,2,-0.05700450408859026,-0.04722556091292707,0.5368906471406538,0.5166776755887328,0.3495619297027588
0.05,1,31,3,0.5174488342713104,0.5174585479464635,0.3517698094504565,0.23587734366024637,0.3495619297027588
0.05,1,31,4,0.418533816542517,0.42174485388809535,0.41975509426094754,0.28422830266112487,0.3495619297027588
0.05,1,31,5,0.42140410976744236,0.4369836496257714,0.3887565250279409,0.28282526565799376,0.3495619297027588
0.05,1,31,6,0.4952947823171956,0.49980452268222086,0.37839408483565695,0.24670653504424517,0.3495619297027588
0.05,1,31,7,0.5045351193025744,0.5055907499843659,0.36929619324427676,0.242189737039322,0.3495619297027588
0.05,1,31,8,0.4627868787094599,0.4707739023315298,0.3611235025729857,0.26259682501873305,0.3495619297027588
0.05,1,31,9,0.4543498187812387,0.46137659824399857,0.3628223731777304,0.26672097065449357,0.3495619297027588
0.05,1,31,10,0.47700808936433425,0.484520630081106,0.372390494320504,0.25564531058639495,0.3495619297027588
0.05,1,36,1,-0.6223110107129022,-0.5047438021181463,0.6463361022602342,0.7930069161057212,0.3690941333770752
0.05,1,36,2,0.14620895574949133,0.15256812524324415,0.4689506635548387,0.41734426908823946,0.3690941333770752
0.05,1,36,3,0.5044761782177312,0.5259362073944038,0.39096566989252823,0.24221854821524008,0.3690941333770752
0.05,1,36,4,0.45835917185185415,0.4709058986463357,0.40487366584142104,0.26476114624776,0.3690941333770752
0.05,1,36,5,0.45268954353087354,0.45534256871263823,0.4000543300623927,0.2675325349892509,0.3690941333770752
0.05,1,36,6,0.49254222979020645,0.500107128461837,0.38306599943619385,0.24805201884878855,0.3690941333770752
0.05,1,36,7,0.49873700755915273,0.5082931220271172,0.3754845940224568,0.24502393016414503,0.3690941333770752
0.05,1,36,8,0.5001019720943627,0.5028114153750103,0.3684081264929719,0.2443567175831339,0.3690941333770752
0.05,1,36,9,0.5090656411707164,0.512683386001957,0.3545235428537888,0.23997515848361953,0.3690941333770752
0.05,1,36,10,0.5122456578821917,0.5165644468885212,0.3648291823970181,0.23842072457490587,0.3690941333770752
0.05,1,41,1,-1.0149030728954007,-0.8789467440425003,0.7046278075589222,0.9849110691707489,0.38132596015930176
0.05,1,41,2,0.08674489690158171,0.08795033463705604,0.5001808942603422,0.4464110815642197,0.38132596015930176
0.05,1,41,3,0.536111874156006,0.569254807105337,0.3639511900899301,0.22675460479797552,0.38132596015930176
0.05,1,41,4,0.5082301876010809,0.5223377851666328,0.3777300552286055,0.24038353915442262,0.38132596015930176
0.05,1,41,5,0.43776440193184907,0.4383338958623607,0.42208013763644053,0.2748281401067201,0.38132596015930176
0.05,1,41,6,0.48098468679112505,0.49006737311167436,0.42844099589810075,0.2537014975683057,0.38132596015930176
0.05,1,41,7,0.5035265619764855,0.5187284922802593,0.4073029006651462,0.24268273309839836,0.38132596015930176
0.05,1,41,8,0.5172685151778028,0.5199541091039861,0.3992510116744019,0.23596548599997852,0.38132596015930176
0.05,1,41,9,0.5095868878494534,0.5126621241098952,0.3935627216404973,0.2397203662652927,0.38132596015930176
0.05,1,41,10,0.5629493359876294,0.5660447924914604,0.3633253000432738,0.21363610119252413,0.38132596015930176
0.05,1,46,1,-0.7527507374695297,-0.6421823183842017,0.6968868030736973,0.8567675666652528,0.4242689609527588
0.05,1,46,2,0.0744810649478086,0.07456744345489563,0.4940968375181276,0.4524058035953713,0.4242689609527588
0.05,1,46,3,0.454323828013816,0.458843100146181,0.39353187196801354,0.26673367528275843,0.4242689609527588
0.05,1,46,4,0.3659503868203927,0.36721658454830564,0.43827527229954005,0.3099317733069165,0.4242689609527588
0.05,1,46,5,0.41910230780127944,0.42139207271241796,0.40904168042629846,0.2839504166719604,0.4242689609527588
0.05,1,46,6,0.45390563287763674,0.45406635597026934,0.4068344127574477,0.26693809455445294,0.4242689609527588
0.05,1,46,7,0.49826380386188074,0.5007118051251374,0.3926998663111675,0.245255238342531,0.4242689609527588
0.05,1,46,8,0.4985985358838102,0.4986988267614584,0.37716887786509784,0.2450916169365988,0.4242689609527588
0.05,1,46,9,0.4492645864949074,0.44926602082025846,0.3931864322730353,0.2692066989436043,0.4242689609527588
0.05,1,46,10,0.48711103130075084,0.48733522977254984,0.380749239942193,0.25070685995905667,0.4242689609527588
0.05,1,51,1,-0.8234092216877984,-0.7024702345599865,0.6905101485120884,0.891306361197635,0.3969411849975586
0.05,1,51,2,0.04101983393463782,0.041104557562169686,0.4729235946213667,0.4687620925187851,0.3969411849975586
0.05,1,51,3,0.5090173089615762,0.5152761483394914,0.3701039239848679,0.2399987839018444,0.3969411849975586
0.05,1,51,4,0.36454654347027937,0.3645481208551471,0.3799717832329484,0.3106179903629665,0.3969411849975586
