test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.8129742450987787,0.8207951925395145,0.35870814635940035,0.22493682059332534,0.3807961940765381
0.05,1,1,2,0.8421931832282751,0.8682536770539511,0.2997251562429604,0.18979505604098737,0.3807961940765381
0.05,1,1,3,0.842842093865638,0.8517314656200907,0.2798714964111405,0.18901460793802582,0.3807961940765381
0.05,1,1,4,0.8432686521088596,0.8599946958142896,0.3034580533542852,0.18850158418320223,0.3807961940765381
0.05,1,1,5,0.8416066971682545,0.8686245586829426,0.2808022743886823,0.1905004257893036,0.3807961940765381
0.05,1,1,6,0.823036097419484,0.8564863142119062,0.31271073226912166,0.21283537995754565,0.3807961940765381
0.05,1,1,7,0.8296202036149714,0.8641807555022556,0.30665568137368293,0.20491664216208025,0.3807961940765381
0.05,1,1,8,0.8207547663365757,0.8592105075776628,0.3056619521966811,0.21557914838014136,0.3807961940765381
0.05,1,1,9,0.8170582074372317,0.8519102743381183,0.30902255182242677,0.2200250184497133,0.3807961940765381
0.05,1,1,10,0.8362867198282642,0.8676964274082809,0.2868718600536151,0.196898789421724,0.3807961940765381
0.05,1,6,1,0.6813903673106003,0.7796922686182228,0.4464903421689565,0.3831934153957146,0.3062598705291748
0.05,1,6,2,0.6759745353167501,0.8099858648458528,0.45897629389113936,0.3897070639047538,0.3062598705291748
0.05,1,6,3,0.6729385327371611,0.7839749269623865,0.4918629262786136,0.39335847955029724,0.3062598705291748
0.05,1,6,4,0.6576778033061571,0.792490679229032,0.4990105626073967,0.41171263596024205,0.3062598705291748
0.05,1,6,5,0.6252894986584261,0.7826235455357071,0.4816416963360024,0.45066621364111503,0.3062598705291748
0.05,1,6,6,0.6147671028624204,0.7901230003996895,0.49555127855292025,0.46332155224209093,0.3062598705291748
0.05,1,6,7,0.638096582438633,0.8135186646299806,0.4836240085761684,0.4352630692553935,0.3062598705291748
0.05,1,6,8,0.5961098926842898,0.7942882305379435,0.5084691230821557,0.4857606732114283,0.3062598705291748
0.05,1,6,9,0.6014302935260555,0.7986523722160781,0.5059230594214686,0.4793618002312823,0.3062598705291748
0.05,1,6,10,0.624367058768458,0.81564832793276,0.5001922772688839,0.4517756367585219,0.3062598705291748
0.05,1,11,1,0.8384676334539157,0.8404445558648572,0.3487616910018534,0.19427579358245145,0.3211402893066406
0.05,1,11,2,0.8771846268700558,0.8813502908069517,0.2678657624756804,0.14771066993646542,0.3211402893066406
0.05,1,11,3,0.8766329320517322,0.8767857909225567,0.28478589249613606,0.14837419608256797,0.3211402893066406
0.05,1,11,4,0.8836383343233379,0.886011285359015,0.2648038604292195,0.13994876336724746,0.3211402893066406
0.05,1,11,5,0.8775695531110199,0.8818830377974262,0.2568777084664781,0.14724771720115284,0.3211402893066406
0.05,1,11,6,0.8748190009784951,0.8798820826810564,0.26776290634389904,0.15055582015142885,0.3211402893066406
0.05,1,11,7,0.8927199784582219,0.8972217328438414,0.2576034742114647,0.12902622407024128,0.3211402893066406
0.05,1,11,8,0.8915259269992739,0.9002706453229424,0.2533566148669404,0.13046231579430598,0.3211402893066406
0.05,1,11,9,0.9016022490092144,0.9076853275725624,0.23819341645026726,0.11834347239015748,0.3211402893066406
0.05,1,11,10,0.9134461500423645,0.918328478809649,0.22262891258303263,0.1040987527619659,0.3211402893066406
0.05,1,16,1,0.8470903159673611,0.847760308988825,0.3314927643064126,0.18390524974700784,0.3454897403717041
0.05,1,16,2,0.8783252495313815,0.8826288423417483,0.2500436968874807,0.14633883729731473,0.3454897403717041
0.05,1,16,3,0.8660574648522034,0.866816837645582,0.2657699633857854,0.16109336392876855,0.3454897403717041
0.05,1,16,4,0.8771619157316102,0.8801778545237685,0.2683514468527608,0.14773798473744937,0.3454897403717041
0.05,1,16,5,0.8664541099350365,0.8740756477100395,0.2631522172281589,0.1606163168831166,0.3454897403717041
0.05,1,16,6,0.8537933224377023,0.8634161935670891,0.27888520588475874,0.17584350999008827,0.3454897403717041
0.05,1,16,7,0.8673055022584366,0.8752928921701677,0.2751311877897699,0.15959234303307468,0.3454897403717041
0.05,1,16,8,0.8574037665987712,0.8694277409101121,0.266422324794199,0.17150121055143897,0.3454897403717041
0.05,1,16,9,0.8553937633110853,0.8656835463165912,0.26932178188138456,0.17391865166350923,0.3454897403717041
0.05,1,16,10,0.8702057228326363,0.8794249817013552,0.25394109370147744,0.15610423309161578,0.3454897403717041
0.05,1,21,1,0.8875547580360341,0.8893321657621579,0.2865526551654722,0.13523846077552437,0.3590099811553955
0.05,1,21,2,0.9109659566094177,0.9110077393040104,0.2426006866090971,0.10708169393794534,0.3590099811553955
0.05,1,21,3,0.8826991111609938,0.8866544818115734,0.2733810185924122,0.1410783718111588,0.3590099811553955
0.05,1,21,4,0.9080569932398788,0.9092049832797259,0.25023092394632807,0.11058031888354243,0.3590099811553955
0.05,1,21,5,0.9133108775841643,0.9135138766252637,0.2396308042663014,0.10426144563107087,0.3590099811553955
0.05,1,21,6,0.9185371392060241,0.91892708348326,0.23579722406454529,0.09797579436645783,0.3590099811553955
0.05,1,21,7,0.9278527193118262,0.9285639874445817,0.22618501883701944,0.08677189909498426,0.3590099811553955
0.05,1,21,8,0.9293804986437121,0.9294345793829235,0.2274324854082346,0.08493443117157388,0.3590099811553955
0.05,1,21,9,0.9246907512228281,0.9252345874772845,0.23825321610240288,0.09057481409528695,0.3590099811553955
0.05,1,21,10,0.9327305088542523,0.9340406282394496,0.22457215343950584,0.08090535696138246,0.3590099811553955
0.05,1,26,1,0.8459760892162673,0.8459835036953315,0.35222893957011064,0.1852453358915254,0.38477039337158203
