test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.6705233133383011,0.6731095277276619,0.47273981042699753,0.3962632761271207,0.4065101146697998
0.05,1,1,2,0.744182538087345,0.7493189274917945,0.4115745560758021,0.30767295426920344,0.4065101146697998
0.05,1,1,3,0.7358015530806858,0.7360246074056259,0.44143153057177065,0.3177528072917667,0.4065101146697998
0.05,1,1,4,0.7691784433164081,0.7712016287246901,0.4256914537260858,0.27761025272819345,0.4065101146697998
0.05,1,1,5,0.7800400153172595,0.783643668586502,0.4144146924660683,0.2645469851915518,0.4065101146697998
0.05,1,1,6,0.77174520204564,0.7758906641602321,0.4162249791215304,0.274523199032896,0.4065101146697998
0.05,1,1,7,0.8053782396882595,0.8090027266891093,0.38840472341247106,0.2340725746885531,0.4065101146697998
0.05,1,1,8,0.8090679612132934,0.8172401436296579,0.37470658663671697,0.2296349279636182,0.4065101146697998
0.05,1,1,9,0.8231653514534674,0.8302533144938289,0.3662868983233542,0.21267992547766168,0.4065101146697998
0.05,1,1,10,0.8361138581594344,0.8415692484975519,0.35015222538849283,0.19710669102441813,0.4065101146697998
0.05,1,6,1,0.7409881068617568,0.7695732831535467,0.4333095528741555,0.31151491284794236,0.3041856288909912
0.05,1,6,2,0.7963562839873726,0.8281283934638619,0.3878923009250542,0.24492332640434297,0.3041856288909912
0.05,1,6,3,0.7890977843160409,0.8078281480930267,0.38188726078938634,0.25365316064139426,0.3041856288909912
0.05,1,6,4,0.7791668056615929,0.8105935037382538,0.40713023048092123,0.265597198857369,0.3041856288909912
0.05,1,6,5,0.7733269115196172,0.8171829052220894,0.399641186417771,0.2726208690550453,0.3041856288909912
0.05,1,6,6,0.7513619101457281,0.801382159187067,0.4321242116979729,0.2990382872121334,0.3041856288909912
0.05,1,6,7,0.7648069033133031,0.8134189422027667,0.415522474141276,0.28286792598241617,0.3041856288909912
0.05,1,6,8,0.7545303160180735,0.815465671463137,0.42450069265674706,0.29522762945726416,0.3041856288909912
0.05,1,6,9,0.7687638340704027,0.8287355979140714,0.4136998210838749,0.2781089053636782,0.3041856288909912
0.05,1,6,10,0.7917354621476105,0.846692779653004,0.3935847054194793,0.2504808121833109,0.3041856288909912
0.05,1,11,1,0.792690190390247,0.7951897943915663,0.38418932893631236,0.24933255570097385,0.32930588722229004
0.05,1,11,2,0.8532482891313268,0.8606613320412996,0.3087353109973906,0.17649902430210565,0.32930588722229004
0.05,1,11,3,0.8466192540099332,0.8475136178383321,0.32837386709369415,0.18447179834381602,0.32930588722229004
0.05,1,11,4,0.8437850669538778,0.8501810434077219,0.33611898513826455,0.18788048943928878,0.32930588722229004
0.05,1,11,5,0.838237101561418,0.8502079286941621,0.32405990618701397,0.19455305545459947,0.32930588722229004
0.05,1,11,6,0.8089252521137306,0.8238814748701674,0.35326225537884276,0.2298065649188726,0.32930588722229004
0.05,1,11,7,0.8286880337562147,0.8423229476928208,0.3344506652062182,0.20603776756212155,0.32930588722229004
0.05,1,11,8,0.8146206186250605,0.8347430403949824,0.334796907714424,0.22295671883297452,0.32930588722229004
0.05,1,11,9,0.823662510840744,0.8415633207289874,0.3276872157046393,0.21208198937008543,0.32930588722229004
0.05,1,11,10,0.843122700018755,0.8590772619595239,0.30507303913185296,0.18867712149957033,0.32930588722229004
0.05,1,16,1,0.7837827686069536,0.7865464414643382,0.42972920494500083,0.2600455568952531,0.37789225578308105
0.05,1,16,2,0.8513569644243231,0.8610574475223284,0.34281317802436523,0.17877373008542258,0.37789225578308105
0.05,1,16,3,0.8613963277036475,0.8633407237251722,0.34108103507473375,0.16669933713336457,0.37789225578308105
0.05,1,16,4,0.8713088028061055,0.8795047498115622,0.3221815385634342,0.15477755323287984,0.37789225578308105
0.05,1,16,5,0.8528900316940908,0.8679811540856992,0.3215396239380155,0.17692990233239797,0.37789225578308105
0.05,1,16,6,0.8203930261549689,0.841599630981567,0.346501984661428,0.21601421512468938,0.37789225578308105
0.05,1,16,7,0.8365570177098136,0.8568073988102801,0.33129454409360765,0.19657370079357792,0.37789225578308105
0.05,1,16,8,0.8064442398516112,0.8346771646995575,0.3417960101429973,0.23279049090483597,0.37789225578308105
0.05,1,16,9,0.8172594311321378,0.8453397710261663,0.31961253263960293,0.2197830056949237,0.37789225578308105
0.05,1,16,10,0.8358408522542018,0.8622987856735544,0.30495154296437055,0.19743503660633366,0.37789225578308105
0.05,1,21,1,0.7603414311772317,0.7714991637365771,0.4248693909903197,0.28823857188766316,0.3592512607574463
0.05,1,21,2,0.8322246472401056,0.8498728885952127,0.3306303408616928,0.2017842646520327,0.3592512607574463
0.05,1,21,3,0.8460182813241388,0.8507516271038108,0.3243964508555949,0.18519459123016177,0.3592512607574463
0.05,1,21,4,0.8385873904296572,0.8535357938751545,0.32918118383932704,0.19413176126251036,0.3592512607574463
0.05,1,21,5,0.8292722117589854,0.8548662735677877,0.3315156246900037,0.20533517372592403,0.3592512607574463
0.05,1,21,6,0.7959632392679087,0.8275419163665956,0.3477576183449702,0.2453960432747756,0.3592512607574463
0.05,1,21,7,0.8050015568173162,0.8338248138549744,0.348417170920012,0.23452561308108194,0.3592512607574463
0.05,1,21,8,0.7792735303816567,0.8192100745144207,0.3669273826717495,0.2654688404971927,0.3592512607574463
0.05,1,21,9,0.7933146093634085,0.8302844598318624,0.34787799927961743,0.24858156384632127,0.3592512607574463
0.05,1,21,10,0.8142433497295679,0.847165869962637,0.32449786333994446,0.22341046204019052,0.3592512607574463
0.05,1,26,1,0.7809153118362718,0.7821019805662467,0.4225369748812563,0.2634942616446424,0.3863866329193115
0.05,1,26,2,0.8661380460797928,0.8736742975904921,0.3299802935804414,0.16099644847911262,0.3863866329193115
0.05,1,26,3,0.8638397236509119,0.8647557393307694,0.32447615949109926,0.16376065247937907,0.3863866329193115
0.05,1,26,4,0.8613133273156354,0.8671284233932158,0.31422296740605116,0.1667991621194865,0.3863866329193115
0.05,1,26,5,0.8466424933886999,0.8585959649058329,0.3159210826816334,0.18444384822552837,0.3863866329193115
0.05,1,26,6,0.8266013369683939,0.8429158875063869,0.33302629729336175,0.2085474483343907,0.3863866329193115
0.05,1,26,7,0.8471007896879794,0.8647275659554133,0.31144196101108745,0.18389265295028903,0.3863866329193115
