test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.7990008430659883,0.8143102520527576,0.3833387755941994,0.24174270183566152,0.42492175102233887
0.05,1,1,2,0.8534097901940472,0.8699255716118833,0.3109987642502299,0.1763047861577926,0.42492175102233887
0.05,1,1,3,0.8615824908906222,0.8682638850643185,0.3029479449573574,0.1664754377275756,0.42492175102233887
0.05,1,1,4,0.8797545104275023,0.8929858622156376,0.2848603939697387,0.14461985799448238,0.42492175102233887
0.05,1,1,5,0.8665696252980248,0.8889153310727391,0.28843205515674253,0.16047738597226957,0.42492175102233887
0.05,1,1,6,0.8626184411301976,0.8878499457448402,0.2830312449088746,0.16522949513904797,0.42492175102233887
0.05,1,1,7,0.8828024933861249,0.9078767969217496,0.25550452906947246,0.1409540334865299,0.42492175102233887
0.05,1,1,8,0.8722542032038026,0.9054555988478098,0.26306011121790807,0.15364051539679152,0.42492175102233887
0.05,1,1,9,0.8704521096155433,0.90175351294142,0.2736538759124399,0.15580790246264656,0.42492175102233887
0.05,1,1,10,0.884505680716786,0.912801840785094,0.2613840578893568,0.13890560147653166,0.42492175102233887
0.05,1,6,1,0.7650280204814393,0.765356191850574,0.4000221307221992,0.28260198724683716,0.322343111038208
0.05,1,6,2,0.8243599353887947,0.8251675972662512,0.3203463563996101,0.21124319334156458,0.322343111038208
0.05,1,6,3,0.8154764543927724,0.816688503087594,0.3340378482237201,0.22192740083000312,0.322343111038208
0.05,1,6,4,0.8213582006977483,0.8214825312860531,0.3274533397588626,0.21485339482437782,0.322343111038208
0.05,1,6,5,0.8074392675486591,0.8084003348111721,0.32571437914542334,0.2315937660650167,0.322343111038208
0.05,1,6,6,0.7934257052052567,0.7949357692925982,0.34228227925344573,0.24844794831588443,0.322343111038208
0.05,1,6,7,0.8074081745347146,0.8086859183529841,0.33310053663067607,0.2316311617900228,0.322343111038208
0.05,1,6,8,0.7997117548001903,0.803816606814361,0.34357383538666947,0.24088768470019611,0.322343111038208
0.05,1,6,9,0.806895689106784,0.8100600264021474,0.32742501876878227,0.23224753060414682,0.322343111038208
0.05,1,6,10,0.8237167185470697,0.8261983898160679,0.31171677612818,0.21201679348773758,0.322343111038208
0.05,1,11,1,0.737892585269068,0.7440218431515935,0.456533526263527,0.31523791231133264,0.3180887699127197
0.05,1,11,2,0.8114096562479259,0.82232963720765,0.35897422064877477,0.22681855951122176,0.3180887699127197
0.05,1,11,3,0.8221371853847423,0.8245626878258006,0.3513321845541315,0.21391650600456877,0.3180887699127197
0.05,1,11,4,0.8239403772947917,0.8312324419818732,0.3543108725454631,0.21174779798154625,0.3180887699127197
0.05,1,11,5,0.8108663634441133,0.8252580907492615,0.33922437723034177,0.22747198051201067,0.3180887699127197
0.05,1,11,6,0.7963610353744628,0.8153595801727459,0.35141184367407224,0.24491761188707745,0.3180887699127197
