test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.05,1,1,1,1,0.9605392125493387,0.9605537228786736,0.1423430692944193,0.48728060722351074
0.05,1,1,1,2,0.9691303841689933,0.9691491518585976,0.13235248841402397,0.48728060722351074
0.05,1,1,1,3,0.9728885293615442,0.9729311232562341,0.12448211875039948,0.48728060722351074
0.05,1,1,1,4,0.9760509073022414,0.976133063699352,0.1199463458713207,0.48728060722351074
0.05,1,1,1,5,0.9753559978465786,0.9754608406997206,0.12029597606013664,0.48728060722351074
0.05,1,2,1,1,0.960383846066822,0.9604668241091171,0.14187592499833387,0.6090662479400635
0.05,1,2,1,2,0.9696268945431733,0.9696746530998712,0.13119215901005185,0.6090662479400635
0.05,1,2,1,3,0.9735083593426119,0.9735753421407141,0.12267577440105011,0.6090662479400635
0.05,1,2,1,4,0.9763837478071578,0.9764729938975247,0.11892251967812284,0.6090662479400635
0.05,1,2,1,5,0.9760947412612242,0.9761889335495816,0.11800240113747225,0.6090662479400635
0.05,1,3,1,1,0.960941109233408,0.9609423710175137,0.14082865663487165,0.48511600494384766
0.05,1,3,1,2,0.9694685719226797,0.9694686375977677,0.13163197985331543,0.48511600494384766
0.05,1,3,1,3,0.9733877359509923,0.9733884011257444,0.12230021736143683,0.48511600494384766
0.05,1,3,1,4,0.976287993277164,0.9762907817783927,0.11840102253654766,0.48511600494384766
0.05,1,3,1,5,0.9758457014711858,0.9758499761069898,0.11808370331533861,0.48511600494384766
0.05,1,4,1,1,0.9607435555577045,0.9607497825974085,0.142318674628514,0.46323704719543457
0.05,1,4,1,2,0.9695082582177549,0.9695268794628636,0.1315723156460887,0.46323704719543457
0.05,1,4,1,3,0.9733305649535853,0.9733383944447196,0.12277724880125589,0.46323704719543457
0.05,1,4,1,4,0.9762209908652133,0.9762241926540124,0.11915671614622632,0.46323704719543457
0.05,1,4,1,5,0.9757612986113983,0.975763382820527,0.11838067715143454,0.46323704719543457
0.05,1,5,1,1,0.9602561097180871,0.960303978490984,0.14230038976574302,0.5318613052368164
0.05,1,5,1,2,0.9687618509917295,0.9687925778006694,0.13293033335101734,0.5318613052368164
0.05,1,5,1,3,0.972383184127602,0.972430013350033,0.12392541931119921,0.5318613052368164
0.05,1,5,1,4,0.9755030622985614,0.9755623873814698,0.12030782134035137,0.5318613052368164
0.05,1,5,1,5,0.9749528780940305,0.9750206890848976,0.12041001329706011,0.5318613052368164
0.05,1,6,1,1,0.9609842040830261,0.9610132935577783,0.14139519840882941,0.5458524227142334
0.05,1,6,1,2,0.9692795170205595,0.9693172318138317,0.1321426261032767,0.5458524227142334
0.05,1,6,1,3,0.9734063768559602,0.9734415663409355,0.12218909254603424,0.5458524227142334
0.05,1,6,1,4,0.9761416779420256,0.9761668941903466,0.11886263912336542,0.5458524227142334
0.05,1,6,1,5,0.9758000901780488,0.9758205591988535,0.11797025031001365,0.5458524227142334
0.05,1,7,1,1,0.9603036144641004,0.9605613702179296,0.14302580312336516,0.5447945594787598
0.05,1,7,1,2,0.9684798270188145,0.9686944654859448,0.1339187914661311,0.5447945594787598
0.05,1,7,1,3,0.9722218345861359,0.9724828444248257,0.12564117017843338,0.5447945594787598
0.05,1,7,1,4,0.9750224025790649,0.9753332391936229,0.12193997282226791,0.5447945594787598
0.05,1,7,1,5,0.9744745499336099,0.974822384295354,0.12208961826583288,0.5447945594787598
0.05,1,8,1,1,0.9603312196661267,0.9605503685775765,0.14210938181315644,0.651482105255127
0.05,1,8,1,2,0.9692052719778081,0.9693827295255162,0.13267897531645487,0.651482105255127
0.05,1,8,1,3,0.9729947430128544,0.973224003178685,0.1246316327770314,0.651482105255127
