test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.05,1,1,1,1,0.9526545991835079,0.9529964209239769,0.15512667603897917,0.43261289596557617
0.05,1,1,1,2,0.9624079052478652,0.962771775899021,0.1465305026322582,0.43261289596557617
0.05,1,1,1,3,0.9662095380374304,0.9665917116915597,0.13995507173397984,0.43261289596557617
0.05,1,1,1,4,0.9700586424095003,0.9704880189933994,0.13552334315535278,0.43261289596557617
0.05,1,1,1,5,0.9687575740209731,0.9692051745571608,0.13601251333372355,0.43261289596557617
0.05,1,1,1,6,0.9692977466474099,0.9697219676384523,0.13483749994354982,0.43261289596557617
0.05,1,1,1,7,0.9702793206227325,0.970637095202064,0.13411997415586177,0.43261289596557617
0.05,1,1,1,8,0.9701069655776454,0.9704919948640829,0.13409327637385104,0.43261289596557617
0.05,1,1,1,9,0.9690999631587865,0.9695441888345294,0.1342515240460935,0.43261289596557617
0.05,1,1,1,10,0.96861999567417,0.9691165792438535,0.1351203338182895,0.43261289596557617
0.05,1,2,1,1,0.9534934580151524,0.9535274446928299,0.14997156380930524,0.35372376441955566
0.05,1,2,1,2,0.9642705333008008,0.9643093128212835,0.1414578860487221,0.35372376441955566
0.05,1,2,1,3,0.9683747109341219,0.9684199639085207,0.13256654628130296,0.35372376441955566
0.05,1,2,1,4,0.9727883219536232,0.972850042280994,0.12554353108352673,0.35372376441955566
0.05,1,2,1,5,0.9722531613966504,0.9723237531088627,0.12643992180413963,0.35372376441955566
0.05,1,2,1,6,0.9725053526784051,0.9725634856576384,0.1273493177034095,0.35372376441955566
0.05,1,2,1,7,0.9733038977329334,0.9733370571431017,0.127018746790415,0.35372376441955566
0.05,1,2,1,8,0.9729950317609705,0.9730386869224947,0.12675065639560804,0.35372376441955566
0.05,1,2,1,9,0.9724080860130865,0.9724698722098987,0.127449919479645,0.35372376441955566
0.05,1,2,1,10,0.9719462444324481,0.972032038543636,0.12899121309219136,0.35372376441955566
