test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.05,1,1,1,1,0.9546944372963759,0.9550130137690622,0.15261050443447105,1.32197904586792
0.05,1,1,1,2,0.9644357385183528,0.9647577909487548,0.14057676711083456,1.32197904586792
0.05,1,1,1,3,0.968342139118207,0.968701018549371,0.13245093002840527,1.32197904586792
0.05,1,1,1,4,0.9727287536949362,0.9731425004989376,0.12857796155950527,1.32197904586792
0.05,1,1,1,5,0.9721495565567367,0.9725951850931733,0.12898876082396804,1.32197904586792
0.05,1,2,1,1,0.958813307292057,0.9593031897224144,0.14681224431107448,0.3918769359588623
0.05,1,2,1,2,0.9676978041005189,0.9681696729209384,0.13725402577033757,0.3918769359588623
0.05,1,2,1,3,0.9715808695946557,0.9721227663786255,0.12894636702820392,0.3918769359588623
0.05,1,2,1,4,0.9748580606840702,0.9754757990221437,0.12515295379413993,0.3918769359588623
0.05,1,2,1,5,0.9742435567617005,0.9748748754701759,0.12623086432941974,0.3918769359588623
0.05,1,3,1,1,0.9604203615500643,0.9604249398262678,0.14573286205248173,0.44255971908569336
0.05,1,3,1,2,0.9699056352323467,0.9699074761528195,0.13323064303364773,0.44255971908569336
0.05,1,3,1,3,0.9737513179369427,0.9737513221706797,0.12423508739761112,0.44255971908569336
0.05,1,3,1,4,0.9770120485752464,0.9770140273115135,0.11847268333882546,0.44255971908569336
0.05,1,3,1,5,0.9762597371546363,0.9762624844032813,0.11985312175662687,0.44255971908569336
0.05,1,4,1,1,0.9585298437236659,0.9585811771485175,0.14431843729785102,0.5065176486968994
0.05,1,4,1,2,0.9685374707759997,0.968573532700215,0.1328106376845593,0.5065176486968994
0.05,1,4,1,3,0.9717201940918929,0.9717764495912979,0.12596645540042375,0.5065176486968994
0.05,1,4,1,4,0.9750605039503405,0.9751424945741104,0.12146749161367593,0.5065176486968994
0.05,1,4,1,5,0.9741814010482698,0.9742606219351958,0.1213066165057636,0.5065176486968994
0.05,1,5,1,1,0.9597079516953084,0.9597600729483471,0.14258653138912222,0.5577490329742432
0.05,1,5,1,2,0.9696181970757147,0.9696530761852227,0.13163597700461813,0.5577490329742432
0.05,1,5,1,3,0.9733462471051779,0.9733926708053668,0.12300098561302983,0.5577490329742432
0.05,1,5,1,4,0.9764214842317714,0.9764972307663136,0.11915431584484451,0.5577490329742432
0.05,1,5,1,5,0.9757684228324259,0.9758388881129707,0.12029950969661023,0.5577490329742432
0.05,1,6,1,1,0.9589197044812335,0.9589280813512104,0.14467887941386545,0.5959742069244385
0.05,1,6,1,2,0.9683798771258753,0.9683847482816681,0.1343002134263369,0.5959742069244385
0.05,1,6,1,3,0.9725955655829787,0.9725955705162384,0.12442855546539952,0.5959742069244385
0.05,1,6,1,4,0.9757343100511114,0.9757368635453056,0.12048250334888581,0.5959742069244385
0.05,1,6,1,5,0.9748454226624897,0.9748504629253217,0.12126728604110104,0.5959742069244385
0.05,1,7,1,1,0.9591069550521265,0.9591331618061022,0.1455611493861104,0.6789073944091797
0.05,1,7,1,2,0.9687439936153893,0.9687848341392336,0.13594275104513703,0.6789073944091797
0.05,1,7,1,3,0.9728726622469709,0.9729027786945511,0.12491521488602737,0.6789073944091797
0.05,1,7,1,4,0.9758446216782736,0.9758652781155259,0.11964031688206206,0.6789073944091797
0.05,1,7,1,5,0.9755372601041344,0.9755595857590685,0.11979697395169939,0.6789073944091797
0.05,1,8,1,1,0.959404028641365,0.9599666806058651,0.1450185873760981,0.7326376438140869
0.05,1,8,1,2,0.9689978727536873,0.9696229542623307,0.13409236598464155,0.7326376438140869
0.05,1,8,1,3,0.9733829302639881,0.9739449708196297,0.12128720645543446,0.7326376438140869
0.05,1,8,1,4,0.9756262536764418,0.9761309516187644,0.1174441066704938,0.7326376438140869
0.05,1,8,1,5,0.9757788188403854,0.9762606818399813,0.11605601514131622,0.7326376438140869
0.05,1,9,1,1,0.9606219458508428,0.9610118362021194,0.14327154964869074,0.7734556198120117
0.05,1,9,1,2,0.9701247626129808,0.9705310872940582,0.13109841328314872,0.7734556198120117
0.05,1,9,1,3,0.9739903882050648,0.9743231972684706,0.12106249781332352,0.7734556198120117
0.05,1,9,1,4,0.9767278425775813,0.9770072677444837,0.11693443315990061,0.7734556198120117
0.05,1,9,1,5,0.9764346499192207,0.9766993258839356,0.11735465423633652,0.7734556198120117
0.05,1,10,1,1,0.9606411784995469,0.9616194289906884,0.14339184993151988,0.991675853729248
0.05,1,10,1,2,0.9702125701158806,0.9711062716673117,0.13233847093952497,0.991675853729248
0.05,1,10,1,3,0.9739738294443676,0.9749264936984374,0.12501106163134093,0.991675853729248
0.05,1,10,1,4,0.9763956675025578,0.9774392496757877,0.1209042150852226,0.991675853729248
0.05,1,10,1,5,0.9753658654756685,0.9764453419108288,0.12207612884686216,0.991675853729248
0.05,1,11,1,1,0.9617614275776184,0.9617711143342429,0.14174710904478915,0.8968746662139893
0.05,1,11,1,2,0.9706502007396027,0.9706732679261239,0.13100071528307014,0.8968746662139893
0.05,1,11,1,3,0.97450498373301,0.9745239779467723,0.12167501550735518,0.8968746662139893
0.05,1,11,1,4,0.9770226298626178,0.9770387823473958,0.11652665639363886,0.8968746662139893
0.05,1,11,1,5,0.976552621163161,0.9765661629966799,0.11659797449200507,0.8968746662139893
0.05,1,12,1,1,0.960680572462616,0.9607157478136212,0.14290966719698842,0.9415714740753174
0.05,1,12,1,2,0.9704565159200709,0.9704903518810917,0.13130787189532814,0.9415714740753174
0.05,1,12,1,3,0.974332773243135,0.9744007829105978,0.12220471893945928,0.9415714740753174
0.05,1,12,1,4,0.9766079635792895,0.976723592986589,0.11956452114034007,0.9415714740753174
0.05,1,12,1,5,0.9758427718577588,0.9759866126043703,0.12006471030726926,0.9415714740753174
0.05,1,13,1,1,0.9600481492991431,0.9606829633068135,0.14648364286560492,1.0058832168579102
0.05,1,13,1,2,0.9688457754986707,0.9695988865711613,0.13370501263071485,1.0058832168579102
0.05,1,13,1,3,0.9724205869878186,0.9731477265488154,0.12436350468716374,1.0058832168579102
0.05,1,13,1,4,0.9747663277929646,0.97541711078156,0.1208909389383911,1.0058832168579102
0.05,1,13,1,5,0.9742124598571099,0.9748593985027678,0.12032380807398887,1.0058832168579102
0.05,1,14,1,1,0.960361685696446,0.9604662193007394,0.142667927911712,1.070716381072998
0.05,1,14,1,2,0.9696090905749937,0.9697178357760767,0.1320737779582023,1.070716381072998
0.05,1,14,1,3,0.9734236103132692,0.9734968411131657,0.12247794061592934,1.070716381072998
0.05,1,14,1,4,0.9759578027780437,0.976007057093718,0.11797308831676413,1.070716381072998
0.05,1,14,1,5,0.9753168451235206,0.975359720802039,0.11901157508113089,1.070716381072998
0.05,1,15,1,1,0.9595134121357016,0.9595595356278467,0.1421478670639572,1.1031990051269531
0.05,1,15,1,2,0.9697450582965628,0.9698108580194653,0.13081199780706257,1.1031990051269531
0.05,1,15,1,3,0.9732809763452235,0.9733323667241611,0.1223314144465524,1.1031990051269531
0.05,1,15,1,4,0.9762217464504576,0.9762550065218008,0.11879916107911631,1.1031990051269531
0.05,1,15,1,5,0.975690760525235,0.9757173752621393,0.11908284008824756,1.1031990051269531
0.05,1,16,1,1,0.9618839307685969,0.961998356099891,0.14042122266886908,1.1723039150238037
0.05,1,16,1,2,0.9712264843578269,0.9713214255968665,0.12842177089512558,1.1723039150238037
0.05,1,16,1,3,0.9749309006885103,0.9750501916003417,0.11929717365591457,1.1723039150238037
0.05,1,16,1,4,0.9770581862444871,0.9772094004664017,0.11638828694485805,1.1723039150238037
0.05,1,16,1,5,0.9769662963682386,0.9771119856402348,0.11625807059479225,1.1723039150238037
0.05,1,17,1,1,0.9600592523265394,0.9601663634755184,0.14377123150643398,1.2341718673706055
0.05,1,17,1,2,0.9691030957617308,0.9691892186016887,0.13415124855808114,1.2341718673706055
0.05,1,17,1,3,0.9724268223548306,0.9725451587328872,0.12514604948200647,1.2341718673706055
0.05,1,17,1,4,0.9750067038122545,0.9751716394305402,0.12295094731586188,1.2341718673706055
0.05,1,17,1,5,0.9748750532601164,0.975053547002323,0.12266721519483274,1.2341718673706055
0.05,1,18,1,1,0.9588888767543132,0.9592193205087698,0.14321744851621826,1.281682014465332
0.05,1,18,1,2,0.9677813322918635,0.9681045273522161,0.13338142602173061,1.281682014465332
0.05,1,18,1,3,0.97219418548355,0.9725882920457407,0.12434316770289598,1.281682014465332
0.05,1,18,1,4,0.9751522354544395,0.9756087341082579,0.12156042044582405,1.281682014465332
0.05,1,18,1,5,0.9748013772563262,0.9753048780209096,0.12132468649083596,1.281682014465332
0.05,1,19,1,1,0.9626321039712354,0.9626335966056884,0.14060040762100473,1.521878957748413
0.05,1,19,1,2,0.9722229557768184,0.9722229787167723,0.12774904499341144,1.521878957748413
0.05,1,19,1,3,0.97534293952958,0.9753447957697724,0.11937879040259804,1.521878957748413
0.05,1,19,1,4,0.9773228737133283,0.9773296786925643,0.11655555554743288,1.521878957748413
0.05,1,19,1,5,0.9767760743610521,0.9767860107894071,0.11669992638088647,1.521878957748413
0.05,1,20,1,1,0.9609208121644539,0.9611075432165745,0.14279033071401767,1.4031703472137451
0.05,1,20,1,2,0.9711070556086048,0.9712512230392241,0.1303066902623798,1.4031703472137451
0.05,1,20,1,3,0.9748269876302393,0.9749995222378135,0.12136873583362083,1.4031703472137451
0.05,1,20,1,4,0.9768398372349262,0.9770316747026424,0.11740577081223215,1.4031703472137451
0.05,1,20,1,5,0.9763554404621646,0.9765598959627495,0.11794990577288103,1.4031703472137451
0.1,1,1,1,1,0.9491882212422283,0.9491932786305485,0.14929544452977417,0.31903529167175293
0.1,1,1,1,2,0.9590315125135167,0.9590327724347276,0.13891059805911696,0.31903529167175293
0.1,1,1,1,3,0.9602118861498121,0.9602160121661221,0.13431307907929288,0.31903529167175293
0.1,1,1,1,4,0.963307043978529,0.9633075063273924,0.12942347486084713,0.31903529167175293
0.1,1,1,1,5,0.9620052709731479,0.9620055288282552,0.1306996393009547,0.31903529167175293
0.1,1,2,1,1,0.9513970213043621,0.9525876995127228,0.14768649067526862,0.3798201084136963
0.1,1,2,1,2,0.9615127171295461,0.962477075516466,0.13544332011054466,0.3798201084136963
