test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.05,1,1,1,1,0.7209867916129216,0.7217218138217787,0.2557413564395923,0.9756665229797363
0.05,1,1,1,2,0.7432684403851288,0.7440922397508316,0.22464986279797355,0.9756665229797363
0.05,1,1,1,3,0.7530992024431167,0.7541722636194571,0.21363946611607423,0.9756665229797363
0.05,1,1,1,4,0.7584830486719334,0.7596166101980448,0.2098004040495465,0.9756665229797363
0.05,1,1,1,5,0.7587247582663194,0.7599040877327617,0.20986934875062543,0.9756665229797363
0.05,1,2,1,1,0.7240788572349375,0.7245778567999634,0.25428111000618847,0.8097438812255859
0.05,1,2,1,2,0.7450487854809811,0.7456067421099808,0.22408358160888875,0.8097438812255859
0.05,1,2,1,3,0.75491402092394,0.7556513364412419,0.21308966131347742,0.8097438812255859
0.05,1,2,1,4,0.7604091093658213,0.7611890628834835,0.21018400963740516,0.8097438812255859
0.05,1,2,1,5,0.7609484291054923,0.7617718062955212,0.21029154928935911,0.8097438812255859
0.05,1,3,1,1,0.7218926080110878,0.7229786560753757,0.2560524572762985,0.9603326320648193
0.05,1,3,1,2,0.7428303192309471,0.7439964746199477,0.22565592201948323,0.9603326320648193
0.05,1,3,1,3,0.7517563367342355,0.7531462151203264,0.21475893125455225,0.9603326320648193
0.05,1,3,1,4,0.7567771192277226,0.7582086261420022,0.21107578294144927,0.9603326320648193
0.05,1,3,1,5,0.7566857557405222,0.7581545425197278,0.21088158470617643,0.9603326320648193
0.05,1,4,1,1,0.7238412857990306,0.7248350889255704,0.25517602250476035,1.2240171432495117
0.05,1,4,1,2,0.7448236580106635,0.7459268069353026,0.2250128933994094,1.2240171432495117
0.05,1,4,1,3,0.7535597955406287,0.7548941598078791,0.21457242044852734,1.2240171432495117
0.05,1,4,1,4,0.7589445663690308,0.7603590136379459,0.2106838528745498,1.2240171432495117
0.05,1,4,1,5,0.7588832842004107,0.7603261689899511,0.2110080180669026,1.2240171432495117
0.05,1,5,1,1,0.7240386464629971,0.7241725571001528,0.25627925214448033,1.1916117668151855
0.05,1,5,1,2,0.7450083754881306,0.7451755449453757,0.22515105348195902,1.1916117668151855
0.05,1,5,1,3,0.7533861794718599,0.7536311534679722,0.215562316040812,1.1916117668151855
0.05,1,5,1,4,0.7590101308702,0.7592576363466053,0.21154110142761987,1.1916117668151855
0.05,1,5,1,5,0.7595450044279829,0.7598118891691208,0.21101441363023934,1.1916117668151855
0.05,1,6,1,1,0.7248922465078869,0.7254048157967848,0.2544480718476664,1.4801397323608398
0.05,1,6,1,2,0.744969828899257,0.745546916977017,0.22485273568544786,1.4801397323608398
0.05,1,6,1,3,0.7529901474677533,0.7537424403508706,0.21490257918895875,1.4801397323608398
0.05,1,6,1,4,0.7589012694379385,0.7596787170175021,0.21088536017011283,1.4801397323608398
0.05,1,6,1,5,0.7586788249313343,0.7594766401742347,0.21081046879448206,1.4801397323608398
0.05,1,7,1,1,0.7236796899963932,0.7239805518718279,0.2557073879268126,1.550765037536621
0.05,1,7,1,2,0.7448450840196288,0.745240791983586,0.2252516928229702,1.550765037536621
0.05,1,7,1,3,0.7524581976927951,0.7530100403150535,0.21523129732381824,1.550765037536621
0.05,1,7,1,4,0.7584021550326149,0.7589975852596924,0.2104691674421934,1.550765037536621
0.05,1,7,1,5,0.758143480684737,0.758779752393282,0.2105865754255307,1.550765037536621
0.05,1,8,1,1,0.724436677426969,0.7244753356354964,0.25674157698319455,1.693084716796875
0.05,1,8,1,2,0.7460694249376427,0.7461354172377369,0.22524783387283775,1.693084716796875
0.05,1,8,1,3,0.7542551630444125,0.7543829917967408,0.21567110017444485,1.693084716796875
0.05,1,8,1,4,0.7599410330502366,0.7600785958140055,0.21126903528419314,1.693084716796875
0.05,1,8,1,5,0.7600002188335473,0.7601468192117012,0.21096009211609412,1.693084716796875
0.05,1,9,1,1,0.7230508785798451,0.7238983037140063,0.25469572974201166,1.8484899997711182
0.05,1,9,1,2,0.744646345229848,0.7455959237747061,0.22427671837782426,1.8484899997711182
0.05,1,9,1,3,0.7525066074691957,0.7536794146072314,0.21479019206346353,1.8484899997711182
0.05,1,9,1,4,0.7583534138076101,0.7595624553400986,0.21042505676817547,1.8484899997711182
0.05,1,9,1,5,0.7586417056563106,0.759903351927715,0.21023284075971072,1.8484899997711182
0.05,1,10,1,1,0.7236309762035827,0.7241406191781502,0.25525328374130735,2.116718053817749
0.05,1,10,1,2,0.7443283192750197,0.7449381024930197,0.22527281168287036,2.116718053817749
0.05,1,10,1,3,0.7519411464903172,0.7527297269038622,0.21571352147590564,2.116718053817749
0.05,1,10,1,4,0.7578825777113987,0.7587011800703226,0.211337984129105,2.116718053817749
0.05,1,10,1,5,0.7575661988324376,0.7584181071680719,0.2113138288916789,2.116718053817749
0.05,1,11,1,1,0.721385041178767,0.7221214469046802,0.25616263117096116,2.2182810306549072
0.05,1,11,1,2,0.742900478298324,0.7437430017562102,0.22634936520882365,2.2182810306549072
0.05,1,11,1,3,0.7497060162303393,0.750724937521801,0.2168873989091802,2.2182810306549072
0.05,1,11,1,4,0.7556392331806435,0.7566453822313364,0.21244869561948776,2.2182810306549072
0.05,1,11,1,5,0.7561202602232819,0.7571872953006151,0.21182195117892644,2.2182810306549072
0.05,1,12,1,1,0.7234561583114201,0.7240560471609806,0.254667240817772,1.9475312232971191
0.05,1,12,1,2,0.7448677727440267,0.7455599923741443,0.22456190145578778,1.9475312232971191
0.05,1,12,1,3,0.7525733241401236,0.7534302331283872,0.21522717178828676,1.9475312232971191
0.05,1,12,1,4,0.7582057816195448,0.7590689005903005,0.21090952020986986,1.9475312232971191
0.05,1,12,1,5,0.7582338119557008,0.7591344974906892,0.21042685583136533,1.9475312232971191
0.05,1,13,1,1,0.722548033576177,0.7228495219880031,0.2557405557612108,3.0673580169677734
0.05,1,13,1,2,0.7444368730513109,0.7448227361850619,0.2251245150533328,3.0673580169677734
0.05,1,13,1,3,0.752911771648827,0.7534469442015537,0.21579943200622909,3.0673580169677734
0.05,1,13,1,4,0.7591929457101294,0.7597548038723722,0.21106849676628991,3.0673580169677734
0.05,1,13,1,5,0.7591529414095877,0.7597693745849589,0.21063032202933743,3.0673580169677734
0.05,1,14,1,1,0.7266341215862736,0.7267606051713043,0.2557769333041538,2.4077765941619873
0.05,1,14,1,2,0.7460825380529491,0.7462468473352828,0.2257907828603131,2.4077765941619873
0.05,1,14,1,3,0.7538812329430462,0.7541316508189101,0.21619126741487368,2.4077765941619873
0.05,1,14,1,4,0.7596533779274058,0.7599145918225273,0.21173292397539598,2.4077765941619873
