test_size,nbnn_train,epochs,nblayers,nbnn_test,r2,evs,mae,time
0.05,1,1,1,1,0.714044463422951,0.7144275239275772,0.26375425560809207,1.4785077571868896
0.05,1,1,1,2,0.7415395050825264,0.7420472805742148,0.23027609504658333,1.4785077571868896
0.05,1,1,1,3,0.7525289430981246,0.7532606570835036,0.2172902333798083,1.4785077571868896
0.05,1,1,1,4,0.7570920034208883,0.7578732735598557,0.21377579578082623,1.4785077571868896
0.05,1,1,1,5,0.7575538735807097,0.7583882207842965,0.21303869438806877,1.4785077571868896
0.05,1,2,1,1,0.7190766081494548,0.7193799837972081,0.2591458293982043,0.5851445198059082
0.05,1,2,1,2,0.7411562224145614,0.7415396734615148,0.22726963756713095,0.5851445198059082
0.05,1,2,1,3,0.7514980161342435,0.7520487957591051,0.21592169716560158,0.5851445198059082
0.05,1,2,1,4,0.7565853467946466,0.7571730492085104,0.2128161492496691,0.5851445198059082
0.05,1,2,1,5,0.7562821048067517,0.7568728180121278,0.21366134559697955,0.5851445198059082
0.05,1,3,1,1,0.7211823460249991,0.7211985152179341,0.26156258272587585,0.7267522811889648
0.05,1,3,1,2,0.7434092344875229,0.7434433813038223,0.2317238642605538,0.7267522811889648
0.05,1,3,1,3,0.7533463222710931,0.7534435223225846,0.21850523440635894,0.7267522811889648
0.05,1,3,1,4,0.7583949757228411,0.7585120708339554,0.21489469024788854,0.7267522811889648
0.05,1,3,1,5,0.7589801531779561,0.7591116743492055,0.21349901486646294,0.7267522811889648
0.05,1,4,1,1,0.7207004669110824,0.7208338285482667,0.2586946530183026,0.8134257793426514
0.05,1,4,1,2,0.7425769163731023,0.7427530768721429,0.2261688794930587,0.8134257793426514
0.05,1,4,1,3,0.7519964109209989,0.7523081399908857,0.2143672493475985,0.8134257793426514
0.05,1,4,1,4,0.7568428117894611,0.7571906942618281,0.21106211768319283,0.8134257793426514
0.05,1,4,1,5,0.7567071814197319,0.757088380408449,0.21147380038080435,0.8134257793426514
0.05,1,5,1,1,0.7211395397108692,0.7239075954131666,0.25761413918788534,0.9363760948181152
0.05,1,5,1,2,0.7423386194174396,0.7452825310955289,0.22666414723660083,0.9363760948181152
0.05,1,5,1,3,0.7521655228924022,0.7554628978371801,0.21509883812264233,0.9363760948181152
0.05,1,5,1,4,0.7575472580110837,0.7608924028162651,0.21155100281601089,0.9363760948181152
0.05,1,5,1,5,0.7580388533990372,0.7614782943020099,0.2115654876085528,0.9363760948181152
0.05,1,6,1,1,0.7235298608427438,0.7235657593855545,0.2605445448471165,0.9011247158050537
0.05,1,6,1,2,0.7450344434520335,0.7451000100706588,0.22803760500682047,0.9011247158050537
0.05,1,6,1,3,0.7556050295175515,0.7557359392788652,0.21559289358470984,0.9011247158050537
0.05,1,6,1,4,0.7610303111637928,0.7611783541006144,0.2114894952592697,0.9011247158050537
0.05,1,6,1,5,0.7613177281703658,0.7614781645385096,0.2110239877975657,0.9011247158050537
0.05,1,7,1,1,0.7203129721502142,0.7203504301116446,0.2578278628123962,1.180694580078125
0.05,1,7,1,2,0.7421403455951641,0.7421857067513222,0.22625620753142736,1.180694580078125
0.05,1,7,1,3,0.752340137206952,0.7524232223712397,0.2140852227981905,1.180694580078125
0.05,1,7,1,4,0.7577860136562553,0.7578673886363699,0.21047005169377797,1.180694580078125
0.05,1,7,1,5,0.7583500789124625,0.7584395414603216,0.2099334289576834,1.180694580078125
0.05,1,8,1,1,0.7256371836813724,0.7256495154226664,0.2578753080417149,1.293825387954712
0.05,1,8,1,2,0.7460076652199588,0.7460309831899523,0.22550800856616687,1.293825387954712
0.05,1,8,1,3,0.7566879049983632,0.7567500591152418,0.2138044418155962,1.293825387954712
0.05,1,8,1,4,0.7622655370576364,0.7623332938715142,0.20909451823963165,1.293825387954712
0.05,1,8,1,5,0.7627869575942783,0.7628652011997212,0.20898029945046698,1.293825387954712
0.05,1,9,1,1,0.7233450929646159,0.723542678811417,0.2596007530747807,1.398447036743164
0.05,1,9,1,2,0.7446507312890467,0.7448948239035296,0.2264104919751257,1.398447036743164
0.05,1,9,1,3,0.7553167985663976,0.7556534262737216,0.21382347274345256,1.398447036743164
0.05,1,9,1,4,0.7609956526024776,0.7613463326244245,0.20962578610779317,1.398447036743164
0.05,1,9,1,5,0.7612875185514377,0.7616690941787913,0.20867176473377616,1.398447036743164
0.05,1,10,1,1,0.7270380746007752,0.7277429193427699,0.25827559209959855,1.546825647354126
0.05,1,10,1,2,0.7455855069763702,0.746342818659682,0.22515504184963267,1.546825647354126
0.05,1,10,1,3,0.7554876235481796,0.7564156418811623,0.21317668031914966,1.546825647354126
0.05,1,10,1,4,0.7608397966252572,0.7617894390152633,0.20924847043886474,1.546825647354126
0.05,1,10,1,5,0.7605056367235052,0.7614686478682385,0.20831193364400127,1.546825647354126
0.05,1,11,1,1,0.7239258526518625,0.7241777800767321,0.2579006010366606,1.6599764823913574
0.05,1,11,1,2,0.7441974052527154,0.7444693625722724,0.22508556485252337,1.6599764823913574
0.05,1,11,1,3,0.7541433947022573,0.7545104038075667,0.21318368177308547,1.6599764823913574
0.05,1,11,1,4,0.7595188444402744,0.7598860148004487,0.20975451070927129,1.6599764823913574
0.05,1,11,1,5,0.7598171042650276,0.7602003226762167,0.20780707203134646,1.6599764823913574
0.05,1,12,1,1,0.7255500906786208,0.7255502960813559,0.2595794480750044,1.763394832611084
0.05,1,12,1,2,0.746217082915329,0.746221112741196,0.226686583018254,1.763394832611084
0.05,1,12,1,3,0.7559144525867956,0.7559367814797029,0.2158944957539199,1.763394832611084
0.05,1,12,1,4,0.7610739228134443,0.7610970052116963,0.21143138228210948,1.763394832611084
0.05,1,12,1,5,0.7613132746859326,0.7613382389359464,0.20990208436980076,1.763394832611084
0.05,1,13,1,1,0.724833798870876,0.7248342846527899,0.26146549135451497,1.838651418685913
0.05,1,13,1,2,0.7439580342849774,0.7439614790196647,0.22901253676685657,1.838651418685913
0.05,1,13,1,3,0.7545760953934602,0.754597791790502,0.21589423462857396,1.838651418685913
0.05,1,13,1,4,0.7599888133760758,0.7600149978053159,0.21205532694077145,1.838651418685913
0.05,1,13,1,5,0.7605370560818666,0.7605710518641784,0.21061368021477925,1.838651418685913
0.05,1,14,1,1,0.7250196126853128,0.7256321205064824,0.25507316340930364,1.7460451126098633
0.05,1,14,1,2,0.7452857517645344,0.7459392635465834,0.22640137981059222,1.7460451126098633
0.05,1,14,1,3,0.7550343279851723,0.7557976036219956,0.2147022068649199,1.7460451126098633
0.05,1,14,1,4,0.7609211235569489,0.7616594569754616,0.21091041873606103,1.7460451126098633
0.05,1,14,1,5,0.7610291509924914,0.7617558885283708,0.20994368984198383,1.7460451126098633
0.05,1,15,1,1,0.7230439239060606,0.7239130277434795,0.25801575294377926,1.950610637664795
0.05,1,15,1,2,0.745811445420024,0.7467933982215382,0.22563101054381215,1.950610637664795
0.05,1,15,1,3,0.7570037637603735,0.7582031696833438,0.21283605909374115,1.950610637664795
0.05,1,15,1,4,0.7635439121069624,0.7647458062189841,0.20883465972074813,1.950610637664795
0.05,1,15,1,5,0.764170114298795,0.7653986857292779,0.20837903451208709,1.950610637664795
0.05,1,16,1,1,0.7262571764719408,0.7263779742150833,0.25763388131904646,1.932603120803833
0.05,1,16,1,2,0.748391274619596,0.7485315779851585,0.22630296970398417,1.932603120803833
0.05,1,16,1,3,0.7595790118792829,0.7597655815003167,0.2135401993675262,1.932603120803833
0.05,1,16,1,4,0.7655372954616743,0.7657116844288376,0.20921987509600481,1.932603120803833
0.05,1,16,1,5,0.7661498144203513,0.7663157171246958,0.2079630925874717,1.932603120803833
0.05,1,17,1,1,0.7225068625684279,0.723059196602575,0.2567912050634031,2.2093238830566406
0.05,1,17,1,2,0.7442565094189681,0.7448951236633705,0.2248033832588575,2.2093238830566406
0.05,1,17,1,3,0.7532532214583968,0.7540129333785537,0.2125965825278093,2.2093238830566406
0.05,1,17,1,4,0.7581881080688238,0.7589388675040677,0.20957712928145686,2.2093238830566406
0.05,1,17,1,5,0.7580361778639194,0.7587835834925237,0.20832575973421247,2.2093238830566406
0.05,1,18,1,1,0.7254545703013656,0.7273339755078156,0.2598934230048691,2.2945749759674072
0.05,1,18,1,2,0.7451073456232916,0.7470750742663994,0.22931043858054267,2.2945749759674072
0.05,1,18,1,3,0.7548345011403961,0.7569297998788124,0.21727408180915242,2.2945749759674072
0.05,1,18,1,4,0.7607401569443599,0.7627434012179451,0.21230584145370296,2.2945749759674072
0.05,1,18,1,5,0.7607032776321565,0.7626693787377361,0.21184902953722362,2.2945749759674072
0.05,1,19,1,1,0.7248598034163579,0.7258078979376633,0.2593750992307858,2.3363735675811768
0.05,1,19,1,2,0.7446292178189375,0.7455941282178459,0.22861455553695842,2.3363735675811768
0.05,1,19,1,3,0.754469803541716,0.7555371488401403,0.21509974127695045,2.3363735675811768
0.05,1,19,1,4,0.7601829399730817,0.7612591922637373,0.21202794957013182,2.3363735675811768
0.05,1,19,1,5,0.7609858113255916,0.7620823245165144,0.21041378020272403,2.3363735675811768
0.05,1,20,1,1,0.7241503309372084,0.724215235379844,0.25958154786579457,2.490537405014038
0.05,1,20,1,2,0.7453830883183716,0.7454731587318952,0.22638374280657209,2.490537405014038
0.05,1,20,1,3,0.7559658322938785,0.7561084367966506,0.2133815050571307,2.490537405014038
0.05,1,20,1,4,0.7616286882701371,0.7617734003115479,0.20839811109857895,2.490537405014038
0.05,1,20,1,5,0.7618776476431073,0.7620404255154822,0.20730989070297426,2.490537405014038
0.1,1,1,1,1,0.7907433689568386,0.7908501060534525,0.25042361026035065,0.42116284370422363
0.1,1,1,1,2,0.8085172356534975,0.808629987983423,0.23314731461247717,0.42116284370422363
0.1,1,1,1,3,0.8208765436389456,0.8209760946920696,0.22075693720654682,0.42116284370422363
0.1,1,1,1,4,0.823592972023941,0.8236901106091941,0.2194201490212119,0.42116284370422363
0.1,1,1,1,5,0.8239309940673631,0.8240674934555258,0.2170709810599131,0.42116284370422363
0.1,1,2,1,1,0.792989896231009,0.7929978979852514,0.24827352555221008,0.5532870292663574
0.1,1,2,1,2,0.8096841788867165,0.8096933437124731,0.23055059033193387,0.5532870292663574
0.1,1,2,1,3,0.8221546543819622,0.8221716099484826,0.21995703386461554,0.5532870292663574
0.1,1,2,1,4,0.8249558833134493,0.8249730921841043,0.217398592094375,0.5532870292663574
0.1,1,2,1,5,0.8253943906164432,0.8254007868619967,0.21593111564798054,0.5532870292663574
0.1,1,3,1,1,0.7903308742417439,0.790596638629537,0.24839869132673312,0.5982472896575928
0.1,1,3,1,2,0.8085134167093284,0.8087813880883438,0.2314067169212179,0.5982472896575928
0.1,1,3,1,3,0.821738654956231,0.8219720030083695,0.21803141254448546,0.5982472896575928
0.1,1,3,1,4,0.8251433502069381,0.8253738914603388,0.21553670787626017,0.5982472896575928
0.1,1,3,1,5,0.8258105254408219,0.8261008244470343,0.2130054618302362,0.5982472896575928
0.1,1,4,1,1,0.7919383258123683,0.791938456915549,0.24698409653499667,0.889113187789917
0.1,1,4,1,2,0.8100256299862841,0.8100287424023505,0.22742236684686987,0.889113187789917
0.1,1,4,1,3,0.8224746172825508,0.8224863099880195,0.21603976812873002,0.889113187789917
0.1,1,4,1,4,0.825527773232861,0.825542127567423,0.21370914638270472,0.889113187789917
0.1,1,4,1,5,0.8259412993377255,0.8259482346092843,0.21161708269934687,0.889113187789917
0.1,1,5,1,1,0.7927221821538586,0.7932143606037143,0.24679622243427338,0.9087131023406982
0.1,1,5,1,2,0.8098722135205947,0.810350789180026,0.22870509507099604,0.9087131023406982
0.1,1,5,1,3,0.8225754530760643,0.8230195476687806,0.21571260825346686,0.9087131023406982
0.1,1,5,1,4,0.8256828540735568,0.8261412046180374,0.213706830988618,0.9087131023406982
0.1,1,5,1,5,0.8260049230940921,0.8265469077848437,0.2111625948248434,0.9087131023406982
