,test_size,epochs,nblayers,fake,r2,evs,mae,time
0,0.05,1,1,1,0.7348720834698538,0.7351597507608788,0.2752300485387495,0.6955516338348389
1,0.05,2,1,1,0.7533446660338825,0.75505736200702,0.2323947477147448,0.5744130611419678
2,0.05,3,1,1,0.7555103844178909,0.756520321406266,0.2215397934618359,0.6636381149291992
3,0.05,4,1,1,0.7560315691850321,0.7569051443553922,0.2244677999080758,0.7415697574615479
4,0.05,5,1,1,0.76135475465839,0.7618609305370155,0.2143800541161365,0.8427274227142334
5,0.05,6,1,1,0.7574263478937708,0.7582001620000453,0.2255364700583428,1.0397624969482422
6,0.05,7,1,1,0.7620608404093361,0.76252171515909,0.213293002326493,1.0299887657165527
7,0.05,8,1,1,0.7567617512025382,0.756838970471911,0.2219107211123108,1.0947589874267578
8,0.05,9,1,1,0.7587998172261086,0.7606103757305694,0.2134758778354649,1.1853644847869873
9,0.05,10,1,1,0.7679243075548519,0.7703836696245241,0.213738259599627,1.2753920555114746
10,0.05,11,1,1,0.7653858601398538,0.7666778274569929,0.2103422656642405,1.362736701965332
11,0.05,12,1,1,0.7628594753396069,0.7641404669359337,0.2089682096708157,1.4522700309753418
12,0.05,13,1,1,0.7631534274167922,0.7649795933891721,0.2071330823532641,1.533386468887329
13,0.05,14,1,1,0.7640774572596878,0.7658662996059235,0.207242362274846,1.5925288200378418
14,0.05,15,1,1,0.767353447621974,0.7673536198211666,0.2136346610879346,1.8763887882232664
15,0.05,16,1,1,0.7592632690461851,0.7652358627112403,0.2129235188352639,1.8570852279663088
16,0.05,17,1,1,0.7688026044961302,0.7701371540045515,0.2078604787470548,1.9707999229431152
17,0.05,18,1,1,0.7666498249230247,0.7699099869940926,0.2066471016706688,2.032045125961304
18,0.05,19,1,1,0.7641906968672157,0.7646474981566642,0.2051493756856771,2.2725110054016118
19,0.05,20,1,1,0.7656001888509616,0.768274372144504,0.209496173242818,2.295088529586792
20,0.05,1,2,1,0.7386973114977923,0.7398627259585974,0.2589344145410105,0.5898439884185791
21,0.05,2,2,1,0.7542107522687181,0.7544422861781155,0.2380807985587799,0.6534423828125
22,0.05,3,2,1,0.7593716648916462,0.7594099633207754,0.2213691302823781,0.8154399394989014
23,0.05,4,2,1,0.7663021869991612,0.7690397301139318,0.2159925499216154,0.8636000156402588
24,0.05,5,2,1,0.7644587172019903,0.7658923279724673,0.2146691006230519,0.9004473686218262
25,0.05,6,2,1,0.7684345681424578,0.7684752230782063,0.2162697005009354,1.0151801109313965
26,0.05,7,2,1,0.7610356833457773,0.7627934196767541,0.2158351417355243,1.084519624710083
27,0.05,8,2,1,0.7644313655994625,0.766794846164094,0.2121189441726964,1.1864707469940186
28,0.05,9,2,1,0.7624831054070496,0.7630504015274862,0.2168528470287977,1.271347999572754
29,0.05,10,2,1,0.7659559130127722,0.7662728636911447,0.2109891495090887,1.3606619834899902
30,0.05,11,2,1,0.7620036425987166,0.7640798955553356,0.2121900056317437,1.5041353702545166
31,0.05,12,2,1,0.7643447391604268,0.7643717199784268,0.2122864656523762,1.714832067489624
32,0.05,13,2,1,0.7623308838483914,0.7652142926322556,0.2060555140711202,1.7045106887817385
33,0.05,14,2,1,0.7683342178705593,0.768385270974058,0.2101568395878763,1.889852523803711
34,0.05,15,2,1,0.762214908856164,0.7668005579112482,0.2111833471727771,2.010080337524414
35,0.05,16,2,1,0.7686336022839662,0.7702759920919086,0.2081432079053484,1.933884859085083
36,0.05,17,2,1,0.7677770415332208,0.7681451121552294,0.2083439171620827,2.2099342346191406
37,0.05,18,2,1,0.7711120033198846,0.7725975575260497,0.2069234552448303,2.4110107421875
38,0.05,19,2,1,0.7692342856342207,0.7693929438480309,0.2099383814592374,2.2052133083343506
39,0.05,20,2,1,0.7685707977732519,0.7685864195242172,0.2101994048489984,2.4460299015045166
40,0.05,1,3,1,0.7159406490498583,0.7159423483627674,0.2834628112324968,0.6397700309753418
41,0.05,2,3,1,0.7498621671951697,0.7502627860816097,0.2354035609975295,0.7221741676330566
42,0.05,3,3,1,0.762480117846247,0.7625908009845086,0.2170672969151109,0.7874326705932617
43,0.05,4,3,1,0.7608710558704692,0.7609897813997903,0.2139287096858405,0.8265082836151123
44,0.05,5,3,1,0.7577377675777006,0.7590513450458615,0.2261260310118184,1.0683767795562744
45,0.05,6,3,1,0.7615942032642036,0.7673853068316139,0.2159916602630476,1.1073157787322998
46,0.05,7,3,1,0.7669409550194897,0.7687329376822731,0.2094327173316446,1.4540250301361084
47,0.05,8,3,1,0.7691051046287372,0.7698519449186512,0.2093324177414813,1.3106443881988523
48,0.05,9,3,1,0.7609392372818427,0.7628036806282628,0.2124363492626555,1.3333137035369873
49,0.05,10,3,1,0.7668153571731005,0.7686875555461872,0.2086889535724987,1.4731831550598145
50,0.05,11,3,1,0.7654806484320732,0.7674558730910638,0.2094596572033642,1.528193712234497
51,0.05,12,3,1,0.7634919171466645,0.7646664667077799,0.2095538209893385,1.640453577041626
52,0.05,13,3,1,0.7705836726022763,0.772005942674219,0.2064713973527189,1.759887456893921
53,0.05,14,3,1,0.7676157192074411,0.7677753571533547,0.2137560514802642,2.139238119125366
54,0.05,15,3,1,0.7702570209891558,0.7719748986918381,0.2058890739254938,2.283393621444702
55,0.05,16,3,1,0.7663364169909409,0.7690547628097656,0.2113894901766051,2.366576194763184
56,0.05,17,3,1,0.7674726201707234,0.7708775464697516,0.207239708447162,2.54545259475708
57,0.05,18,3,1,0.7698504114844562,0.7700329795336953,0.2060337569398795,2.2782585620880127
58,0.05,19,3,1,0.7689422488549509,0.7690988455227168,0.2046615045638299,2.354912519454956
59,0.05,20,3,1,0.7639347560863645,0.7674834292275975,0.2067241767423458,2.545384168624878
60,0.1,1,1,1,0.7565870140206574,0.7583312083313581,0.2989938347032188,0.51483154296875
61,0.1,2,1,1,0.8198391527906053,0.8199781330033751,0.2332983736483149,0.5839190483093262
62,0.1,3,1,1,0.8198526028371,0.819880245822881,0.2306241827738085,0.856755256652832
63,0.1,4,1,1,0.8257692170623672,0.8270615847398332,0.2204423112539867,0.8040556907653809
64,0.1,5,1,1,0.8295947691823429,0.8296199086470739,0.2179388479629104,0.8399794101715088
65,0.1,6,1,1,0.8290921325253039,0.8294710856614184,0.2172584999863877,0.998271942138672
66,0.1,7,1,1,0.833011442252447,0.8338561282192204,0.2185767752798856,1.0489294528961182
67,0.1,8,1,1,0.8315109055961629,0.8316325913666978,0.2108265687563198,1.1820287704467771
68,0.1,9,1,1,0.8360264990733288,0.8360629169470927,0.211108003530795,1.26127290725708
69,0.1,10,1,1,0.8345544121866684,0.8346316160432831,0.21029234042563,1.3942577838897705
70,0.1,11,1,1,0.8339210292950692,0.8340602255309871,0.2115890426869379,1.352051019668579
71,0.1,12,1,1,0.8367505229081508,0.8368232447445181,0.2101626409843074,1.7420907020568848
72,0.1,13,1,1,0.8316165889114526,0.8316883648799547,0.2133034781894317,1.574214220046997
73,0.1,14,1,1,0.831487496387948,0.8315362789709028,0.2083573489280193,1.8364551067352293
74,0.1,15,1,1,0.8321468241801495,0.8328946643896226,0.2128990342124685,1.726827621459961
75,0.1,16,1,1,0.8338666490673863,0.8338960727138885,0.208969898449495,2.0130648612976074
76,0.1,17,1,1,0.8383125857882028,0.8384793589485987,0.2073346455033203,2.0030617713928223
77,0.1,18,1,1,0.8379053311327977,0.8379099028473559,0.2048545572391583,2.1269726753234863
78,0.1,19,1,1,0.8348297220863801,0.8364269789565449,0.2115667346164648,2.107776165008545
79,0.1,20,1,1,0.8351918716626744,0.8360831547964708,0.2106993427452817,2.09199595451355
80,0.1,1,2,1,0.7989578166927888,0.7989796612637972,0.2632266606977931,0.6804885864257812
81,0.1,2,2,1,0.8135753773891778,0.8151285446378309,0.240859168963078,0.607856035232544
82,0.1,3,2,1,0.8224491126295936,0.8224686726050566,0.2244964411331772,0.6851840019226074
83,0.1,4,2,1,0.8244215363560558,0.8265630964584312,0.2177513889681118,0.8171007633209229
84,0.1,5,2,1,0.827111657985012,0.8296511387621973,0.2282911540304311,0.8882160186767578
85,0.1,6,2,1,0.8286025238064145,0.8292869745061322,0.2156263982475907,0.9884004592895508
86,0.1,7,2,1,0.8362885458543369,0.8362885771048555,0.2108011108874919,1.086550235748291
87,0.1,8,2,1,0.8329604603743214,0.8347183133831015,0.2095156073947823,1.1803405284881592
88,0.1,9,2,1,0.8369025189468222,0.8371842688029614,0.2072509440758844,1.4331951141357422
89,0.1,10,2,1,0.835500642809841,0.8363109693945393,0.2074330066630998,1.3541655540466309
90,0.1,11,2,1,0.836454974229555,0.8364573090903504,0.2083893964520528,1.4268183708190918
91,0.1,12,2,1,0.8354984319709261,0.8377730939692619,0.2166413245730033,1.55096697807312
92,0.1,13,2,1,0.8359918650696397,0.8361719141377129,0.2103350285895746,1.7340853214263916
93,0.1,14,2,1,0.8399538731530627,0.8399560752456922,0.2081053973618402,1.6858646869659424
94,0.1,15,2,1,0.8371363351294436,0.8395871467114229,0.2067985770071239,2.0132110118865967
95,0.1,16,2,1,0.8353262069780968,0.8357254096504814,0.2055088407133153,2.041899442672729
96,0.1,17,2,1,0.8367457655420869,0.8370481078142641,0.2034839287796076,2.2268717288970947
97,0.1,18,2,1,0.8343774761149507,0.8390956076323501,0.2095865597746873,2.2042901515960693
98,0.1,19,2,1,0.835279198212136,0.835675630261239,0.208788980575931,2.207200527191162
99,0.1,20,2,1,0.8365556857432594,0.8375347662749778,0.203991854999809,2.317016839981079
100,0.1,1,3,1,0.8014966331979833,0.8018525506253681,0.2528720476395697,0.5495924949645996
101,0.1,2,3,1,0.8153299021646951,0.8159942622812236,0.2329357114882958,0.6285257339477539
102,0.1,3,3,1,0.8236013528558614,0.8242344160209303,0.2279433556716785,0.7291979789733887
103,0.1,4,3,1,0.8272144919645892,0.8282342120846335,0.2211125908364913,0.8937139511108398
104,0.1,5,3,1,0.8348390928842786,0.8356137539378742,0.2086036125472376,1.108971118927002
105,0.1,6,3,1,0.8308230190528694,0.8308258038075984,0.2149976602957334,1.1671981811523438
106,0.1,7,3,1,0.8336645408860487,0.8338361064082266,0.2079380750960371,1.18615984916687
107,0.1,8,3,1,0.8302595003345936,0.8331342227890093,0.2189316688638688,1.3075199127197266
108,0.1,9,3,1,0.8341164557519485,0.8341512315661723,0.214730896550091,1.3820950984954834
109,0.1,10,3,1,0.8275599497534386,0.8340458809207549,0.2282024526202086,1.387976884841919
110,0.1,11,3,1,0.8350155606333295,0.8361844373731065,0.2082524561263934,1.6278228759765625
111,0.1,12,3,1,0.836815706559586,0.8372997329883045,0.2100653318919096,1.7648382186889648
112,0.1,13,3,1,0.8383475569996474,0.839725084215064,0.2050287102187114,2.0202932357788086
113,0.1,14,3,1,0.8391568750179609,0.8391630721614394,0.204005337137278,1.883563995361328
114,0.1,15,3,1,0.834351690531363,0.8345758436412815,0.2108889645789688,1.8928542137146
115,0.1,16,3,1,0.8365182150089514,0.8379912965231849,0.2101659238436668,1.9743788242340088
116,0.1,17,3,1,0.8369258904051982,0.8369259261611952,0.2057845523509789,2.091957330703736
117,0.1,18,3,1,0.8371362905455938,0.8388784219494565,0.2035461238235889,2.207294464111328
118,0.1,19,3,1,0.8378323762297393,0.8379400216674648,0.2049709174602826,2.46736478805542
119,0.1,20,3,1,0.8369902560929277,0.8372481638026532,0.2044612735977613,2.635138988494873
120,0.15,1,1,1,0.8067242556147932,0.8071059032926771,0.274383891054607,0.4809367656707763
121,0.15,2,1,1,0.8342586617358371,0.8351233483499406,0.2443905906438762,0.595973014831543
122,0.15,3,1,1,0.8414239170402069,0.8415936363364183,0.231364225232458,0.7417311668395996
123,0.15,4,1,1,0.8507332570386318,0.8510166308530187,0.2226852708176808,0.8037271499633789
124,0.15,5,1,1,0.854581042814828,0.854637166578183,0.2151821788314133,0.8815474510192871
125,0.15,6,1,1,0.8563172011535871,0.8568026209456288,0.2139237006016651,0.99485182762146
