,name,gender,genre,country,start-date,instrument,label
0,KaS Product,,new wave,,1980.0,,RCA Records
1,Guy Fallot,Male,,FR,1927.0,cello,
2,Charles Dalmorès,Male,,FR,1871.0,voice,
3,Charles Baudiot,Male,,FR,1773.0,cello,
4,Eugène Gigout,Male,Western classical music,FR,1844.0,organ,
5,Joseph Charlot,Male,,FR,1827.0,,
6,Gérard Condé,Male,,FR,1947.0,,
7,Gérard Hekking,Male,Western classical music,FR,1879.0,cello,
8,Alfred Bachelet,Male,opera,FR,1864.0,,
9,Arnaud Rebotini,Male,techno,FR,1970.0,voice,
10,Catherine Sauvage,Female,chanson,FR,1929.0,voice,Philips Records
11,Annick Chartreux,Female,,FR,,,
12,Alexis de Garaudé,Male,,FR,1779.0,,
13,Henri Ledroit,Male,,FR,1946.0,voice,
14,Najoua Belyzel,Female,electro,FR,1981.0,voice,Scorpio Music
15,Marie-Hélène Bernard,Female,,FR,1953.0,,
16,Marcel Labey,Male,symphony,,1875.0,,
17,Lucien Denni,Male,,,1886.0,piano,
18,Pascal Dusapin,Male,contemporary classical music,FR,1955.0,,
19,Pascal Dusapin,Male,opera,FR,1955.0,,
20,Tonton David,Male,reggae,FR,1967.0,voice,Virgin Records
21,Pierre Schaeffer,Male,opera,FR,1910.0,,
22,Werner Haas,Male,classical,DE,1931.0,piano,
23,Romain Descharmes,Male,,FR,1980.0,piano,
