,name,gender,start-date,genre,instrument,label
0,Marboss,male,,electronic music,,Musea
1,Lionel Florence,male,,,,
2,Charlélie Couture,male,,French rock,harmonica,
3,Josèphe Colle,female,,,,
4,Pierre Schaeffer,male,1942.0,musique concrète,,
5,Joseph Charlot,male,,,,
6,Bernard Haillant,male,,chanson,voice,Studio SM
7,Pascal Dusapin,male,,opera,,
8,Readymade,male,,,,F Communications
9,Chick Ortega,male,,,,
10,Manuel Wandji,male,,,,
11,Jean Parisot,male,,,,
12,Étienne Meyer,male,,,,
13,Jules-Marie Laure Maugüé,male,,,,
14,Catherine Sauvage,female,,chanson,voice,Philips Records
15,Jacques Lamy,male,,,piano,
16,Nath,male,,contemporary R&B,voice,
17,Charles Dalmorès,male,,,voice,
18,Marcel Labey,male,,symphony,,
19,Henri Ledroit,male,,,voice,
20,Marie-France Dufour,female,1971.0,middle of the road,voice,
21,Julia Charler,female,,song,,
22,Sophie Cherrier,female,,,flute,
23,Charlélie Couture,male,,French rock,voice,
24,Paul Benoit,male,,,pipe organ,
25,Paul Benoit,male,,,organ,
26,Louis Thirion,male,,,,
27,Karl Hermann Bitter,male,,,,
28,Jacqueline Brumaire,female,,,voice,
29,Lucien Denni,male,,,piano,
30,Julien Copeaux,male,,,,
31,Pierre Cortellezzi,male,,,pipe organ,
32,Auguste Mangeot,male,,,piano,
33,Charlélie Couture,male,,blues rock,guitar,
34,Houcine Camara,male,2003.0,,voice,
35,Werner Haas,male,,,piano,
36,Christian Ott,male,,,,
37,Marie-Hélène Bernard,female,,,,
38,Line Zilgien,female,,,,
39,Arnaud Rebotini,male,,techno,voice,
40,Pascal Dusapin,male,,contemporary classical music,,
41,Tonton David,male,1988.0,reggae,voice,Virgin Music
42,Charlélie Couture,male,,French rock,piano,
43,Annick Chartreux,female,,,,
44,Najoua Belyzel,female,2005.0,electro,voice,Scorpio Music
45,Gérard Hekking,male,,classical music,cello,
46,Jean Cartan,male,,,,
47,Charlélie Couture,male,,blues rock,harmonica,
48,Joseph Rudolf Lewy,male,,,horn,
49,Romain Descharmes,male,,,piano,
50,Alfred Bachelet,male,,opera,,
51,Oskar Matzerath,male,,jazz,tin drum,
52,Olivier Gérard,male,,pop rock,guitar,
53,George Chepfer,male,,,,
54,Eléonore Darmon,female,,,violin,
55,Jean Baptiste Desormery,male,,,,
56,KaS Product,,1980.0,new wave,,RCA Records
57,Jean Voirin,male,,,,
58,Bruno Peltre,male,,,piano,
59,Marcelle Lender,female,,,voice,
60,Eliane Aberdam,female,,,,
61,Gérard Condé,male,,,,
62,Charlélie Couture,male,,blues rock,voice,
63,Johann Vexo,male,,,pipe organ,
64,Johann Vexo,male,,,organ,
65,Charles Baudiot,male,,,cello,
66,Mathieu Koss,male,,pop music,guitar,
67,Alexis de Garaudé,male,,,,
68,Louis Auguin,male,,,,
69,Daniel Chenevez,male,,,,
70,Laurent Durupt,male,,,guitar,
71,Eugène Gigout,male,,classical music,organ,
72,Gaston Stoltz,male,,,,
73,Ernest David,male,,,,
74,Charlélie Couture,male,,French rock,guitar,
75,Pierre Thilloy,male,,,,
76,Jean-Paul-Égide Martini,male,,opera,,
77,Laura Cahen,female,,,,
78,Nicolas Signac,male,,,,
79,Charlélie Couture,male,,blues rock,piano,
80,Jean-Baptiste Michelot,male,,,piano,
81,Guy Fallot,male,,,cello,
82,Tom Novembre,male,1985.0,,,Philips Records
