,name,gender,start-date,genre,instrument,label
0,Jean Baptiste Desormery,male,,,,
1,Mathieu Koss,male,,pop music,guitar,
2,Sophie Cherrier,female,,,flute,
3,Pascal Dusapin,male,,contemporary classical music,,
4,Gérard Hekking,male,,Western classical music,cello,
5,Catherine Sauvage,female,,chanson,voice,Philips Records
6,Werner Haas,male,,,piano,
7,Jean-Baptiste Michelot,male,,,piano,
8,Gérard Condé,male,,,,
9,Nath,male,,contemporary R&B,voice,
10,Karl Hermann Bitter,male,,,,
11,Marboss,male,,electronic music,,Musea
12,Guy Fallot,male,,,cello,
13,Louis Auguin,male,,,,
14,Marcelle Lender,female,,,voice,
15,Jacques Lamy,male,,,piano,
16,Louis Thirion,male,,,,
17,Annick Chartreux,female,,,,
18,Bruno Peltre,male,,,piano,
19,Auguste Mangeot,male,,,piano,
20,Houcine Camara,male,2003.0,,voice,
21,Gaston Stoltz,male,,,,
22,Tonton David,male,1988.0,reggae,voice,Virgin Records
23,Jean-Paul-Égide Martini,male,,opera,,
24,Julia Charler,female,,song,,
25,Eugène Gigout,male,,Western classical music,organ,
26,Jacqueline Brumaire,female,,,voice,
27,Alexis de Garaudé,male,,,,
28,Eliane Aberdam,female,,,,
29,Joseph Charlot,male,,,,
30,Charles Baudiot,male,,,cello,
31,KaS Product,,1980.0,new wave,,RCA Records
32,Paul Benoit,male,,,pipe organ,
33,Paul Benoit,male,,,organ,
34,Olivier Gérard,male,,pop rock,guitar,
35,Bernard Haillant,male,,chanson,voice,Studio SM
36,Jean Cartan,male,,,,
37,Oskar Matzerath,male,,jazz,tin drum,
38,Pierre Cortellezzi,male,,,pipe organ,
39,Eléonore Darmon,female,,,violin,
40,Arnaud Rebotini,male,,techno,voice,
41,Readymade,male,,,,F Communications
42,Charles Dalmorès,male,,,voice,
43,Marie-Hélène Bernard,female,,,,
44,Marcel Labey,male,,symphony,,
45,Pierre Thilloy,male,,,,
46,Pierre Schaeffer,male,1942.0,opera,,
47,Lucien Denni,male,,,piano,
48,Romain Descharmes,male,,,piano,
49,Lionel Florence,male,,,,
50,Pascal Dusapin,male,,opera,,
51,Étienne Meyer,male,,,,
52,Jean Parisot,male,,,,
53,Najoua Belyzel,female,2005.0,electro,voice,Scorpio Music
54,Alfred Bachelet,male,,opera,,
55,Josèphe Colle,female,,,,
56,Chick Ortega,male,,,,
57,Nicolas Signac,male,,,,
58,Ernest David,male,,,,
59,Julien Copeaux,male,,,,
60,George Chepfer,male,,,,
61,Jules-Marie Laure Maugüé,male,,,,
62,Line Zilgien,female,,,,
63,Johann Vexo,male,,,pipe organ,
64,Johann Vexo,male,,,organ,
65,Marie-France Dufour,female,1971.0,middle of the road,voice,
66,Joseph Rudolf Lewy,male,,,horn,
67,Henri Ledroit,male,,,voice,
